player_id,总流水,总局数,活跃天数,流水分位,度中心性,中介中心性,度中心性分位,分级
8073,1388,25,37.861875,0.0568776421201998,161,0.0055,0.9985810151654,L4-高危团伙嫌疑
207244,33694,247,48.0508564814815,0.706388387974104,0,0,0.253140982055754,长期客户
273467,6836,92,20.9197800925926,0.388949655600556,0,0,0.253140982055754,一般客户
313243,100317,677,63.3327199074074,0.829987879504538,0,0,0.253140982055754,长期客户
1112471,6213,166,40.1162615740741,0.36903952464008,0,0,0.253140982055754,长期客户
1177072,4080,89,61.1358680555556,0.272666804623526,0,0,0.253140982055754,长期客户
1242690,19750,56,0.0132407407407407,0.611597244804446,97,0.0015,0.998403642061075,L4-高危团伙嫌疑
1509477,3160,75,43.7392708333333,0.219188813669554,3979,0.0894,0.999881751263783,L4-高危团伙嫌疑
2510118,1080,81,0.0434375,0.00870606320394951,17,5e-04,0.990141011617938,L4-高危团伙嫌疑
2532548,33365,105,47.6858796296296,0.705205900611937,82,3e-04,0.998344517692967,L4-高危团伙嫌疑
3024166,27665,321,49.6369444444445,0.674372542643451,0,0,0.253140982055754,长期客户
3163098,66575576,5400,64.4721064814815,0.994264936293493,0,0,0.253140982055754,白金级
3197320,29038000,404,63.1388541666667,0.990362727998345,1,0,0.59417033730452,白金级
3206119,45313,210,45.3038773148148,0.748189316226683,1,0,0.59417033730452,长期客户
3604354,12300,4,57.2302430555556,0.516658290714518,1,0,0.59417033730452,长期客户
3657903,37280,190,63.9353703703704,0.72108079344902,0,0,0.253140982055754,长期客户
3738854,6627,108,2.12378472222222,0.382460756200668,0,0,0.253140982055754,一般客户
3824899,79829,214,36.3741666666667,0.808200549856623,0,0,0.253140982055754,长期客户
3826395,4885,208,1.00769675925926,0.313403494250155,0,0,0.253140982055754,一般客户
3828424,252265,212,63.6606712962963,0.88872793922015,0,0,0.253140982055754,长期客户
3832047,12192,108,25.2205208333333,0.515121057143702,0,0,0.253140982055754,一般客户
3832454,75373,162,56.5330092592593,0.803529724776066,1434,0.0309,0.999512223963106,L4-高危团伙嫌疑
3836001,3010,28,0.16380787037037,0.208590770686138,0,0,0.253140982055754,试水型
3890239,69499,62,10.2635416666667,0.795252313240902,0,0,0.253140982055754,一般客户
3896435,236000,41,8.77005787037037,0.884855293109055,0,0,0.253140982055754,一般客户
3908923,1991,38,45.0918171296296,0.12787122712626,0,0,0.253140982055754,长期客户
3911196,10617,237,10.1271412037037,0.485854494930085,0,0,0.253140982055754,一般客户
3917227,4790,30,53.6697916666667,0.308747450261625,0,0,0.253140982055754,长期客户
3935714,14552,235,49.958275462963,0.551630354450587,0,0,0.253140982055754,长期客户
3938316,2498,58,0.0928009259259259,0.169169598249919,0,0,0.253140982055754,试水型
