dealer_id,Estimate,Est.Error,Q2.5,Q97.5,n_obs,mean_roi,total_turnover,Q0.25,Q99.75,Q0.05,Q99.95,显著_p005,显著_p001
1941,-0.0723892754281337,0.0189454065893819,-0.109819584858574,-0.0353209409272059,256,0.367822483983906,378132159,-0.125196824297457,-0.017924768006806,-0.132882292109016,-0.0101713498428388,TRUE,TRUE
2160,-0.0675052759751469,0.00928987229503887,-0.0863058503319817,-0.0495635419344546,1707,0.382994327148881,3044673294,-0.0936813671466259,-0.042087155097624,-0.0970714521325608,-0.0388920537960775,TRUE,TRUE
2261,-0.0651089483419482,0.0128604481434677,-0.0907212920065691,-0.0399584163144245,710,0.383093379758254,2746231936,-0.100683977429354,-0.0287977346161357,-0.106367010150317,-0.0211705353040242,TRUE,TRUE
2171,-0.0578079407224959,0.0145294211391677,-0.0863769947593488,-0.0297734734711741,474,0.38917967482097,320539394,-0.0978744634190694,-0.0201789108494688,-0.101624260185452,-0.0162952331703505,TRUE,TRUE
462,-0.0533685908555773,0.00913410514798542,-0.0713015616640763,-0.0355082488914384,1803,0.397417577295785,2268742616,-0.0811755961024129,-0.0284013773560788,-0.0843482953148119,-0.0236708359975862,TRUE,TRUE
2235,-0.0506680442982294,0.0095947589975644,-0.0695457343751867,-0.03230340150279,1512,0.399923679783227,1410676226,-0.0776122788816867,-0.0246639182537827,-0.0817374913651815,-0.0210727977747126,TRUE,TRUE
2174,-0.0498470949327031,0.00936910400104222,-0.0677617504190621,-0.0312680499866603,1706,0.400910474316312,2214881393,-0.0771333176230176,-0.0234717886474905,-0.0800996270900066,-0.0188880703974203,TRUE,TRUE
1704,-0.049632353586573,0.00972614630529427,-0.0686927727586924,-0.030102920775819,1464,0.401064393205683,1368333902,-0.078358521385875,-0.0223529180315687,-0.0822726552485596,-0.018529410978956,TRUE,TRUE
2130,-0.0477932727313757,0.0153837639397292,-0.0783778501537453,-0.0181136344909875,481,0.399756274305779,469597142,-0.0883969412473662,-0.00634351700088472,-0.0930761615087984,-0.00345089323209633,TRUE,TRUE
1318,-0.0468946759849407,0.00894659241048176,-0.0642124157375907,-0.0291746033887748,1845,0.404167651937074,3956711115,-0.0725946517773765,-0.0220790101207163,-0.0779733518150471,-0.0179064206175851,TRUE,TRUE
970,-0.0468223547013883,0.00977127358255352,-0.0665035415222794,-0.0278055288121116,1429,0.403642065197292,2913584772,-0.0765665917451128,-0.0191151551696175,-0.0812567977454193,-0.0113797424077579,TRUE,TRUE
763,-0.0464974021879837,0.00958854651161058,-0.0650041517798728,-0.0274810047748754,1509,0.40435635606436,3460900485,-0.0753646492474292,-0.0195992911253154,-0.0818252809661362,-0.0146002168078058,TRUE,TRUE
919,-0.0462348999474922,0.00928439492607259,-0.0644024087155715,-0.0283163283797635,1604,0.404527453005487,2759893812,-0.0712862181498254,-0.0203978179440169,-0.075118612071728,-0.0165978494872312,TRUE,TRUE
752,-0.0459573613504132,0.00971735086045834,-0.0648869089636631,-0.0270740633322963,1407,0.404708603603284,2012299244,-0.0731274703697209,-0.0194163532126548,-0.075802005647415,-0.0155358297242462,TRUE,TRUE
1330,-0.0457714818077927,0.0118981247444319,-0.0695669933233692,-0.0226864631560445,859,0.404026128904738,1508346785,-0.0788921812171282,-0.0125894601408449,-0.0842137688777008,-0.00975039804290546,TRUE,TRUE
2141,-0.0442847463062452,0.0102598190796078,-0.0642272001321123,-0.0244591027299438,1245,0.406193537753091,4164248397,-0.0742685760672521,-0.0159489683505901,-0.0803264292977934,-0.00744466477801703,TRUE,TRUE
595,-0.0432524660320008,0.00968592811044888,-0.062337697488806,-0.0240288784383914,1534,0.407486336741538,1301148616,-0.070732638283257,-0.017538932561809,-0.0757243540732132,-0.0145763363649047,TRUE,TRUE
2108,-0.0429551124934557,0.0155476369347959,-0.0727621700587159,-0.0130527299414979,432,0.404995738424837,251041512,-0.086397238071128,0.000530531182265573,-0.0914926874034297,0.0119939213108075,FALSE,FALSE
2127,-0.0428610025057079,0.00922194574987068,-0.061090609635237,-0.0254332772009293,1684,0.407954952074816,2561881984,-0.0692496576168607,-0.0175035382846778,-0.0734754646065634,-0.0144544223236943,TRUE,TRUE
1323,-0.0427194503353933,0.00928381968608616,-0.0613086820184501,-0.024176814480827,1592,0.408344650786577,1658534280,-0.068665406037709,-0.0170095402680953,-0.0707747456299586,-0.0106020907435938,TRUE,TRUE
789,-0.042456272814367,0.00936607558330575,-0.0608467058122878,-0.0242061215037261,1640,0.408613070302171,1099755003,-0.0707185128674273,-0.0166915295562126,-0.0753734216833726,-0.0130888561717041,TRUE,TRUE
2153,-0.0417418200921296,0.00927181942387451,-0.0600220789225229,-0.0241223202972038,1633,0.409085004782157,2039131444,-0.0688460989555751,-0.0161533985424441,-0.0768768014650149,-0.010851796531632,TRUE,TRUE
2115,-0.0416549052034,0.00950392039904113,-0.0605563907648194,-0.0232140433249544,1484,0.409125308525094,2802870068,-0.067869762762028,-0.0141030757229297,-0.074901981788587,-0.00987514501784543,TRUE,TRUE
1405,-0.0408246892815778,0.0098455312929924,-0.0604494851897044,-0.0216954504270826,1346,0.409873433827251,1836146536,-0.0691171943452211,-0.0146559064887632,-0.0718910178835741,-0.0125994553492099,TRUE,TRUE
948,-0.040793602186048,0.00936961061953505,-0.0585750300513098,-0.0225614237799167,1617,0.41027368807898,3559450856,-0.0669614656983239,-0.0145680137083417,-0.0690090156237675,-0.00886087365032677,TRUE,TRUE
2142,-0.0405881559604959,0.00961027222809526,-0.0599775914733578,-0.0217620710028697,1481,0.410129208675571,2676578020,-0.0666773369362003,-0.0153743028080881,-0.0690040970046768,-0.0138785452082653,TRUE,TRUE
2251,-0.0399422183082888,0.00966568887348922,-0.0590162412629723,-0.0213072676132004,1491,0.410890343990892,2206037671,-0.0658184392817881,-0.0124774999874638,-0.0699178834583034,-0.00902084719874623,TRUE,TRUE
