player_id,度中心性,中介中心性,所属连通分量,分量大小
14841119,11237,0.4984,1,44638
4956894,8431,0.3442,1,44638
4752382,4632,0.1099,1,44638
4826061,4073,0.1275,1,44638
1509477,3979,0.0894,1,44638
7846363,3376,0.053,1,44638
4725699,3306,0.0649,1,44638
7771482,2324,0.0494,1,44638
4976100,2271,0.0402,1,44638
7850444,2187,0.1505,1,44638
6333766,2104,0.0344,1,44638
7391776,2014,0.0313,1,44638
4600418,1815,0.0443,1,44638
5798091,1794,0.0304,1,44638
5241027,1779,0.0228,1,44638
7724308,1599,0.0214,1,44638
20099674,1546,0.0678,1,44638
18659232,1434,0.0185,1,44638
3832454,1434,0.0309,1,44638
12438367,1395,0.0204,1,44638
5806794,1323,0.0731,1,44638
5817266,1181,0.0204,1,44638
6353282,1180,0.0301,1,44638
14753884,1098,0.0178,1,44638
4218122,1079,0.0119,1,44638
5967629,1017,0.0077,1,44638
5148344,990,0.0171,1,44638
7026882,963,0.0256,1,44638
21961955,893,0.0123,1,44638
22477772,859,0.0081,1,44638
5070930,797,0.0107,1,44638
5966545,789,0.0165,1,44638
5829383,768,0.0125,1,44638
6012731,765,0.0118,1,44638
5895789,719,0.0112,1,44638
17991748,671,0.0179,1,44638
6637744,656,0.0092,1,44638
7890381,621,0.0071,1,44638
5580084,620,0.0075,1,44638
6581583,611,0.006,1,44638
4714249,598,0.0052,1,44638
13825726,550,0.008,1,44638
16072310,537,0.0077,1,44638
6186355,526,0.008,1,44638
6559435,516,0.0063,1,44638
6047343,506,0.007,1,44638
4250451,489,0.0054,1,44638
5558923,476,0.0096,1,44638
6980715,464,0.0067,1,44638
16399419,445,0.0216,1,44638
5735672,414,0.0096,1,44638
7107627,412,0.0052,1,44638
5167143,408,0.0094,1,44638
6736079,322,0.0025,1,44638
19790129,308,0.0054,1,44638
432499,292,0.0034,1,44638
12676988,286,0.0062,1,44638
4902247,277,0.004,1,44638
21145272,261,0.0029,1,44638
5276469,259,0.0026,1,44638
5620831,252,0.0032,1,44638
3112521,249,0.0051,1,44638
5730387,241,0.0026,1,44638
7121798,240,0.0032,1,44638
7219355,237,0.0054,1,44638
17090528,233,0.0015,1,44638
11250740,227,0.0017,1,44638
544008,214,0.0047,1,44638
6554561,214,0.002,1,44638
3864026,212,0.0023,1,44638
5053333,209,0.0023,1,44638
6253924,208,0.0021,1,44638
7196771,190,0.0014,1,44638
