series,model,n_test,mape_pct,wape_pct,sum_actual,sum_pred,bias_pct
stake_sum,naive_last,30,12.129150970194,12.0334868252297,3004654045.5185,3029397427.9759,0.823501876840216
stake_sum,ma7,30,11.0268774005638,10.6454927414681,3004654045.5185,3103709639.4982,3.29673874193415
stake_sum,ma28,30,15.3146452261812,14.5940269888427,3004654045.5185,3177802786.91479,5.76268478078347
stake_sum,same_weekday_last,30,14.5633666599656,14.4614055305731,3004654045.5185,3190392330.5935,6.18168621948449
stake_sum,ar7_refit_train,30,10.6898747741582,10.6434241754373,3004654045.5185,3052901539.06398,1.60575869349898
stake_sum,train_mean,30,12.3497407596271,12.9409332828759,3004654045.5185,2871038374.62779,-4.4469569163878
ggr_sum,naive_last,30,124.92648742627,55.2942812590769,51576534.7429,52368534.2432,1.53558106268282
ggr_sum,ma7,30,117.392430063927,41.9219192957388,51576534.7429,53041884.4927286,2.84111710321967
ggr_sum,ma28,30,111.72816814594,36.9063580240411,51576534.7429,54928322.2413571,6.49866749514138
ggr_sum,same_weekday_last,30,194.008568780996,58.5249936015348,51576534.7429,54071080.1362,4.83658975100766
ggr_sum,ar7_refit_train,30,96.0644064828764,36.3446805980642,51576534.7429,51117118.5711139,-0.890746487867344
ggr_sum,train_mean,30,100.815109725388,35.6053602876388,51576534.7429,50250391.4753945,-2.57121435962321
n_members,naive_last,30,8.51428527147218,8.65956977445885,548503,551189,0.489696501204187
n_members,ma7,30,6.82889036037436,6.94781979314607,548503,554919.142857143,1.16975528978745
n_members,ma28,30,8.17871112358807,8.13203652226411,548503,565013.178571429,3.01004344031455
n_members,same_weekday_last,30,6.67279845061311,6.85994424825388,548503,558772,1.87218666078399
n_members,ar7_refit_train,30,6.52248872602897,6.48458907709512,548503,565274.964986325,3.05777087569711
n_members,train_mean,30,10.3915089934887,10.0845040664225,548503,585634.678899083,6.7696400747275
hold_pct,naive_last,30,121.009660795849,50.845012679747,51.649414,51.79621,0.28421619652839
hold_pct,ma7,30,110.338149194676,38.9656975414889,51.649414,51.0262711428571,-1.20648582216801
hold_pct,ma28,30,104.142103526936,37.4940973335474,51.649414,51.8421800714286,0.373220248788442
hold_pct,same_weekday_last,30,154.662927573719,54.6217830842862,51.649414,50.556235,-2.11653708210513
hold_pct,ar7_refit_train,30,92.316506690923,32.8911405033996,51.649414,52.6970288707615,2.02831898685526
hold_pct,train_mean,30,103.975393326621,35.5466224597651,51.649414,52.5596273394496,1.7622917066388
