"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(5); "
"aid","VARCHAR(65533)","source_type=varchar(30); "
"type","VARCHAR(65533)","source_type=enum(''A'',''S'',''M'',''C''); A:agent,S:agentsub"
"white_list","VARCHAR(1048576)","source_type=mediumtext; "
"operator","VARCHAR(65533)","source_type=varchar(30); "
"add_time","VARCHAR(65533)","source_type=datetime; "
"update_time","VARCHAR(65533)","source_type=datetime; "
"add_unix_time","VARCHAR(65533)","source_type=int(10); "
"update_unix_time","VARCHAR(65533)","source_type=int(10); "
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
