"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); "
"code","VARCHAR(65533)","source_type=varchar(12); 廠商代號"
"currency","VARCHAR(65533)","source_type=tinyint(2); 幣別"
"agent_id","VARCHAR(65533)","source_type=int(11); 代理 id"
"status","VARCHAR(65533)","source_type=tinyint(1); 啟停用"
"type","VARCHAR(65533)","source_type=varchar(20); 資料類型"
"data","VARCHAR(1048576)","source_type=text; 資料"
"remark","VARCHAR(65533)","source_type=varchar(100); 備註"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
