"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"rtl01","VARCHAR(65533)","source_type=int(11); mid"
"rtl02","VARCHAR(65533)","source_type=varchar(20); IP"
"rtl03","VARCHAR(65533)","source_type=datetime; 登入時間"
"rtl04","VARCHAR(65533)","source_type=decimal(15,2); 目前額度"
"rtl05","VARCHAR(1048576)","source_type=text; user_agent"
"rtl06","VARCHAR(65533)","source_type=varchar(36); 主機識別編號"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
