层,距开局秒,计数,占比,累计占比
局层·该局最末下注秒,0,3486,0.0005515,0.0005515
局层·该局最末下注秒,1,3472,0.0005492,0.0011007
局层·该局最末下注秒,2,7985,0.0012632,0.0023639
局层·该局最末下注秒,3,10776,0.0017047,0.0040685
局层·该局最末下注秒,4,12240,0.0019363,0.0060048
局层·该局最末下注秒,5,14154,0.0022391,0.0082439
局层·该局最末下注秒,6,16617,0.0026287,0.0108725
局层·该局最末下注秒,7,20418,0.0032300,0.0141025
局层·该局最末下注秒,8,26606,0.0042089,0.0183114
局层·该局最末下注秒,9,38385,0.0060722,0.0243836
局层·该局最末下注秒,10,67132,0.0106197,0.0350033
局层·该局最末下注秒,11,168679,0.0266837,0.0616870
局层·该局最末下注秒,12,788825,0.1247858,0.1864728
局层·该局最末下注秒,13,1118809,0.1769867,0.3634595
局层·该局最末下注秒,14,32107,0.0050791,0.3685386
局层·该局最末下注秒,15,37679,0.0059605,0.3744991
局层·该局最末下注秒,16,45228,0.0071547,0.3816538
局层·该局最末下注秒,17,54164,0.0085683,0.3902221
局层·该局最末下注秒,18,67020,0.0106020,0.4008242
局层·该局最末下注秒,19,84863,0.0134247,0.4142488
局层·该局最末下注秒,20,116239,0.0183881,0.4326369
局层·该局最末下注秒,21,174299,0.0275727,0.4602096
局层·该局最末下注秒,22,291131,0.0460546,0.5062642
局层·该局最末下注秒,23,569671,0.0901174,0.5963817
局层·该局最末下注秒,24,1361120,0.2153184,0.8117000
局层·该局最末下注秒,25,1166821,0.1845818,0.9962819
局层·该局最末下注秒,26,617,0.0000976,0.9963795
局层·该局最末下注秒,27,687,0.0001087,0.9964881
局层·该局最末下注秒,28,877,0.0001387,0.9966269
局层·该局最末下注秒,29,1041,0.0001647,0.9967915
局层·该局最末下注秒,30,1283,0.0002030,0.9969945
局层·该局最末下注秒,31,1798,0.0002844,0.9972789
局层·该局最末下注秒,32,2373,0.0003754,0.9976543
局层·该局最末下注秒,33,4010,0.0006344,0.9982887
局层·该局最末下注秒,34,6184,0.0009783,0.9992669
局层·该局最末下注秒,35,3753,0.0005937,0.9998606
局层·该局最末下注秒,36,91,0.0000144,0.9998750
局层·该局最末下注秒,37,58,0.0000092,0.9998842
局层·该局最末下注秒,38,56,0.0000089,0.9998931
局层·该局最末下注秒,39,51,0.0000081,0.9999011
局层·该局最末下注秒,40,50,0.0000079,0.9999090
局层·该局最末下注秒,41,42,0.0000066,0.9999157
局层·该局最末下注秒,42,45,0.0000071,0.9999228
局层·该局最末下注秒,43,30,0.0000047,0.9999275
局层·该局最末下注秒,44,39,0.0000062,0.9999337
局层·该局最末下注秒,45,46,0.0000073,0.9999410
局层·该局最末下注秒,46,33,0.0000052,0.9999462
局层·该局最末下注秒,47,37,0.0000059,0.9999521
局层·该局最末下注秒,48,36,0.0000057,0.9999578
局层·该局最末下注秒,49,26,0.0000041,0.9999619
局层·该局最末下注秒,50,27,0.0000043,0.9999661
局层·该局最末下注秒,51,24,0.0000038,0.9999699
局层·该局最末下注秒,52,22,0.0000035,0.9999734
局层·该局最末下注秒,53,13,0.0000021,0.9999755
局层·该局最末下注秒,54,16,0.0000025,0.9999780
局层·该局最末下注秒,55,15,0.0000024,0.9999804
局层·该局最末下注秒,56,15,0.0000024,0.9999828
局层·该局最末下注秒,57,10,0.0000016,0.9999843
局层·该局最末下注秒,58,9,0.0000014,0.9999858
局层·该局最末下注秒,59,9,0.0000014,0.9999872
局层·该局最末下注秒,60,9,0.0000014,0.9999886
局层·该局最末下注秒,61,10,0.0000016,0.9999902
局层·该局最末下注秒,62,8,0.0000013,0.9999915
局层·该局最末下注秒,63,2,3E-7,0.9999918
局层·该局最末下注秒,64,5,8E-7,0.9999926
局层·该局最末下注秒,65,2,3E-7,0.9999929
局层·该局最末下注秒,66,2,3E-7,0.9999932
局层·该局最末下注秒,67,3,5E-7,0.9999937
局层·该局最末下注秒,68,1,2E-7,0.9999938
局层·该局最末下注秒,69,4,6E-7,0.9999945
局层·该局最末下注秒,70,1,2E-7,0.9999946
局层·该局最末下注秒,71,1,2E-7,0.9999948
局层·该局最末下注秒,72,2,3E-7,0.9999951
局层·该局最末下注秒,73,1,2E-7,0.9999953
局层·该局最末下注秒,74,3,5E-7,0.9999957
局层·该局最末下注秒,77,1,2E-7,0.9999959
局层·该局最末下注秒,78,1,2E-7,0.9999960
局层·该局最末下注秒,79,3,5E-7,0.9999965
局层·该局最末下注秒,82,2,3E-7,0.9999968
局层·该局最末下注秒,83,2,3E-7,0.9999972
局层·该局最末下注秒,84,1,2E-7,0.9999973
局层·该局最末下注秒,85,2,3E-7,0.9999976
局层·该局最末下注秒,87,2,3E-7,0.9999979
局层·该局最末下注秒,90,3,5E-7,0.9999984
局层·该局最末下注秒,92,1,2E-7,0.9999986
局层·该局最末下注秒,93,1,2E-7,0.9999987
局层·该局最末下注秒,96,2,3E-7,0.9999991
局层·该局最末下注秒,98,1,2E-7,0.9999992
局层·该局最末下注秒,101,1,2E-7,0.9999994
局层·该局最末下注秒,131,1,2E-7,0.9999995
局层·该局最末下注秒,142,1,2E-7,0.9999997
局层·该局最末下注秒,175,1,2E-7,0.9999998
局层·该局最末下注秒,215,1,2E-7,1.0000000
注单层·逐秒,-1,3,0E-7,0E-7
注单层·逐秒,0,1027826,0.0078398,0.0078398
注单层·逐秒,1,1318269,0.0100552,0.0178950
注单层·逐秒,2,3367911,0.0256890,0.0435840
注单层·逐秒,3,4734222,0.0361106,0.0796946
注单层·逐秒,4,5383688,0.0410644,0.1207590
注单层·逐秒,5,5875510,0.0448158,0.1655748
注单层·逐秒,6,6331605,0.0482947,0.2138696
注单层·逐秒,7,6852200,0.0522656,0.2661352
注单层·逐秒,8,7429249,0.0566671,0.3228022
注单层·逐秒,9,8152535,0.0621840,0.3849862
注单层·逐秒,10,8980254,0.0684975,0.4534837
注单层·逐秒,11,9692293,0.0739286,0.5274123
注单层·逐秒,12,9820389,0.0749057,0.6023180
注单层·逐秒,13,6206211,0.0473383,0.6496563
注单层·逐秒,14,3501560,0.0267084,0.6763646
注单层·逐秒,15,3486257,0.0265917,0.7029563
注单层·逐秒,16,3481185,0.0265530,0.7295092
注单层·逐秒,17,3481164,0.0265528,0.7560621
注单层·逐秒,18,3506660,0.0267473,0.7828093
注单层·逐秒,19,3571125,0.0272390,0.8100483
注单层·逐秒,20,3766518,0.0287294,0.8387777
注单层·逐秒,21,4119718,0.0314234,0.8702011
注单层·逐秒,22,4588519,0.0349992,0.9052003
注单层·逐秒,23,5080703,0.0387534,0.9439537
注单层·逐秒,24,5117167,0.0390315,0.9829853
注单层·逐秒,25,2141422,0.0163338,0.9993191
注单层·逐秒,26,7343,0.0000560,0.9993751
注单层·逐秒,27,7385,0.0000563,0.9994314
注单层·逐秒,28,7692,0.0000587,0.9994901
注单层·逐秒,29,7949,0.0000606,0.9995507
注单层·逐秒,30,8476,0.0000647,0.9996154
注单层·逐秒,31,9551,0.0000729,0.9996882
注单层·逐秒,32,10587,0.0000808,0.9997690
注单层·逐秒,33,11803,0.0000900,0.9998590
注单层·逐秒,34,11863,0.0000905,0.9999495
注单层·逐秒,35,5136,0.0000392,0.9999887
注单层·逐秒,36,121,9E-7,0.9999896
注单层·逐秒,37,92,7E-7,0.9999903
注单层·逐秒,38,98,7E-7,0.9999910
注单层·逐秒,39,87,7E-7,0.9999917
注单层·逐秒,40,81,6E-7,0.9999923
注单层·逐秒,41,84,6E-7,0.9999930
注单层·逐秒,42,75,6E-7,0.9999935
注单层·逐秒,43,47,4E-7,0.9999939
注单层·逐秒,44,63,5E-7,0.9999944
