桌号,房间,年月,局数,短制式局数,长制式局数,逾制局数,制式纯度,最末下注秒P50,最末下注秒P95,最末下注秒最大
907,5,2026-03,24,2,18,4,0.7500000,24.0,34.29999923706055,35
907,8,2026-03,26,1,20,5,0.7692308,23.0,35.0,35
907,0,2026-03,5139,641,4052,446,0.7884802,23.0,32.0,35
907,10,2026-03,213,4,168,41,0.7887324,24.0,34.0,35
907,1,2026-03,297,5,241,51,0.8114478,24.0,35.0,35
911,9,2026-05,40,3,33,4,0.8250000,23.0,33.5,34
908,9,2026-05,41,1,34,6,0.8292683,24.0,34.0,35
911,0,2026-05,24013,2815,20019,1179,0.8336734,23.0,25.0,40
912,0,2026-05,23989,2806,20038,1145,0.8352995,23.0,25.0,35
910,0,2026-05,25039,2737,21005,1297,0.8388913,23.0,27.0,35
908,0,2026-05,24898,2620,20969,1309,0.8421962,23.0,27.0,35
909,0,2026-05,24253,2581,20472,1200,0.8441018,23.0,25.0,38
907,7,2026-03,60,0,51,9,0.8500000,24.0,35.0,35
907,6,2026-03,60,2,51,7,0.8500000,24.0,34.0,35
910,0,2026-03,6819,990,5829,0,0.8548174,22.0,25.0,25
906,0,2026-05,25038,2240,21444,1354,0.8564582,23.0,28.0,35
911,0,2026-03,7193,1030,6163,0,0.8568052,22.0,25.0,25
903,5,2026-05,134,3,115,16,0.8582090,25.0,33.79999542236328,35
908,0,2026-03,7107,1003,6104,0,0.8588715,22.0,25.0,25
905,0,2026-05,24702,2131,21240,1331,0.8598494,23.0,28.0,35
903,0,2026-05,24549,1953,21227,1369,0.8646788,23.0,28.0,37
909,0,2026-03,7156,958,6198,0,0.8661263,22.0,25.0,25
907,3,2026-03,733,14,635,84,0.8663029,24.0,34.0,35
912,0,2026-03,6948,922,6024,2,0.8670121,22.0,25.0,55
902,0,2026-05,25625,1868,22261,1496,0.8687220,23.0,29.0,35
905,8,2026-05,122,6,106,10,0.8688525,24.0,34.0,35
913,0,2026-03,4497,587,3910,0,0.8694685,22.0,25.0,25
907,4,2026-03,429,9,374,46,0.8717949,24.0,34.0,35
911,6,2026-05,247,3,216,28,0.8744939,24.0,34.0,35
913,9,2026-03,8,1,7,0,0.8750000,24.0,25.0,25
907,11,2026-03,225,4,197,24,0.8755556,24.0,33.0,35
910,0,2026-08,9917,1233,8684,0,0.8756680,22.0,25.0,25
906,0,2026-03,7102,872,6220,10,0.8758096,22.0,25.0,142
905,10,2026-05,943,18,827,98,0.8769883,24.0,34.0,35
901,0,2026-05,25788,1611,22643,1534,0.8780441,23.0,30.0,35
910,0,2026-04,24436,2931,21504,1,0.8800131,22.0,25.0,26
903,0,2026-03,7175,858,6315,2,0.8801394,22.0,25.0,58
912,0,2026-08,9815,1175,8640,0,0.8802853,22.0,25.0,25
912,0,2026-04,23824,2847,20975,2,0.8804147,22.0,25.0,29
905,0,2026-03,7199,854,6344,1,0.8812335,22.0,25.0,69
911,0,2026-04,24191,2842,21348,1,0.8824770,22.0,25.0,28
911,0,2026-08,9801,1141,8660,0,0.8835833,22.0,25.0,25
908,0,2026-08,9945,1156,8789,0,0.8837607,22.0,25.0,25
909,0,2026-08,9881,1142,8739,0,0.8844247,23.0,25.0,25
913,0,2026-08,9782,1118,8663,1,0.8856062,22.0,25.0,175
913,0,2026-04,24353,2763,21585,5,0.8863384,22.0,25.0,64
909,0,2026-04,24659,2783,21874,2,0.8870595,22.0,25.0,28
908,0,2026-04,24342,2744,21597,1,0.8872319,22.0,25.0,29
909,10,2026-05,759,17,674,68,0.8880105,24.0,33.54998779296875,35
912,0,2026-07,26068,2885,23182,1,0.8892896,23.0,25.0,26
913,0,2026-05,24438,2671,21767,0,0.8907030,22.0,25.0,25
911,0,2026-06,24826,2663,22162,1,0.8926931,23.0,25.0,62
