表名,表类型,估计行数,表注释,疑似性质
ods_a168_member_odds,BASE TABLE,0,,生产
ods_a168_member_partner_account,BASE TABLE,9154,,生产
ods_a168_member_partner_gamelist,BASE TABLE,184,,生产
ods_a168_member_url,BASE TABLE,57,,生产
ods_a168_news,BASE TABLE,17,,生产
ods_a168_odds_default,BASE TABLE,8,,生产
ods_a168_opengame_log,BASE TABLE,1,,生产
ods_a168_orderslist,BASE TABLE,145,,生产
ods_a168_partner_bng_token,BASE TABLE,0,,生产
ods_a168_partner_gamelist,BASE TABLE,15,,生产
ods_a168_partner_reportTime,BASE TABLE,1,,生产
ods_a168_partner_setting,BASE TABLE,437,,生产
ods_a168_partner_transation,BASE TABLE,3106849,,生产
ods_a168_partner_transation_log,BASE TABLE,3106851,,生产
ods_a168_partner_type,BASE TABLE,1,,生产
ods_a168_passiplist,BASE TABLE,11,,生产
ods_a168_payment_bank,BASE TABLE,66,,生产
ods_a168_payment_method,BASE TABLE,0,,生产
ods_a168_payment_order,BASE TABLE,0,,生产
ods_a168_payment_platform,BASE TABLE,3,,生产
ods_a168_payment_setting,BASE TABLE,14,,生产
ods_a168_payment_type,BASE TABLE,7,,生产
ods_a168_permissionrole,BASE TABLE,1004,,生产
ods_a168_permissions,BASE TABLE,96,,生产
ods_a168_permissionsPage,BASE TABLE,3,,生产
ods_a168_permissionsPageRoles,BASE TABLE,90,,生产
ods_a168_permissionsgroup,BASE TABLE,10,,生产
ods_a168_play_set,BASE TABLE,16,,生产
ods_a168_realtimebet,BASE TABLE,4290,,生产
ods_a168_realtimelobby,BASE TABLE,5012,,生产
ods_a168_realtimelog,BASE TABLE,58202,,生产
ods_a168_risklist,BASE TABLE,1268825,,生产
ods_a168_roles,BASE TABLE,30,,生产
ods_a168_shuffle_gid,BASE TABLE,19,,生产
ods_a168_shuffle_info,BASE TABLE,0,,生产
ods_a168_site,BASE TABLE,1,,生产
ods_a168_sms_setting,BASE TABLE,1,,生产
ods_a168_stream,BASE TABLE,1,,生产
ods_a168_subagent_permissionrole,BASE TABLE,22,,生产
ods_a168_symbol,BASE TABLE,28,,生产
ods_a168_tablelimit,BASE TABLE,116,,生产
ods_a168_tablelimit_third,BASE TABLE,43,,生产
ods_a168_temp_id_list,BASE TABLE,845,,生产
ods_a168_tip,BASE TABLE,19,,生产
ods_a168_urllist,BASE TABLE,105,,生产
ods_a168_wallet_dtl,BASE TABLE,107571603,,生产
ods_a168_wallet_feedbackerr,BASE TABLE,1179058,,生产
ods_a168_wallet_reporter,BASE TABLE,3092513,,生产
ods_a168_wechat_url,BASE TABLE,8,,生产
ods_a168_white_list,BASE TABLE,6805,,生产
sync_checkpoint,BASE TABLE,79,,生产
ods_a168_game_demoipsetting,BASE TABLE,16,,疑似演示
