日期,有效订单数,本金,洗码量,游戏输赢,退水,下注退水,净输赢,残差式一,残差式二,残差式三,游戏输赢率洗码量为分母,游戏输赢率本金为分母,免佣订单数,佣金标脏值订单数
2026-07-06,867505,109365979.3544108753,98539780.2170329480,-1745315.2105993081,120401.4336308666,98539780.2170329480,-1624913.7769683933,4.82E-8,-98539780.2170328998,-98419378.7834020332,-0.017711783066,-0.015958483807,80866,0
2026-07-07,912798,118207811.6340399875,106824459.8107833194,-3128199.2034703586,96253.2202582013,106824459.8107833194,-3031945.9832121254,3.19E-8,-106824459.8107832875,-106728206.5905250862,-0.029283548066,-0.026463557359,78337,0
2026-07-08,864702,111319206.6432235751,100401529.3608088938,-1768587.3891460391,66858.8470081326,100401493.9689864232,-1701728.5421378943,1.22E-8,-100401493.9689864110,-100334635.1219782784,-0.017615143917,-0.015887531384,88059,0
2026-07-09,927720,122192945.2851551061,110265948.4667710534,-1803182.6468222202,63619.6126855283,110265948.4667710534,-1739563.0341366998,-7.9E-9,-110265948.4667710613,-110202328.8540855330,-0.016353032572,-0.014756847399,84087,0
2026-07-10,1026360,111016039.9661198121,100398765.3945260223,-1282674.9678973101,70786.7250170719,100398765.3945260223,-1211888.2428803009,-6.27E-8,-100398765.3945260850,-100327978.6695090131,-0.012775804193,-0.011553960746,74602,0
2026-07-11,968400,107547676.5618652967,97195787.4783059003,-1191557.4400609371,48043.8599395679,97195787.4783059003,-1143513.5801213828,-1.36E-8,-97195787.4783059139,-97147743.6183663460,-0.012259352704,-0.011079341536,81601,0
2026-07-12,801491,108785956.9322259469,98513857.0438442533,-2589055.5104088429,50827.4991742809,98513857.0438442533,-2538228.0112345385,2.35E-8,-98513857.0438442298,-98463029.5446699489,-0.026281130270,-0.023799537950,68331,0
2026-07-13,821075,109688981.7374109814,99208227.3018308358,-1164516.7429145219,78233.3221938979,99208227.3018308358,-1086283.4207205545,6.95E-8,-99208227.3018307663,-99129993.9796368684,-0.011738106552,-0.010616533443,67111,0
2026-07-14,988794,129834876.9535448070,116806404.7235880481,-1448403.9927703886,76450.6556319606,116801458.8740783482,-1371953.3371384330,-5.0E-9,-116801458.8740783532,-116725008.2184463926,-0.012400039161,-0.011155738941,85532,0
2026-07-15,1008201,152549613.0394533760,137813562.0689698296,-4069543.6425358082,101294.6328595004,137813562.0689698296,-3968249.0096762929,1.49E-8,-137813562.0689698147,-137712267.4361103143,-0.029529340810,-0.026676853264,81510,0
