def_lock,分层,注单数,注单占比,会员数,局数,桌台数,荷官数,账务日数,起始日,结束日,洗码量,游戏输赢,游戏输赢率
K1_20260813,Q_合格层,110319895,0.8475824,719519,4263836,17,302,146,2026-03-21,2026-08-13,10512299950.9456817766,-201665815.5306093976,-0.019183795789
K1_20260813,S_哨兵层,19838411,0.1524176,251562,2060205,30,1,145,2026-03-22,2026-08-13,2051896386.8627729750,-37148216.5828299984,-0.018104333543
