源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,遊戲ID,"傳送的桌子列表,留空代表所有桌都送",啟停用,註解,来源库,来源表,ODS表名,同步时间
1fdb5a80a6808c569f04221ae4a680d2,2026-07-23,2121,4121,102,3,1,印度ig,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
22134663889f80964846f610ff1f7b52,2026-07-23,2141,4141,107,1,1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
2e25aa70376b81f2a4367c4391273583,2026-07-23,2152,4152,103,1,1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
3ee99794a16947e67fbb8dddbc0c6f8c,2026-07-23,2001,4001,104,1,1,zy,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
48b4fa9b3b5ace53e9766f4e5aee1ef5,2026-07-23,2139,4139,104,1,1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
8d7c7c9e228abf4e5df98a68deef0808,2026-07-23,2062,4062,101,"",1,Rex line投,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
904097b438b123dfa69be0ff947c3af4,2026-07-23,2155,4155,107,1,1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
b0f943169fde2fc874143052647a29cc,2026-07-23,2161,4161,105,31,1,瓦力,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
b6ce10bc18a3b9516c0aa59d92fcb74f,2026-07-23,2065,4065,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,101,102,103,105,106,108,109",1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
bd838906008d33c7590da74369ac2e24,2026-07-23,2179,4179,101,"112,113,115,116",1,Foxy,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
cdaa8880b611b107d3078da1819481d7,2026-07-23,2067,4067,103,1,1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
ce87bbe04e604d8dc854b0b757cca91d,2026-07-23,2151,4151,102,"1,3,31",1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
ced1965728644a12ef76f39717ad90eb,2026-07-23,2154,4154,105,31,1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
f11eef59a8862366e20466d68d3d06b1,2026-07-23,2068,4068,104,1,1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
42b5591bddd92178243b2e596f85104b,2026-07-23,2070,4070,101,1,1,slam,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
43908a4da58404a01b38b8c01ca606f9,2026-07-23,2165,4165,102,31,1,ong,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
5111ff4340f42b6795aa7584d3bd62df,2026-07-23,16107,30107,107,"",1,現場平板-番攤,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
5ad741a1d366986559188231309f7379,2026-07-23,2100,4100,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,101,102,103,105,106,108,109,112,115,201,202,203,205,501,502,503,505,506",1,柬國,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
82fb5da4d04c7cbc725470621962c79a,2026-07-23,2063,4063,104,1,1,tz,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
8ed50aef84b99b03c8ec060157936703,2026-07-23,2012,4012,102,1,1,venice,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
be427a47f13ac51fba1d4387d3b05b2e,2026-07-23,2116,4116,101,"31,32,36",1,bg,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
ee9ebaae6265644a8d31460c9e3111bb,2026-07-23,2125,4125,105,31,1,亚星,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
05b4b9df05ea6af51f6771ae677b1bce,2026-07-23,2108,4108,105,31,1,yy,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
0c4d9d961b59f46485e4ddf7c63eb377,2026-07-23,2168,4168,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,112,113,115,116",1,Yeebet,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
5ef9ee8e4706ae4ecf5c89c8bce9afc1,2026-07-23,2182,4182,104,1,1,Casinogame,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
745cac8da34aff0e51785df00263f8e5,2026-07-23,2071,4071,101,1,1,申博,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
745fca4acbac85a02aa1ce817025bf28,2026-07-23,16106,30106,106,"",1,現場平板-三公,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
94ff7c39e8b14c1e8278772ae379e78e,2026-07-23,2146,4146,105,31,1,kx1,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
9af2afc00be6f20a90d9dc1f88b9d4f7,2026-07-23,16103,30103,103,"",1,現場平板-輪盤,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
a04c561301f064b95dd22721853c8fcf,2026-07-23,2171,4171,104,1,1,Yeebet,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
a97892a3ae877ee89b8562969623b113,2026-07-23,2175,4175,104,1,1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
aed36b259f4b279ea52cb69feb4c7853,2026-07-23,2030,4030,101,"1,2,5,6,7",1,wh,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
c075b54d1deb2370bc0363238319d81e,2026-07-23,2058,4058,101,1,1,長江單雙,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
e2922d3c69a0facc6cd84b0eb90c939b,2026-07-23,2105,4105,101,"1,2,5,6,7,8,31,32,33,35,36,101,102,103,105,112,113,115,501,502,503,505,506",1,yy,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
0f19ab068004af3228ddb793003834a8,2026-07-23,2162,4162,108,1,1,瓦力,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
161bc0d756b8e8e8c56089c5b026b36e,2026-07-23,16108,30108,108,"",1,現場平板-色碟,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
31a7694c09c3bb39646a0395e3f91e32,2026-07-23,2135,4135,105,31,1,玖鼎,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
515db28c2247a7645b0192f7d3e8a460,2026-07-23,2157,4157,101,"1,2,3,5,6,7,8",1,瓦力,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
70eb2028065525b640576b59f9746213,2026-07-23,2119,4119,102,3,1,RichClub LLC,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
7e4681d603f4eb9fea00984fb5f6f451,2026-07-23,2147,4147,107,1,1,kx1,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
96394aafeb85230d10d071e028b182fe,2026-07-23,16101,30101,101,"",1,現場平板-百家,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
a0927c3542eda211d2e3bbb2552dfcb5,2026-07-23,2170,4170,103,1,1,Yeebet,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
a3dcec8bfda59322f3ecc8052a6d6872,2026-07-23,2150,4150,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,112,113,115,116",1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
aebf9b683e0bd434856f319f7fb12760,2026-07-23,2123,4123,103,1,1,亚星,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
b49629f78bd4952ee488f0554f784b21,2026-07-23,2126,4126,104,1,1,亚星,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
c50f2241a832d0b6d8d954113bf00bc6,2026-07-23,2134,4134,103,1,1,玖鼎,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
f9bd234bff0859a9ce1ba4c15f6ca9e7,2026-07-23,2166,4166,103,1,1,ong,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
39b95c9e15b4bafa0b775974220d561e,2026-07-23,2176,4176,105,31,1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
47d297bc3be36e6fe4b86359d3f90ef2,2026-07-23,16105,30105,105,"",1,現場平板-牛牛,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
4bdc6bf18da834edc5ddf818e52c3104,2026-07-23,2144,4144,102,"1,3",1,kx1,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
50f37503a3356999708eafcc4b69e042,2026-07-23,2079,4079,108,"1,2",1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
5de7f7643dce9f60b15ed1a9a89d6746,2026-07-23,2159,4159,103,1,1,瓦力,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
6b27eb809584740ac127e2bea509025d,2026-07-23,2097,4097,101,"201,202,203,205",1,張哥,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
735cd85ba9f99acc5f7ec471c75d7a51,2026-07-23,2094,4094,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,101,102,103,105,106,108,109,341,342,343",1,tg,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
952d491a0175f70c4fe9683bceb44b80,2026-07-23,16102,30102,102,"",1,現場平板-龍虎,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
98d82ed320b1cd83dc6f96ddf6f0272d,2026-07-23,2153,4153,104,1,1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
a030c9d221a9e113493d71080f177a30,2026-07-23,2107,4107,103,1,1,yy,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
a934b6b9a3515a6a27a41e24909df02b,2026-07-23,2169,4169,102,"1,3,31",1,Yeebet,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
c5fb0ec9103223e8d21ba22ca5040f49,2026-07-23,2173,4173,102,"1,3,31",1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
d3c4ee5573315b40d2e6f7ab1d8daacd,2026-07-23,2133,4133,102,3,1,玖鼎,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
d730a47520fc5d04cee2875b23b182ca,2026-07-23,2077,4077,105,31,1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
e02a2cc45383c41f07f5df2f60375b1d,2026-07-23,2120,4120,101,"112,113,115,116",1,亚星,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
e3cf57cc956ead0568616093c3fbaa81,2026-07-23,2109,4109,101,"33,35,112",1,bg,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
ed73e1e71dc77a2c2ce8697d187368ea,2026-07-23,2118,4118,101,"112,113",1,RichClub LLC,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
104eacfdf0a931fd95aeee0a72d3343a,2026-07-23,2156,4156,108,"1,2,5",1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
112e770228958f8e68645bf208b40d65,2026-07-23,2076,4076,101,"1,2,5,6,7,8,31,32,33,35,36",1,egaming,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
1a48fc0879504a817f50a9c08d802b9c,2026-07-23,2131,4131,101,1,1,ow,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
1cfacd01c731c9919078a9a60ce9176e,2026-07-23,2019,4019,101,"1,2,7",1,tz,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
2e29273431c36e6b53ab0a2c03af2da6,2026-07-23,2136,4136,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,112,113,115,116",1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
6697761704bbbbf62daa979a48a669ab,2026-07-23,16104,30104,104,"",1,現場平板-骰寶,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
674ec087a4f9a3333e5fc1371fc54b00,2026-07-23,2181,4181,102,"1,3,31",1,Casinogame,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
75ae5fa9d9e74594d818372594bf0f44,2026-07-23,2160,4160,104,1,1,瓦力,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
8a39c18ca81ef8ff7cfd744cb85afcd5,2026-07-23,2066,4066,102,"1,31",1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
a3d97420987ed4d1d46712420bd99ed3,2026-07-23,2102,4102,101,6,1,pp,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
aa413459dd1270459c15222e8968abc7,2026-07-23,2064,4064,105,31,1,tz,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
07fe8f87c81b03918a3b1c22d2b5b874,2026-07-23,2163,4163,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,112,113,115,116",1,ong,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
