源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"","0:黑名單,1:白名單","0:停用,1:啟用",_1,来源库,来源表,ODS表名,同步时间
b07bffd6f3b32ee395cfc88fff37c563,2026-07-23,110.74.214.41,1,1,現場,a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
f528764d624db129b32c21fbca0cb8d6,2026-07-23,127.0.0.1,1,1,"",a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
3c3b7b8b29ff2b88e4ec70cd9de15da0,2026-07-23,220.132.45.34,1,1,11F,a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
8c36e9fa5cf370d3c27dbcfbe0dabb94,2026-07-23,110.74.198.62,1,1,99,a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
b4774a0e93ea45442361758988fc37e4,2026-07-23,220.134.72.26,1,1,soda,a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
c6e17f6837c50d8a1334603a40853525,2026-07-23,110.74.200.100,1,1,99,a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
f302b8f79e122bdec56f6c7cc772790e,2026-07-23,103.5.124.125,1,1,現場,a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
00b2f76925170741ef5096e4f0676fdc,2026-07-23,122.117.8.151,1,1,"",a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
0ce36ae93bfc34700b98ddab3ee51aaa,2026-07-23,45.195.27.22,1,1,現場,a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
a181a603769c1f98ad927e7367c7aa51,2026-07-23,all,1,1,"",a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
ac4692a8706ce7494aaa3fa4a941b631,2026-07-23,103.134.176.36,1,1,現場,a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
dedc5fdc433c85ef103c5bd3f6d6fa4a,2026-07-23,35.229.196.215,1,1,vpn,a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
edcddd203a6f1a0dfc48d4da1a28e3de,2026-07-23,43.230.62.131,1,1,現場,a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
9febd39dc9cfea00c03c6336ba291b75,2026-07-23,114.35.26.81,1,1,"",a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
a8b74062936ebcfd9e772e3ce12ccaa6,2026-07-23,59.126.193.12,1,1,"",a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
9eef145602c8473d291f98b032165511,2026-07-23,110.74.198.213,1,1,99,a168,game_demoipsetting,ods_a168_game_demoipsetting,2026-07-23T04:22:09Z
