dt,n_orders,n_members,stake_sum,validbet_sum,ggr_sum,late_stake_share,stake_ramp_day,hold_pct,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
2026-07-22,903350,17461,96695972.5983,87297772.9638,-121578.1694,0.206344,0.885259,-0.125732,96695972.5983,87297772.9638,-195720.0326,903350,45406,0.00202408,0.00202408,,0.00125732,195720.0326,96695972.5983,OK,74141.8632,997.3196,3.9888,96.0112,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,997.3196,2001.8811,7657.4815,25658.0601,-5240.1570,3.988763,4.034106,4.239102,4.541190,4.327262,96.011237,95.965894,95.760898,95.458810,95.672738,4.9891,31074.5853,15518.627,-300936.4810,-285380.5228,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-196717.3522,83739721.1907,-269861.8957,-270859.2153,-73144.5436,-0.00279083,-0.00280114,997.3196,-270859.2153,-0.00280114,997.3196,2001.8811,7657.4815,25658.0601,-5240.1570,-270859.2153,-0.00280114,31074.5853,15518.627,-300936.4810,-285380.5228,-0.00311219,-0.00295132,-0.00075644,107.0415,1922.6043,-4.3104,-195720.0326,-203.4512,96695972.5983,45406.0000,107.0415,,5.0,14.3073,51.6356,180.7244,339.9057,1663.6167,12.2634,-2.0439,23.757466,116.277299,7.481592,29,119,23271,16,1.00000000,-0.00202408,-0.00202408,0.00084930,0.046127,0.902807,0.081065,,2026-07-22,2026-07-22,1,962,29,1,1.000000,,1.000000,3.333333,3,0.0,1.0,1.0,0.5217391304347826,0.5217391304347826,0.5217391304347826,n_rounds>=30,139,139,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00873822,A 净亏最大十分位 · 优先复核,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-20,731013,16675,71464121.4173,64161190.6363,-15827.3763,0.218648,0.967160,-0.022147,71464121.4173,64161190.6363,-57326.7295,731013,38078,0.00080217,,0.00080217,0.00022147,57326.7295,71464121.4173,OK,41499.3532,1547.1899,3.9757,96.0243,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,1547.1899,478.8237,10356.3319,14099.8581,-9401.2127,3.975683,4.021005,4.304986,4.692617,4.485243,96.024317,95.978995,95.695014,95.307383,95.514757,4.9888,17080.9909,3956.9361,-115907.0735,-102783.0187,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-58873.9194,61580019.4405,-98826.0826,-100373.2725,-39952.1633,-0.00138288,-0.00140453,1547.1899,-100373.2725,-0.00140453,1547.1899,478.8237,10356.3319,14099.8581,-9401.2127,-100373.2725,-0.00140453,17080.9909,3956.9361,-115907.0735,-102783.0187,-0.00162189,-0.00143825,-0.00055905,97.7604,1684.9937,-1.5055,-57326.7295,-72.0185,71464121.4173,38078.0000,,97.7604,5.2352,16.4199,52.3519,170.2707,306.8647,1308.7977,13.088,-2.1946,18.688564,79.707942,5.95377,29,113,21178,16,0E-8,-0.00080217,,0.00064680,0.031018,0.897810,0.071982,,2026-04-20,2026-04-20,1,796,29,1,1.000000,,,0.000000,1,0.007246376811594203,0.9927536231884058,0.9927536231884058,0.014492753623188406,0.014492753623188406,0.014492753623188406,n_rounds>=30,139,139,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00954207,A 净亏最大十分位 · 优先复核,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-05-25,679608,16782,88122790.2977,78937341.8777,171306.8064,0.230969,0.974819,0.194396,88122790.2977,78937341.8777,105911.0562,679608,40005,-0.00120186,,-0.00120186,-0.00194396,-105911.0562,88122790.2977,OK,65395.7502,5542.6698,4.0460,95.9540,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,5542.6698,5406.2409,5858.4075,32019.0338,29967.3052,4.045968,4.093221,4.300942,4.708682,4.562806,95.954032,95.906779,95.699058,95.291318,95.437194,4.9829,78793.6572,68613.0441,-38278.3512,-28097.738,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,100368.3865,75678468.7550,40515.3060,34972.6363,-59853.0804,0.00045976,0.00039686,5542.6698,34972.6363,0.00039686,5542.6698,5406.2409,5858.4075,32019.0338,29967.3052,34972.6363,0.00039686,78793.6572,68613.0441,-38278.3512,-28097.738,-0.00043438,-0.00031885,-0.00067920,129.6671,1973.1869,2.6474,105911.0562,121.8769,88122790.2977,40005.0000,,129.6671,5.1891,14.4273,51.8914,181.6201,389.1858,1722.6528,12.6037,-2.1321,26.975606,119.402101,8.987605,29,112,21072,16,0E-8,0.00120186,,0.00082845,0.050141,0.895765,0.073871,,2026-05-25,2026-05-25,1,869,29,1,1.000000,,,0.000000,2,0.014492753623188406,0.9855072463768116,0.9855072463768116,0.2536231884057971,0.2536231884057971,0.2536231884057971,n_rounds>=30,139,139,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00930942,A 净亏最大十分位 · 优先复核,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-25,897708,18672,108648856.6523,98188002.7627,224225.0107,0.216799,0.959928,0.206376,108648856.6523,98188002.7627,171418.3012,897708,45462,-0.00157773,-0.00157773,,-0.00206376,-171418.3012,108648856.6523,OK,52806.7095,29597.4497,3.9992,96.0008,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,29597.4497,30603.3697,24727.2708,29827.0053,51036.8878,3.999196,4.039990,4.227383,4.568340,4.644701,96.000804,95.960010,95.772617,95.431660,95.355299,4.9926,165791.9832,141154.2625,-47180.3916,-22542.6708,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,141820.8515,94227005.9491,118611.5917,89014.1420,-23209.2598,0.00109170,0.00081928,29597.4497,89014.1420,0.00081928,29597.4497,30603.3697,24727.2708,29827.0053,51036.8878,89014.1420,0.00081928,165791.9832,141154.2625,-47180.3916,-22542.6708,-0.00043425,-0.00020748,-0.00021362,121.0292,2159.7819,3.7706,171418.3012,179.4956,108648856.6523,45462.0000,121.0292,,5.1098,15.4907,51.6356,173.2652,339.6739,1663.6167,12.9089,-2.0439,21.927649,107.394773,7.813038,29,125,23988,16,1.00000000,0.00157773,0.00157773,0.00053781,0.037911,0.903719,0.072192,,2026-07-25,2026-07-25,1,955,29,1,1.000000,,1.000000,3.333333,5,0.021739130434782608,0.9782608695652174,0.9782608695652174,0.8188405797101449,0.8188405797101449,0.8188405797101449,n_rounds>=30,139,139,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00873284,A 净亏最大十分位 · 优先复核,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-03-21,117343,4639,9515288.7127,8496832.5934,159749.4760,0.237307,0.909007,1.678872,9515288.7127,8496832.5934,156169.3587,117343,4715,-0.01641247,,-0.01641247,-0.01678872,-156169.3587,9515288.7127,OK,3580.1173,6307.3693,4.0118,95.9882,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,6307.3693,6206.7850,5285.4846,6124.7596,9127.9047,4.011760,4.048729,4.279493,4.766987,4.516891,95.988240,95.951271,95.720507,95.233013,95.483109,4.9937,33052.3033,32142.5076,119536.9382,120446.7339,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,149861.9894,8155556.4225,152589.2415,146281.8722,2727.2520,0.01603622,0.01537335,6307.3693,146281.8722,0.01537335,6307.3693,6206.7850,5285.4846,6124.7596,9127.9047,146281.8722,0.01537335,33052.3033,32142.5076,119536.9382,120446.7339,0.01256262,0.01265823,0.00028662,81.0895,1802.0854,33.1218,156169.3587,1115.4954,9515288.7127,4715.0000,,81.0895,5.2663,13.1659,49.9994,140.0011,263.3173,957.4133,11.0241,-2.2009,19.999999,72.719365,6.159074,17,70,5244,16,0E-8,0.01641247,,0.00042135,0.039404,0.892966,0.074687,,2026-03-21,2026-03-21,1,140,17,1,1.000000,,,0.000000,1,0.028985507246376812,0.5072463768115942,0.5072463768115942,0.0,0.0,0.0,n_rounds>=30,139,139,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L4_CI_3P0,0.02711682,A 净亏最大十分位 · 优先复核,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-06-30,969741,19831,118246196.7630,106391133.7023,713898.0002,0.221536,0.947284,0.603739,118246196.7630,106391133.7023,632521.1339,969741,45198,-0.00534919,,-0.00534919,-0.00603739,-632521.1339,118246196.7630,OK,81376.8663,22886.4897,4.0204,95.9796,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,22886.4897,21288.7705,22883.5180,22158.7564,18902.4273,4.020351,4.061803,4.240147,4.564590,4.382687,95.979649,95.938197,95.759853,95.435410,95.617313,4.9936,108119.9619,99510.7421,443024.3058,451633.5255,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,609634.6443,102056134.5974,551144.2677,528257.7780,-58490.3766,0.00466099,0.00446744,22886.4897,528257.7780,0.00446744,22886.4897,21288.7705,22883.5180,22158.7564,18902.4273,528257.7780,0.00446744,108119.9619,99510.7421,443024.3058,451633.5255,0.00374663,0.00381943,-0.00049465,121.9359,2353.8903,13.9944,632521.1339,664.4130,118246196.7630,45198.0000,,121.9359,5.1431,18.0094,61.3171,200.0,385.733,1704.1582,12.9066,-2.5716,21.418415,94.625983,6.770674,29,130,26758,16,0E-8,0.00534919,,0.00076488,0.054809,0.899743,0.086885,,2026-06-30,2026-06-30,1,952,29,1,1.000000,,,0.000000,5,0.036231884057971016,0.9710144927536232,0.9710144927536232,0.927536231884058,0.927536231884058,0.927536231884058,n_rounds>=30,139,139,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00875831,A 净亏最大十分位 · 优先复核,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-06-09,895804,21344,95686553.1106,86056396.3031,696359.1198,0.211766,0.923883,0.727750,95686553.1106,86056396.3031,626692.3928,895804,45827,-0.00654943,,-0.00654943,-0.00727750,-626692.3928,95686553.1106,OK,69666.7270,26348.8763,3.9958,96.0042,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,26348.8763,27486.1796,16945.7046,33200.8465,27585.7244,3.995812,4.035933,4.246435,4.599832,4.445121,96.004188,95.964067,95.753565,95.400168,95.554879,4.9914,131567.3314,121729.7473,425458.3344,435295.9185,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,600343.5166,82506289.9456,557025.6658,530676.7895,-43317.8508,0.00582136,0.00554599,26348.8763,530676.7895,0.00554599,26348.8763,27486.1796,16945.7046,33200.8465,27585.7244,530676.7895,0.00554599,131567.3314,121729.7473,425458.3344,435295.9185,0.00444638,0.00454919,-0.00045271,106.8164,1877.8536,13.6752,626692.3928,658.2903,95686553.1106,45827.0000,,106.8164,5.1431,18.0009,58.1601,180.0087,359.9135,1542.9321,12.8578,-2.5716,19.994221,85.714292,5.933956,29,109,27262,16,0E-8,0.00654943,,0.00080955,0.046079,0.899357,0.077010,,2026-06-09,2026-06-09,1,952,29,1,1.000000,,,0.000000,3,0.043478260869565216,0.9637681159420289,0.9637681159420289,0.4927536231884058,0.4927536231884058,0.4927536231884058,n_rounds>=30,139,139,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00869799,A 净亏最大十分位 · 优先复核,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-07-26,741265,16371,74191816.2191,66749523.7766,747459.6413,0.229491,1.007237,1.007469,74191816.2191,66749523.7766,689391.2796,741265,41136,-0.00929201,-0.00929201,,-0.01007469,-689391.2796,74191816.2191,OK,58068.3617,28047.2033,3.9946,96.0054,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,28047.2033,28289.2865,35942.9681,34403.7860,31579.9171,3.994574,4.040573,4.208000,4.574969,4.463421,96.005426,95.959427,95.792000,95.425031,95.536579,4.9905,158263.1611,142189.0578,473059.7568,489133.8601,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,661344.0763,64044843.1218,631322.9179,603275.7146,-30021.1584,0.00850933,0.00813130,28047.2033,603275.7146,0.00813130,28047.2033,28289.2865,35942.9681,34403.7860,31579.9171,603275.7146,0.00813130,158263.1611,142189.0578,473059.7568,489133.8601,0.00637617,0.00659283,-0.00040464,100.0881,1622.6547,16.7588,689391.2796,791.4940,74191816.2191,41136.0000,100.0881,,4.6646,14.3073,51.6356,154.9067,300.0,1349.9998,11.3708,-2.0439,20.968285,94.357267,6.995587,29,113,20211,16,1.00000000,0.00929201,0.00929201,0.00086994,0.041554,0.899688,0.074815,,2026-07-26,2026-07-26,1,871,29,1,1.000000,,1.000000,3.333333,1,0.050724637681159424,0.9202898550724637,0.9202898550724637,0.028985507246376812,0.028985507246376812,0.028985507246376812,n_rounds>=30,139,139,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00918055,A 净亏最大十分位 · 优先复核,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-12,913266,19410,82785312.9320,75224728.3106,750781.6805,0.220355,0.944396,0.906902,82785312.9320,75224728.3106,716204.6793,913266,41130,-0.00865135,,-0.00865135,-0.00906902,-716204.6793,82785312.9320,OK,34577.0011,32970.9886,3.9993,96.0007,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,32970.9886,18238.5021,13631.2067,13422.9156,24408.4616,3.999301,4.034673,4.206971,4.682442,4.554392,96.000699,95.965327,95.793029,95.317558,95.445608,4.9896,102672.0747,97445.8936,578955.6036,584181.7846,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,683233.6908,72192007.6076,681627.6782,648656.6896,-1606.0126,0.00823368,0.00783541,32970.9886,648656.6896,0.00783541,32970.9886,18238.5021,13631.2067,13422.9156,24408.4616,648656.6896,0.00783541,102672.0747,97445.8936,578955.6036,584181.7846,0.00699346,0.00705659,-0.00001940,90.6475,1828.9504,17.4132,716204.6793,842.5937,82785312.9320,41130.0000,,90.6475,4.2165,13.088,52.3519,157.0557,271.5538,1047.0382,10.5412,-2.1082,20.74834,80.000001,6.926016,29,113,24688,16,0E-8,0.00865135,,0.00045965,0.031928,0.908672,0.073912,,2026-04-12,2026-04-12,1,850,29,1,1.000000,,,0.000000,1,0.057971014492753624,0.9347826086956522,0.9347826086956522,0.13768115942028986,0.13768115942028986,0.13768115942028986,n_rounds>=30,139,139,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00918122,A 净亏最大十分位 · 优先复核,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2026-04-21,984609,22703,102445092.3337,92126082.7028,862691.5234,0.224095,0.969729,0.842101,102445092.3337,92126082.7028,789868.8847,984609,45112,-0.00771017,,-0.00771017,-0.00842101,-789868.8847,102445092.3337,OK,72822.6386,32757.1540,3.9677,96.0323,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,32757.1540,42307.4928,31602.0313,34955.8377,27095.4532,3.967687,4.002735,4.219213,4.646630,4.448380,96.032313,95.997265,95.780787,95.353370,95.551620,4.9929,168717.9689,145218.0769,548328.2773,571828.1693,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,757111.7307,88393431.3860,717046.2461,684289.0921,-40065.4846,0.00699932,0.00667957,32757.1540,684289.0921,0.00667957,32757.1540,42307.4928,31602.0313,34955.8377,27095.4532,684289.0921,0.00667957,168717.9689,145218.0769,548328.2773,571828.1693,0.00535241,0.0055818,-0.00039109,104.0465,2042.1636,17.5091,789868.8847,843.8770,102445092.3337,45112.0000,,104.0465,5.2352,14.7577,52.3519,183.2317,351.7721,1722.774,13.088,-2.1545,23.836578,116.737632,7.050338,29,117,28746,16,0E-8,0.00771017,,0.00079047,0.031870,0.899273,0.067335,,2026-04-21,2026-04-21,1,936,29,1,1.000000,,,0.000000,4,0.06521739130434782,0.9492753623188406,0.9492753623188406,0.6666666666666666,0.6666666666666666,0.6666666666666666,n_rounds>=30,139,139,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00876665,A 净亏最大十分位 · 优先复核,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
