window_id,bet_ip,n_member_raw,n_member_eff,n_prof_A,n_prof_B,n_prof_C,n_orders,n_rounds,stake,net_pnl,game_pnl,share_p50,share_p90,stake_xagg,valid_bet,profit,n_bets,n_rounds_xagg,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,net_margin,net_margin_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
W1,73.155.77.109,9,9,0,0,0,180089,89913,46719210.8487699310,-1250842.7927829854,-1250842.7927829854,0.8725817799568176,0.9868786334991455,47891714.2687,43474565.0263,1202477.8817,184253,85241,-0.02510827,-0.04217678,-0.02309361,-0.02510827,-1202477.8817,47891714.2687,OK,0.0000,166507584.0508,-165305106.1691,-3.45164312,259.9237,510.0194,14.1068,11452.1703,57.1140,456111.5645,811.8190,131.1112,294.0193,13.6799,67.659,151.2205,683.9945,1367.989,3419.9727,40.5449,-6.8399,20.218878,50.547197,3.841672,29,273,1,15,0.10557236,0.02510827,0.04217678,0E-8,0.000000,0.907768,0.038860,-0.01908317,2026-04-24,2026-08-06,105,21054,2981,105,1.000000,0.445927,0.504422,0.351908,5,1.0,0.44358470955075646,1.0,A 平台净亏首位 · 立即处置,1,1
W1,76.30.217.21,10,10,0,0,0,177230,73512,29453727.3451940957,-766488.5194897946,-766488.5194897946,1.0,1.0,29720122.6940,26856539.0745,757539.1351,177854,69923,-0.02548910,-0.04606663,-0.02160387,-0.02548910,-757539.1351,29720122.6940,OK,0.0000,102860544.6555,-102103005.5204,-3.43548398,167.1040,384.0873,10.8339,5529.4827,39.1291,216935.2021,510.3869,112.7268,183.8486,6.8587,33.8295,82.0793,338.295,683.9945,3382.95,20.6897,-6.8966,20.218878,100.000004,4.939596,30,277,1,14,0.15882200,0.02548910,0.04606663,0E-8,0.000000,0.903648,0.007141,-0.02446276,2026-03-22,2026-08-06,137,19360,3562,138,0.992754,0.613150,0.674591,0.529407,5,0.9998845132232359,0.4412749740154752,0.9998845132232359,A 平台净亏首位 · 立即处置,2,1
W1,218.250.135.229,14,14,0,1,1,40522,31721,13267669.4311819303,-248399.9173510155,-248399.9173510155,0.6978857517242432,1.0,13310061.1910,11851082.9499,252248.9921,40707,31721,-0.01895175,-0.05758690,-0.01709683,-0.01895175,-252248.9921,13310061.1910,OK,0.0000,50663490.8548,-50411241.8627,-3.78745380,326.9723,373.6037,7.9521,3552.8027,112.1605,187465.6506,446.7746,242.9319,332.4948,87.2905,259.0226,431.7044,693.0607,872.905,1745.8101,175.886,-43.1704,3.369995,6.739991,1.262331,29,218,1,8,0.04581190,0.01895175,0.05758690,0E-8,0.000000,0.890385,0.028324,-0.04049007,2026-03-26,2026-07-23,71,2249,902,120,0.591667,0.730634,0.742974,0.152706,5,0.9997690264464719,0.4796165839011433,0.9996535396697078,A 平台净亏首位 · 立即处置,3,1
W1,116.87.44.82,7,6,2,0,0,11239,6013,11338588.6079964221,-173879.5714325714,-174185.6657621916,0.2669287919998169,0.7443929314613342,11338899.9338,10235489.4255,174190.8973,11240,6013,-0.01536224,-0.02862480,-0.01497010,-0.01538923,-174190.8973,11338899.9338,OK,306.0943,48744982.7627,-48571097.9598,-4.28358114,1008.7989,1702.2267,28.9690,2124.2792,80.2353,138279.2675,73.3293,468.5368,1044.4065,53.6769,267.3797,1069.5187,2673.7969,4812.834,10695.1875,160.4278,-53.4759,18.0,40.000003,3.772908,30,192,1,8,0.02871822,0.01536224,0.02862480,0.00002991,0.016228,0.902688,0.756851,-0.01365470,2026-03-22,2026-08-03,82,2171,1104,135,0.607407,0.448615,0.464450,0.095727,5,0.9996535396697078,0.5021365053701351,0.9995380528929437,A 平台净亏首位 · 立即处置,4,1
W1,73.115.186.250,8,8,1,1,1,34963,17839,13779664.0716805245,-338047.2128379666,-338047.2128379666,1.0,1.0,13779664.0717,12498288.0068,338047.2128,34963,17631,-0.02453233,-0.02238910,-0.06985587,-0.02453233,-338047.2128,13779664.0717,OK,0.0000,47868443.0659,-47530395.8530,-3.44931456,394.1213,708.8814,19.1735,8895.9793,72.4956,362622.7387,463.9737,453.2999,104.7972,6.7935,33.9674,135.8696,1946.382,3378.3784,3396.739,33.7838,-6.7935,99.459459,99.999995,11.602932,29,216,1,14,0.95484790,0.02453233,0.02238910,0E-8,0.000000,0.907010,0.021737,0.04746677,2026-06-30,2026-08-06,38,4663,915,38,1.000000,4.325498,1.150153,3.182826,5,0.9995380528929437,0.44797320706779076,0.9997690264464719,A 平台净亏首位 · 立即处置,5,1
W1,112.119.174.42,31,26,5,8,8,39632,33430,8112685.5419394706,-107049.0789153485,-107049.0789153485,0.332867294549942,0.7032092809677124,8182056.1774,7403937.3696,105739.5031,39908,33383,-0.01292334,-0.03320398,-0.01055746,-0.01292334,-105739.5031,8182056.1774,OK,0.0000,35361956.0483,-35256216.5452,-4.30896779,205.0230,221.7877,3.1675,1229.5291,17.7415,95140.1881,388.1744,267.7039,199.5718,60.0,172.6817,288.1375,436.4525,567.3882,768.1564,140.0,-20.0,3.285745,4.448394,1.187288,29,233,1,8,0.10446988,0.01292334,0.03320398,0E-8,0.000000,0.904899,0.445349,-0.02264652,2026-03-21,2026-08-06,86,5960,1919,139,0.618705,1.341391,1.305726,0.348233,5,0.9994225661161797,0.5165723524656427,0.9991915925626516,A 平台净亏首位 · 立即处置,6,1
W1,96.246.95.142,8,7,4,2,2,1371,1368,7575710.3040540820,-4564.3268948402,-4564.3268948402,0.802904486656189,0.8794301748275757,7575710.3041,6934949.2876,4564.3269,1371,1368,-0.00060249,-0.00060249,,-0.00060249,-4564.3269,7575710.3041,OK,0.0000,33287756.5805,-33283192.2536,-4.39340879,5525.6822,5069.4074,3.3365,351.1021,23.0522,582746.9465,105.2308,5525.6822,,3396.739,6756.7568,6793.478,10135.1348,10190.2178,13571.5352,3396.739,0.0,1.508152,2.008587,0.817801,29,107,1,4,1.00000000,0.00060249,0.00060249,0E-8,0.000000,0.915419,0.013129,,2026-07-25,2026-08-06,13,198,130,13,1.000000,,1.000000,3.333333,5,0.9993070793394156,0.5983369904145975,0.9990761057858876,A 平台净亏首位 · 立即处置,7,1
W1,108.14.94.213,8,7,3,4,4,1594,1569,7368355.9782609076,-6467.3913043652,-6467.3913043652,0.42155909538269043,0.7480344772338867,7368355.9783,6622771.7391,6467.3913,1594,1569,-0.00087773,0.00139425,-0.00494788,-0.00087773,-6467.3913,7368355.9783,OK,0.0000,31789304.3478,-31782836.9565,-4.31342311,4622.5571,4221.0145,4.1220,461.9565,22.2247,526311.1413,112.0714,4287.1714,5375.9796,3396.739,3396.739,6793.478,6793.478,6793.478,10190.2178,3396.739,0.0,2.0,3.0,1.360881,29,130,1,4,0.64176460,0.00087773,-0.00139425,0E-8,0.000000,0.898813,0.005019,0.00634214,2026-07-02,2026-07-23,14,291,188,22,0.636364,0.797468,0.927446,2.139215,5,0.9991915925626516,0.5967201755399006,0.9989606190091235,A 平台净亏首位 · 立即处置,8,1
W1,172.56.60.248,6,6,1,3,3,13123,9043,9172571.8194255099,16037.2777017814,16037.2777017814,0.08589579910039902,0.11972405761480331,9172571.8194,8293245.5540,-16037.2777,13123,8737,0.00174839,,0.00174839,0.00174839,16037.2777,9172571.8194,OK,0.0000,31763130.4720,-31779167.7497,-3.46458642,698.9691,949.2097,-1.8356,-2004.6597,-9.3186,1146571.4774,1092.1250,,698.9691,34.1997,136.7989,820.7935,2735.978,3419.9727,3419.9727,102.5992,-13.6799,25.0,25.0,5.109464,29,162,1,14,0E-8,-0.00174839,,0E-8,0.000000,0.904135,0.044121,,2026-05-05,2026-05-12,8,1721,230,8,1.000000,,,0.000000,5,0.9990761057858876,0.6100011548677676,0.9993070793394156,A 平台净亏首位 · 立即处置,9,1
W1,73.32.97.100,9,8,0,1,1,31852,16232,9225652.4573105486,-293466.0787096299,-293466.0787096299,0.12741820514202118,0.2553786039352417,9225652.4573,8335706.5749,293466.0787,31852,15321,-0.03180979,,-0.03180979,-0.03180979,-293466.0787,9225652.4573,OK,0.0000,31925756.1819,-31632290.1032,-3.42873203,289.6412,544.0707,19.1545,8384.7451,74.1825,263590.0702,437.7429,,289.6412,34.2936,68.9655,275.8621,868.9655,1379.3103,3429.3552,55.1724,-20.6897,20.0,49.725652,4.199798,30,213,1,14,0E-8,0.03180979,,0E-8,0.000000,0.903536,0.033530,,2026-03-21,2026-04-24,35,3956,846,35,1.000000,,,0.000000,5,0.9989606190091235,0.40143203603187433,0.9994225661161797,A 平台净亏首位 · 立即处置,10,1
