年月,当月有下注天数,活跃会员数,物理局数,玩家局数,投注金额,游戏盈利,返水,净盈利,胜局数,负局数,和局数,胜率,游戏盈利率,净盈利率
2026-03,10,92322,398923,6467001,906041236.6982152,-16889307.39839251,437823.6166530467,-16451483.781739376,2913576,3036152,517273,0.48969902489660033,-0.0186407712080968,-0.01815754417722937
2026-04,30,232895,1312544,21056425,2871772171.1386547,-48514537.16077465,1652693.9332151322,-46861843.227563076,9479794,9904401,1672230,0.48904759779810303,-0.016893588442825073,-0.016318092256246915
2026-05,31,224155,1355941,20307115,2898708232.9856787,-46875600.64005463,1533600.6977331617,-45341999.94232097,9140215,9553142,1613758,0.48895524757805675,-0.016171203471476193,-0.015642139980269268
2026-06,30,211613,1323908,19198577,2909003541.649073,-55585629.63079137,2073756.3111740113,-53511873.31961507,8647026,9020283,1531268,0.48943650671418043,-0.01910813405173122,-0.018395258910300243
2026-07,31,205411,1380292,20595687,3300634989.698149,-55214275.67975911,2240984.6968858507,-52973290.98287465,9280796,9669253,1645638,0.4897505014366981,-0.016728379797248828,-0.016049424170868156
2026-08,13,101684,521442,7631833,1019179031.406115,-16291883.113812562,461608.838322576,-15830274.27548979,3433766,3586711,611356,0.4891072216318065,-0.015985300532856715,-0.015532378304182219
