IP,承载会员数,订单数,活跃天数,投注金额,游戏盈利,净盈利,订单占全量比,投注额占全量比,入选门槛_承载会员数P999
49.48.233.134,76,1624,67,47852.85360749694,-1482.4471250741942,-1480.6560195637292,1.2525089609342224e-05,3.4420278864904795e-06,44
49.48.233.20,76,1564,63,56529.670885054555,-2951.3147496999472,-2843.865457982867,1.206233999323352e-05,4.066146299162461e-06,44
103.199.33.146,76,1549,53,89435.14068754707,52.450460585624114,52.45046058562434,1.1946652589206346e-05,6.433017575163133e-06,44
103.199.33.118,76,1362,54,80206.77049445659,-172.13810374308827,-172.13810374308827,1.0504416285667555e-05,5.769226282547334e-06,44
103.199.33.44,76,1274,60,88549.02160566988,9848.061735181322,9848.061735181322,9.825716848708125e-06,6.369279545753435e-06,44
103.199.32.135,76,1209,50,72762.72264587118,-1114.728091069391,-1114.728091069391,9.324404764590362e-06,5.233780256833494e-06,44
103.199.33.90,76,1127,54,86191.14947661382,-9831.11736956469,-9831.11736956469,8.691980289241802e-06,6.199679176931999e-06,44
103.199.33.247,76,1006,61,53996.9795021677,-1770.7465878853448,-1770.7465878853443,7.758768563422584e-06,3.8839712832423045e-06,44
49.48.233.0,75,2832,65,102913.84627537438,3202.753703793833,3238.6504179985554,2.1841781880330774e-05,7.402533016972192e-06,44
49.48.233.102,75,2347,73,121798.40846992505,-1354.2649157164137,-1023.0948120479892,1.8101222483452094e-05,8.760888575680686e-06,44
