窗口右端日,窗口左端日,窗口内有下注天数,是否满窗,活跃会员数,物理局数,玩家局数,投注金额,游戏盈利,返水,净盈利,胜局数,负局数,和局数,胜率,游戏盈利率,净盈利率
2026-03-22,2026-02-21 00:00:00,1,0,16311,19967,527034,66495006.577297196,-1084802.6859987814,28113.720798455288,-1056688.9652003283,237794,246249,42991,0.4912662717981667,-0.016314047352379027,-0.015891252886364917
2026-03-23,2026-02-22 00:00:00,2,0,28095,51483,1076252,142623810.05308592,-3014064.7029480925,75038.63555526455,-2939026.0673928508,485614,504237,86401,0.49059302864774595,-0.021132970026717345,-0.020606840234452563
2026-03-24,2026-02-23 00:00:00,3,0,38575,95116,1771202,237748493.63310772,-4729502.12477247,146730.2963804829,-4582771.8283920195,799361,828164,143677,0.49115128799864827,-0.019892879456351105,-0.019275713416145257
2026-03-25,2026-02-24 00:00:00,4,0,48691,139637,2454339,326941531.1359825,-6428907.139372403,184085.01506680305,-6244822.12430564,1106360,1150218,197761,0.4902821883400441,-0.019663782441572013,-0.019100730649322967
2026-03-26,2026-02-25 00:00:00,5,0,57266,184091,3138571,422199277.1651621,-7568663.622303076,233565.8555871885,-7335097.766715961,1416011,1470861,251699,0.49050009837637415,-0.01792675646704685,-0.017373544113971823
2026-03-27,2026-02-26 00:00:00,6,0,65447,227592,3834088,519063422.14708406,-9954534.675842483,267685.7243649692,-9686848.95147759,1728943,1798201,306944,0.49018214169877955,-0.01917787740593619,-0.018662168317328826
2026-03-28,2026-02-27 00:00:00,7,0,73227,271268,4502826,615874616.379164,-11234622.241835782,310514.5483699133,-10924107.693465943,2029132,2112887,360807,0.489889592491005,-0.018241736131107526,-0.017737551447875394
2026-03-29,2026-02-28 00:00:00,8,0,79835,315791,5176841,718194891.8559816,-12741864.325503403,346167.60982992436,-12395696.715673517,2333126,2429625,414090,0.48986940530798273,-0.017741513438748472,-0.01725951668027069
2026-03-30,2026-03-01 00:00:00,9,0,85545,353832,5729769,793873560.5536807,-14272679.8000096,383201.34298977995,-13889478.457019836,2582501,2689440,457828,0.48985772033488234,-0.017978530220927418,-0.017495832015532464
2026-03-31,2026-03-02 00:00:00,10,0,92322,398923,6467001,906041648.685552,-16889335.873454213,437823.61665304704,-16451512.256801141,2913576,3036123,517302,0.4897014117857055,-0.018640794159911486,-0.018157567348772895
2026-04-01,2026-03-03 00:00:00,11,0,101872,443518,7229358,1013639391.5932937,-19379702.065647233,474484.8803184114,-18905217.185328696,3257766,3395647,575945,0.4896383254729565,-0.01911893147244915,-0.018650831195118064
2026-04-02,2026-03-04 00:00:00,12,0,109383,487759,7974120,1112578586.8790665,-20643279.36091711,535806.8144159396,-20107472.546501007,3592945,3746900,634275,0.4895123807110368,-0.018554446044862595,-0.018072855961487798
2026-04-03,2026-03-05 00:00:00,13,0,116350,531102,8712119,1220361749.8171203,-23686119.610379353,605882.7986700538,-23080236.811709113,3925250,4093720,693149,0.4894955337156767,-0.0194090970271142,-0.018912618996103286
2026-04-04,2026-03-06 00:00:00,14,0,122880,575379,9414585,1316649099.1007924,-25731584.92249298,662056.0671137169,-25069528.855378985,4239489,4425840,749256,0.48924732113460434,-0.019543236645258335,-0.019040402543472106
2026-04-05,2026-03-07 00:00:00,15,0,128935,620523,10109352,1403371957.1785939,-26544211.2014578,699094.0987895769,-25845117.10266807,4553003,4753331,803018,0.48923700782714225,-0.018914594285340824,-0.018416441179734223
2026-04-06,2026-03-08 00:00:00,16,0,135030,658667,10720864,1476279044.3164444,-28189486.960763007,731133.8838846189,-27458353.076878253,4828840,5039911,852113,0.4893060935471976,-0.019094958415409514,-0.018599703885651363
