"FullName","Length","CreationTime","LastWriteTime","Attributes"
"C:\ProgramData\Microsoft\Windows\WER\ReportQueue\4b065d82-daa3-48a5-818d-b73c15f686ad","0","2026-08-03 下午 02:55:51","2026-08-03 下午 02:55:51","Archive, Compressed, NotContentIndexed"
"C:\ProgramData\Microsoft\Windows\WER\ReportQueue\695bfe8f-8331-4bbe-b442-3268d81f8a2b","0","2026-08-03 下午 02:55:59","2026-08-03 下午 02:55:59","Archive, Compressed, NotContentIndexed"
