uid,总投注笔数,晚注笔数,晚注比例,总投注额,平均赔率,涉及桌台数,涉及荷官数
127684170,45303,34640,0.7646293,119042875.82,3.85606175970697,1,127
144423994,2533,1839,0.7260166,28158879.36,3.85711267272009,1,113
125596988,9238,6627,0.7173631,5058432.51,3.85450194847369,2,106
142010197,15385,11410,0.7416315,28906934.56,3.83795543711407,2,115
110487696,9457,7840,0.8290155,3651556.14,3.85844895844346,1,114
34782907,15708,12359,0.7867965,163873943.03,3.85249688693658,2,127
148526758,2065,1501,0.7268765,602932.55,3.86427331719128,1,102
142946460,4801,3466,0.7219329,38436111818.2001,3857.56704534472,2,116
122512049,293,213,0.7269625,201697.4,1,1,90
145901276,1989,1456,0.7320261,4149304.42,1,2,114
125106826,1986,1636,0.8237664,882392.44,3.8733,1,82
147633478,5856,4122,0.7038934,10101787.2,3.85068659494534,1,123
123414047,8387,6753,0.8051747,23681958.099,3.87627077620124,1,111
142282770,2870,2497,0.8700348,4344469.76,3.87329993031358,1,117
146293885,1436,1026,0.7144847,179548.76,3.85290313370474,1,113
146548399,1311,919,0.7009916,31596486.52,3.80322051868803,2,108
125045188,1764,1299,0.7363946,3265149.56,3.85664744897959,1,72
7257294,623,472,0.7576244,6245421.2,3.8733,2,93
148768188,15160,11503,0.7587731,53487272.59,3.8537088192612,1,105
149991934,1915,1372,0.7164491,3201690.24,3.87192449086162,2,130
105410288,2257,1979,0.8768276,348568.33,3.88384554718653,1,104
147734662,2353,1722,0.7318317,1802915.96,3.83045728856778,1,113
105304420,4789,3480,0.7266653,14131080.64,3.86251234078094,1,113
144406526,1371,967,0.7053246,55677225.943,3.85016119620715,1,90
