"uid1","uid2","n_same_orders","rounds_1","rounds_2","same_rate","jaccard","lift","exp_same","n_tables","first_day","last_day",".sr",".so","相对倍数"
142970680,148506373,660,1054,911,0.7244786,0.5057471,747.3126467,0.8831645,20,2026-05-01,2026-08-06,0.7244786,660,33.7007545098477
142054117,142972235,733,1071,1046,0.7007648,0.5296243,690.0280219,1.0622757,18,2026-03-28,2026-08-06,0.7007648,733,32.5976536697461
143526337,149976880,277,1246,471,0.5881104,0.1923611,617.0172007,0.448934,18,2026-06-08,2026-08-04,0.5881104,277,27.357280415306
143571573,148364001,457,1138,954,0.4790356,0.2795107,534.7425887,0.8546168,19,2026-04-17,2026-08-06,0.4790356,457,22.2834203205969
142970680,144500865,210,1054,497,0.4225352,0.1565996,488.3753867,0.4299971,14,2026-03-25,2026-05-12,0.4225352,210,19.6551769051141
50464138,60129558,211,450,1262,0.4688889,0.140573,417.0417902,0.5059445,26,2026-03-26,2026-07-03,0.4688889,211,21.8114237070529
141709041,60129558,582,2094,1262,0.4611727,0.2098053,360.710965,1.6134802,30,2026-03-22,2026-07-15,0.4611727,582,21.4524872775312
141709041,147643602,586,2094,1074,0.5456238,0.2269558,289.0957903,2.0270098,28,2026-03-22,2026-07-15,0.5456238,586,25.3809204834073
148416769,148416818,361,703,1347,0.5135135,0.2137359,258.0862866,1.398757,27,2026-04-09,2026-06-07,0.5135135,361,23.8872375263985
148416769,149309398,170,703,409,0.4156479,0.1804671,256.6049743,0.6624969,26,2026-04-29,2026-06-09,0.4156479,170,19.3347986268107
141877964,59822056,361,365,439,0.9890411,0.8148984,231.5851032,1.5588222,4,2026-03-22,2026-05-22,0.9890411,361,46.0074753225972
126516033,148239860,270,300,331,0.9,0.7479224,223.9881894,1.2054207,10,2026-04-05,2026-06-07,0.9,270,41.8655279243071
78795288,78795292,1736,2275,1985,0.8745592,0.6877971,217.7794217,7.9713684,22,2026-03-22,2026-08-06,0.8745592,1736,40.6820917878441
78795288,78795291,1285,2275,1547,0.8306399,0.5065037,214.1071163,6.0016688,22,2026-03-28,2026-08-06,0.8306399,1285,38.6390865872152
78795291,78795292,1268,1547,1985,0.8196509,0.5600707,212.3536786,5.9711704,22,2026-03-29,2026-08-06,0.8196509,1268,38.1279084912594
148239860,148571655,259,331,402,0.7824773,0.5464135,212.2050861,1.2205174,10,2026-04-19,2026-07-05,0.7824773,259,36.3986947258738
