"风险族","命中人数","∩ 异常 IP","∩ 尾秒下注（画像）","∩ 对打","∩ 同桌率"
"异常 IP","50","50","0","0","19"
"尾秒下注（画像）","547","0","547","0","20"
"对打","65","0","0","65","55"
"同桌率","3,062","19","20","55","3,062"
