"表","L0 事实层行数","哨兵行数（R 侧判据）","哨兵行数（SQL 裁定）","哨兵占比","L1 合格层行数","留存率","荷官数 L0→L1","dealer_id 缺失"
"R03","517,528","0","0","0.00%","517,528","100.00%","288 → 288","0"
"R03b","6,143,388","308,009","308,009","5.01%","5,683,734","92.52%","263 → 261","0"
