__source_pk,dt,tcpsocketport,websocketport,gid,tablelist,enable,comment,source_db,source_table,ods_table_name,sync_time
515db28c2247a7645b0192f7d3e8a460,2026-07-23,2157,4157,101,"1,2,3,5,6,7,8",1,瓦力,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
70eb2028065525b640576b59f9746213,2026-07-23,2119,4119,102,3,1,RichClub LLC,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
7e4681d603f4eb9fea00984fb5f6f451,2026-07-23,2147,4147,107,1,1,kx1,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
96394aafeb85230d10d071e028b182fe,2026-07-23,16101,30101,101,,1,現場平板-百家,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
a0927c3542eda211d2e3bbb2552dfcb5,2026-07-23,2170,4170,103,1,1,Yeebet,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
a3dcec8bfda59322f3ecc8052a6d6872,2026-07-23,2150,4150,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,112,113,115,116",1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
aebf9b683e0bd434856f319f7fb12760,2026-07-23,2123,4123,103,1,1,亚星,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
b49629f78bd4952ee488f0554f784b21,2026-07-23,2126,4126,104,1,1,亚星,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
c50f2241a832d0b6d8d954113bf00bc6,2026-07-23,2134,4134,103,1,1,玖鼎,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
f9bd234bff0859a9ce1ba4c15f6ca9e7,2026-07-23,2166,4166,103,1,1,ong,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
39b95c9e15b4bafa0b775974220d561e,2026-07-23,2176,4176,105,31,1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
47d297bc3be36e6fe4b86359d3f90ef2,2026-07-23,16105,30105,105,,1,現場平板-牛牛,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
4bdc6bf18da834edc5ddf818e52c3104,2026-07-23,2144,4144,102,"1,3",1,kx1,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
50f37503a3356999708eafcc4b69e042,2026-07-23,2079,4079,108,"1,2",1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
5de7f7643dce9f60b15ed1a9a89d6746,2026-07-23,2159,4159,103,1,1,瓦力,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
6b27eb809584740ac127e2bea509025d,2026-07-23,2097,4097,101,"201,202,203,205",1,張哥,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
735cd85ba9f99acc5f7ec471c75d7a51,2026-07-23,2094,4094,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,101,102,103,105,106,108,109,341,342,343",1,tg,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
952d491a0175f70c4fe9683bceb44b80,2026-07-23,16102,30102,102,,1,現場平板-龍虎,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
98d82ed320b1cd83dc6f96ddf6f0272d,2026-07-23,2153,4153,104,1,1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
a030c9d221a9e113493d71080f177a30,2026-07-23,2107,4107,103,1,1,yy,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
a934b6b9a3515a6a27a41e24909df02b,2026-07-23,2169,4169,102,"1,3,31",1,Yeebet,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
c5fb0ec9103223e8d21ba22ca5040f49,2026-07-23,2173,4173,102,"1,3,31",1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
d3c4ee5573315b40d2e6f7ab1d8daacd,2026-07-23,2133,4133,102,3,1,玖鼎,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
d730a47520fc5d04cee2875b23b182ca,2026-07-23,2077,4077,105,31,1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
e02a2cc45383c41f07f5df2f60375b1d,2026-07-23,2120,4120,101,"112,113,115,116",1,亚星,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
e3cf57cc956ead0568616093c3fbaa81,2026-07-23,2109,4109,101,"33,35,112",1,bg,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
ed73e1e71dc77a2c2ce8697d187368ea,2026-07-23,2118,4118,101,"112,113",1,RichClub LLC,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
104eacfdf0a931fd95aeee0a72d3343a,2026-07-23,2156,4156,108,"1,2,5",1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
112e770228958f8e68645bf208b40d65,2026-07-23,2076,4076,101,"1,2,5,6,7,8,31,32,33,35,36",1,egaming,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
1a48fc0879504a817f50a9c08d802b9c,2026-07-23,2131,4131,101,1,1,ow,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
1cfacd01c731c9919078a9a60ce9176e,2026-07-23,2019,4019,101,"1,2,7",1,tz,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
2e29273431c36e6b53ab0a2c03af2da6,2026-07-23,2136,4136,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,112,113,115,116",1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
6697761704bbbbf62daa979a48a669ab,2026-07-23,16104,30104,104,,1,現場平板-骰寶,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
674ec087a4f9a3333e5fc1371fc54b00,2026-07-23,2181,4181,102,"1,3,31",1,Casinogame,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
75ae5fa9d9e74594d818372594bf0f44,2026-07-23,2160,4160,104,1,1,瓦力,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
8a39c18ca81ef8ff7cfd744cb85afcd5,2026-07-23,2066,4066,102,"1,31",1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
a3d97420987ed4d1d46712420bd99ed3,2026-07-23,2102,4102,101,6,1,pp,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
aa413459dd1270459c15222e8968abc7,2026-07-23,2064,4064,105,31,1,tz,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
07fe8f87c81b03918a3b1c22d2b5b874,2026-07-23,2163,4163,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,112,113,115,116",1,ong,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
1a7d0f0069655a48ad75166eb4212566,2026-07-23,2096,4096,106,1,1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
2c452a39579e33e15587bd296294dab3,2026-07-23,2180,4180,101,"112,113,115",1,Casinogame,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
2e0a1e8d79824bc9a9a5e613692352bf,2026-07-23,2095,4095,102,"1,31",1,tg,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
3fbb536f11b963285569af7eb115f2f4,2026-07-23,2142,4142,108,"1,2,5",1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
44bd0b5990afd790a3f6df1f357e278e,2026-07-23,2103,4103,103,1,1,pp,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
5b64b5ad5dc44f2ddfb98529f4b930b2,2026-07-23,2164,4164,108,"1,2,5",1,ong,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
64442c5bf7dc47d3a46fb3cbeaa0bb44,2026-07-23,16110,30110,110,,1,現場平板-魚蝦蟹,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
677c4f7d5a23156a209a8a378720ca3a,2026-07-23,2172,4172,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,112,113,115,116",1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
7faa228cf3564c4aa4a8bd4a8f6a8e45,2026-07-23,2132,4132,101,"1,2,5,6,7,8,31,32,33,35,36,112,113,115,116",1,玖鼎,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
8a7cff4e9bd5514527e26b190b7dd7b6,2026-07-23,2099,4099,101,501,1,line,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
8f379f6b66e5540b95f517126f3eebed,2026-07-23,2069,4069,104,1,1,cituo,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
a1d4f1b4589a38b41f52637c889e5ac5,2026-07-23,2101,4101,101,"6,8,101,102,103,105,106,108",1,cnet,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
a412489042b294e677ccd010d9adee29,2026-07-23,2174,4174,103,1,1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
aaa81b902eea687be7e3f245d116f5ae,2026-07-23,2104,4104,104,1,1,pp,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
b2e74b080e5e60dd0c5c048e23e4715b,2026-07-23,2140,4140,105,31,1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
c85d607449b33dc158526931dc9682d1,2026-07-23,2177,4177,107,1,1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
eb97190bd89b4326fe74ee3bd575502b,2026-07-23,2149,4149,108,"1,2",1,kx1,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
30a2c801b11b82ececd34c0c3f08439e,2026-07-23,16111,30111,111,,1,現場平板-炸金花,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
516c86f343ce0399bcedf86c7a61bdbb,2026-07-23,2078,4078,107,1,1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
69d3ac6f3388c92c22f6cda04b0152e4,2026-07-23,2167,4167,104,1,1,ong,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
8a0713e451d23dc01636e9218584c9ee,2026-07-23,2158,4158,102,1,1,瓦力,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
8bfb8fb2d6fa35ab6c649546a6ac72cd,2026-07-23,2137,4137,102,"1,3,31",1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
94a6553d9f63458e5e1c6b149d8b3175,2026-07-23,2080,4080,110,1,1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
96215e77d14432b3803242592aff839e,2026-07-23,2138,4138,103,1,1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
b0eff2fe10cfa3bbc265aba0c6c8df8e,2026-07-23,2178,4178,108,"1,2,5",1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
e51ff48a69000af5d5ab4f7a6e36292b,2026-07-23,2106,4106,102,"1,3,31",1,yy,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
