"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"mid","VARCHAR(65533)","source_type=int(11); 會員編號"
"lv_id","VARCHAR(65533)","source_type=int(11); 階層編號"
"build_time","VARCHAR(65533)","source_type=timestamp; 建立時間"
"remark","VARCHAR(65533)","source_type=varchar(50); 備注"
"op_time","VARCHAR(65533)","source_type=timestamp; 更新時間"
"op_level","VARCHAR(65533)","source_type=int(11); 操作者層級"
"op_mid","VARCHAR(65533)","source_type=int(11); 操作者編號"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
