__source_pk,dt,id,code,cnname,twname,enname,inname,janame,koname,thname,viname,hiname,msname,gameid,reportCode,gameType,gameGroup,isFree,isWeb,isMobile,isMaintain,tag,status,status_mobile,status_lock,onlineTime,offlineTime,orders,demo_url,series,series_web,remark,source_db,source_table,ods_table_name,sync_time
854d9fca60b4bd07f9bb215d59ef5561,2026-05-19,489,5031,辛巴达冒险,辛巴達冒險,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,adventureofsinbad,adventureofsinbad,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,3,https://d29juml4m9n88c.cloudfront.net/games/slot/adventureofsinbad/?lang=en&curr=usd&hidefps=true&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19 18:53:23
cee631121c2ec9232f3a2f028ad5c89b,2026-05-19,500,5031,夏洛克小姐：悬案,夏洛克小姐：懸案,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,missholmescoldcase,missholmescoldcase,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,5,https://d29juml4m9n88c.cloudfront.net/games/slot/missholmescoldcase/?lang=en&curr=usd&hidefps=true&useIFrame=true&hideTxID=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19 18:53:23
7380ad8a673226ae47fce7bff88e9c33,2026-05-19,497,5031,Dice,Dice,Dice,Dice,Dice,Dice,Dice,Dice,Dice,Dice,dicep,dicep,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,10,https://d29juml4m9n88c.cloudfront.net/games/crash/dicep/?lang=en&curr=usd&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19 18:53:23
1be3bc32e6564055d5ca3e5a354acbef,2026-05-19,494,5031,Plinko,Plinko,Plinko,Plinko,Plinko,Plinko,Plinko,Plinko,Plinko,Plinko,plinkop,plinkop,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,7,https://d29juml4m9n88c.cloudfront.net/games/crash/plinkop/?lang=en&curr=usd&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19 18:53:23
3cf166c6b73f030b4f67eeaeba301103,2026-05-19,499,5031,足球宝贝,足球寶貝,Goal Line Baby,Goal Line Baby,Goal Line Baby,Goal Line Baby,Goal Line Baby,Goal Line Baby,Goal Line Baby,Goal Line Baby,goallinebaby,goallinebaby,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,5,https://d29juml4m9n88c.cloudfront.net/games/slot/goallinebaby/?lang=en&curr=usd&hidefps=true&useIFrame=true&hideTxID=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19 18:53:23
05f971b5ec196b8c65b75d2ef8267331,2026-05-19,498,5031,偶像少女,偶像少女,G-idol,G-idol,G-idol,G-idol,G-idol,G-idol,G-idol,G-idol,gidol,gidol,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,4,https://d29juml4m9n88c.cloudfront.net/games/slot/gidol/?lang=en&curr=usd&hidefps=true&useIFrame=true&hideTxID=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19 18:53:23
559cb990c9dffd8675f6bc2186971dc2,2026-05-19,491,5031,色碟黄金轮,色碟黃金輪,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,xocdiavideo,xocdiavideo,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,12,https://d29juml4m9n88c.cloudfront.net/games/sicbo/xocdiavideo/?lang=en&curr=usd&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19 18:53:23
b534ba68236ba543ae44b22bd110a1d6,2026-05-19,496,5031,Wheel,Wheel,Wheel,Wheel,Wheel,Wheel,Wheel,Wheel,Wheel,Wheel,wheelp,wheelp,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,9,https://d29juml4m9n88c.cloudfront.net/games/crash/wheelp/?lang=en&curr=usd&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19 18:53:23
c3c59e5f8b3e9753913f4d435b53c308,2026-05-19,488,5031,甜心女僕,甜心女僕,Neko Maid,Neko Maid,Neko Maid,Neko Maid,Neko Maid,Neko Maid,Neko Maid,Neko Maid,nekomaid,nekomaid,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,2,https://d29juml4m9n88c.cloudfront.net/games/slot/nekomaid/?lang=en&curr=usd&hidefps=true&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19 18:53:23
2f55707d4193dc27118a0f19a1985716,2026-05-19,493,5031,BlastX,BlastX,BlastX,BlastX,BlastX,BlastX,BlastX,BlastX,BlastX,BlastX,blastxp,blastxp,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,6,https://d29juml4m9n88c.cloudfront.net/games/crash/blastxp/?lang=en&curr=usd&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19 18:53:23
