__source_pk,dt,date,ui,function,counts,source_db,source_table,ods_table_name,sync_time
1a27f2c5623ae8804188fbf9d686d787,2022-07-31,2022-07-31,6,propaganda_btn,57,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
2a8bdf7ac59bbea5f4495f9163a85314,2022-07-31,2022-07-31,6,menu_ver2_goodroadSetting,47,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
2b755995bc5201f19c3cf90cd270830a,2022-07-31,2022-07-31,4,allRoad,288,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
4a2f4c8a2368ed18f748cae5cd1a6d89,2022-07-31,2022-07-31,4,btn-ranking,1,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
65a6134db482121b9c84597b0376dc90,2022-07-29,2022-07-29,6,ui_6_follow_btn,60,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
87182461ef4bd2cda6bde98f54114409,2022-07-29,2022-07-29,4,allRoad,283,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
a1e0ea1743f49539787a96a234ac3851,2022-07-29,2022-07-29,4,menu_ver2_follow,217,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
d3f4765452943c032f2767685cd9c1c7,2022-07-29,2022-07-29,4,zoom_video_btn,24974,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
db729bc29400bff1749ce12db43d1623,2022-07-29,2022-07-29,6,bigRoad,102,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
21af9eb7975da09078dc2ff0160ee854,2022-07-29,2022-07-29,6,btn_game_item6,35684,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
68c1a99aa04778ca1d13b0ba851e26e6,2022-07-29,2022-07-29,4,goodroad_btn,31170,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
ca3c0b85858bb46bc930c4631e972e21,2022-07-29,2022-07-29,6,ui_6_autobet,555,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
c607dbb805320620cf21f443f5670e8b,2022-07-30,2022-07-30,4,menu_ver2_follow,212,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
6340fb71346b036417bb98b1d81f25c0,2022-07-31,2022-07-31,4,zoom_video_btn,25264,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
c1c0e105fa494321a10cb9e6d93ee040,2022-07-31,2022-07-31,6,ui_6_follow_btn,37,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
fbf1a9592dec5386cf8f322c99c85588,2022-07-31,2022-07-31,6,allRoad,13,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
b6ea736187384b8c461b50606720277f,2022-07-28,2022-07-28,6,propaganda_btn,22,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
a45d716aaf87faa310a67d5f4560b4a4,2022-07-29,2022-07-29,6,allRoad,58,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
d99b1e9ae1b4b7697540651bbe8fac40,2022-07-29,2022-07-29,4,bigRoad,677,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
fc0046a853ee7600aabbf2a3df5a314a,2022-07-29,2022-07-29,6,propaganda_btn,42,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
013408c2bb3bea5951ee9bc4f58b13b3,2022-08-01,2022-08-01,4,menu_ver2_follow,22,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
4915d344b706fccff03a1c83d324dcf0,2022-08-01,2022-08-01,4,burst,4,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
bc370542e992171aec6e07a6db86d885,2022-08-01,2022-08-01,4,flytable_btn,420,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
c58a67829e8891ad8faabcb471b93694,2022-08-01,2022-08-01,6,neighbor,4,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
d6379adf1f3007470d4abf14fbd15d7f,2022-08-01,2022-08-01,4,game_btn_multi,418,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
e64fb246d44dfe2397b12071b603f41b,2022-08-01,2022-08-01,4,bigRoad,90,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
ee7ce45b0d70cd9d459c38054030e39c,2022-08-01,2022-08-01,6,tail,3,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
33bb8dbab5e593a5215289e2275bad05,2022-07-30,2022-07-30,6,menu_ver2_rank,36,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
2a56af5663c370b363f8d36d478a2bd6,2022-07-30,2022-07-30,4,allRoad,279,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
5d7596b9781e30d4f855f89b522f8bbc,2022-07-30,2022-07-30,4,zoom_video_btn,25206,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
7cc1ce40dc7b127997ed39225eef3e73,2022-07-30,2022-07-30,6,ui_6_autobet,529,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
842e563a712931b7a6f52008365df4cd,2022-07-30,2022-07-30,4,game_btn_multi,3394,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
16e2f3814052b546f2895071ac840d10,2022-08-02,2022-08-02,6,ui_6_autobet,8,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
95dd16b03569175a262fc7000cad83a7,2022-07-30,2022-07-30,6,ui_6_follow_btn,62,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
b0d6e9862b0c97a4928d15da882f0b27,2022-07-30,2022-07-30,4,goodroad_btn,35593,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
68e922b9604e1a4d5146237c0a5c01a8,2022-07-31,2022-07-31,4,goodroad_btn,37356,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
74b8c17845ad93cebe870a6a3e0fdd4a,2022-07-31,2022-07-31,4,menu_ver2_autobet,1262,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
ddd570bb39005ea4d4b6790c23e83e3a,2022-07-31,2022-07-31,6,btn_game_item6,49729,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
e185718c95d97caa16a930dbda57bcd7,2022-07-31,2022-07-31,4,menu_ver2_goodroadSetting,256,a168,func_counter,ods_a168_func_counter,2026-05-19 18:40:54
