"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); 序號"
"function","VARCHAR(65533)","source_type=varchar(30); 功能"
"content","VARCHAR(65533)","source_type=varchar(500); 指令"
"lv","VARCHAR(65533)","source_type=int(11); 操作者層級"
"operator","VARCHAR(65533)","source_type=int(11); 操作者"
"optime","VARCHAR(65533)","source_type=datetime; 操作時間"
"ip","VARCHAR(65533)","source_type=varchar(255); 操作者ip"
"utp","VARCHAR(65533)","source_type=varchar(1); 操作者utp"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
