月,下注笔数,独立会员数,独立荷官数,总下注金额,总派彩金额,总盈亏,平均roi,平均下注金额
2026-03,94462,13431,95,462658323,418095036.785,-44563286.215,-0.0477939083095612,4897.82476551418
2026-04,6,1,1,165,5,-160,-0.944444444409259,27.5
