日,下注笔数,独立会员数,独立荷官数,独立桌台数,总下注金额,总派彩金额,总GGR,平均GGR占比
2026-06-29,729811,21739,131,30,2622323883,2576075928.41,46247959.201,0.109370333663342
2026-06-30,917496,24958,142,30,3913261134,3643352013.341,269909124.34,0.108972419319185
2026-07-01,939339,28527,130,30,4869789197,4709346828.62,160442369.48,0.109760151820477
2026-07-04,884007,24400,128,30,4458265649.5,4303985378.457,154280267.877,0.10511003387201
2026-07-05,813827,26624,126,30,3827599524.5,3733896915.399,93702619.191,0.101870148192052
2026-07-06,854105,22945,129,30,3675036125.5,3706556204.205,-31520079.321,0.100842406236024
2026-07-07,865985,24696,125,30,3947879692.5,3781627542.809,166252148.6,0.106030265691837
2026-07-08,805103,23461,124,30,3513382099.2,3271726900.463,241655202.031,0.107551388961007
2026-07-09,900615,23929,130,30,4364996139.2,4405335833.829,-40339696.115,0.105380228402919
2026-07-10,1065016,26450,125,30,4713977821.9,4618701637.592,95276179.29,0.104132154345704
2026-07-11,943648,27938,126,29,4943045241.83,4691335946.809,251709293.81,0.104138994903043
2026-07-13,858349,22647,120,30,5879431042.5,5876547381.768,2883668.2,0.104053138569009
2026-07-14,961801,28636,124,30,10130061531.3,9651924311.763,478137206.065,0.112758932204886
2026-07-15,954525,25609,121,30,7108844852.5,6594246270.382,514598592.49,0.103554187176808
2026-07-16,950130,24685,126,30,3993425728.5,3938989926.87,54435803.325,0.1056328087085
2026-07-17,902981,23388,119,29,3875625363,3574372068.547,301253295.695,0.106916044618869
2026-07-18,917213,24253,125,30,3897876922,3878986674.696,18890241.895,0.107144316625027
2026-07-20,823143,21864,128,30,4305523488.2588,4323662326.5008,-18138840.456,0.108472154382384
2026-07-21,865723,24920,128,29,4957383604,4572605166.49,384778437.48,0.108355441169703
2026-07-22,854702,22047,130,30,3418544969.4,3259373095.97,159171864.463,0.10423493532196
2026-07-23,875629,21447,131,30,4135606830,4096846000.586,38760832.825,0.105839005248958
2026-07-26,727182,19619,125,29,2926208943.1,2872427378.56,53781566.429,0.100971567059781
2026-07-27,812778,21419,128,29,3268766474,3378189271.834,-109422797.992,0.102084277362643
2026-07-28,865078,22127,125,30,3340095788.5,3280497786.867,59598000.44,0.100659840418183
2026-07-29,819168,20313,123,30,4093908321.008,3868130753.439,225777563.748,0.102740904606835
