季度,下注笔数,独立会员数,独立荷官数,独立桌台数,总下注金额,总派彩金额,总GGR,平均GGR占比
2026-Q1,9668915,124134,200,31,55127726634.2,54956218488.191,171508136.978,0.104817704133464
2026-Q2,80252998,737453,295,30,515724308983.3,505232704249.323,10491604647.469,0.106046689973377
2026-Q3,28605617,323789,261,30,138362227116.205,134064467944.587,4297759158.5965,0.104776648530775
