dec,n,valid_bet,vb_share,ngr,ngr_share,ngr_rate,rebate,rebate_share,n_rebate_recv,active_days_mean,n_rounds_p50,L5_share,ngr_neg_share
1,72345,11788811145.381,0.97415751331541,200757712.8244,0.888575029942312,0.0170295130143856,8134347.7765,0.989489028855406,3232,18.7914023083834,266,0.940410532863363,0.337051627617665
2,72344,198293132.2581,0.0163857697138324,11061679.7503,0.048960173320626,0.0557844824191996,60606.5544,0.00737238218763886,2556,5.1925937188986,41,0.999917062921597,0.370728740462236
3,72344,61469753.301,0.00507949625126331,5061418.4353,0.0224023773454279,0.0823399828939554,14817.943,0.00180250370792648,2063,2.96035607652328,21,1,0.36770153710052
4,72344,26243958.1571,0.00216864522661313,3532530.4405,0.0156353561603134,0.13460356929979,5844.8651,0.000710988766462395,1894,2.17568837775075,11,1,0.345156474621254
5,72344,12939115.4462,0.00106921184605709,1974366.6735,0.00873875728778048,0.152588998970547,2679.2523,0.000325913131479892,1713,1.72438626561982,8,1,0.343276567510782
6,72345,6915243.797,0.000571434779824664,1302271.7761,0.00576399365265355,0.188318997034487,1345.3372,0.000163651276794048,1713,1.48763563480545,5,1,0.312322897228558
7,72344,3701494.5089,0.000305869577676073,1014481.1165,0.00449020152594773,0.27407338145734,613.0634,7.4575064278086e-05,1449,1.28833075306867,3,1,0.275323454605772
8,72344,1953709.9558,0.000161443016501914,668193.6427,0.00295749626610237,0.34201271315444,321.5174,3.91104423645631e-05,1468,1.19806756607321,2,1,0.246254008625456
9,72344,935087.2008,7.72700665937214e-05,393520.4039,0.00174176324166537,0.420838188741467,148.4084,1.80528897490992e-05,1617,1.1224980648015,2,1,0.21223598363375
10,72344,282525.1691,2.33462062276999e-05,166026.5624,0.000734851257171071,0.587652289277048,31.1869,3.79367790041656e-06,911,1.05296914740683,1,1,0.16850049762247
