dec,from,to,n,active_next,next_vb_share_of_platform,next_pos_ngr_share,next_ngr,vb_retention_ratio
1,2026-03-01,2026-04-01,9492,0.859144542772861,0.596948618044542,0.453983252910886,26705794.6827099,1.93285088724649
2,2026-03-01,2026-04-01,9491,0.718786218522811,0.0566610666412351,0.0574120885160754,2627925.5151203,4.2954090317362
3,2026-03-01,2026-04-01,9491,0.601201137920135,0.020999703618842,0.0239177248840557,776079.932852844,4.84972781214829
4,2026-03-01,2026-04-01,9491,0.524391528816774,0.011525299205414,0.0169332816801608,719613.541566793,6.21876185948772
5,2026-03-01,2026-04-01,9491,0.462016647350121,0.00632578507575568,0.0108737625241151,514351.330460812,7.04785657481646
6,2026-03-01,2026-04-01,9491,0.400800758613423,0.00607064358103279,0.0074181615229786,369814.776260046,13.1637536381251
7,2026-03-01,2026-04-01,9491,0.349067537667264,0.00892484022551949,0.00652777284205459,309482.119281818,37.061084334349
8,2026-03-01,2026-04-01,9491,0.318723000737541,0.00294710475924057,0.00383432357160519,152106.679388134,23.6526896171712
9,2026-03-01,2026-04-01,9491,0.285006848593404,0.00209133968718061,0.00338645761069279,51887.8581447195,35.2233279149682
10,2026-03-01,2026-04-01,9491,0.293962701506691,0.00137310899387343,0.0017293980935655,48309.0445410697,73.7367917873123
1,2026-04-01,2026-05-01,23186,0.702622272060726,0.706803867976164,0.562889236726262,30815809.2994734,0.741412605519775
2,2026-04-01,2026-05-01,23185,0.483717921069657,0.0360709269908502,0.0490228576775066,1480516.56317679,1.23843498960698
3,2026-04-01,2026-05-01,23185,0.36264826396377,0.0157250263380426,0.0232727848676753,987846.206514164,1.72907830535691
4,2026-04-01,2026-05-01,23185,0.293551865430235,0.00749820330757537,0.0129643778645349,412088.194820296,1.94707483386155
5,2026-04-01,2026-05-01,23185,0.235669613974553,0.00599902644455156,0.00768130494920901,151932.064077366,3.24139193743142
