dec,from,to,n,active_next,next_vb_share_of_platform,next_pos_ngr_share,next_ngr,vb_retention_ratio
6,2026-04-01,2026-05-01,23185,0.197023937890878,0.00230769335713087,0.00486764094390627,97348.4761286262,2.40372689891822
7,2026-04-01,2026-05-01,23185,0.174078067716196,0.00284462809886633,0.00377735120097867,101404.160437843,5.62441873430273
8,2026-04-01,2026-05-01,23185,0.142721587233125,0.00132894380149693,0.00231872591872694,69327.2604756586,5.0101819938653
9,2026-04-01,2026-05-01,23185,0.126331679965495,0.00096780149769006,0.00193301941533795,59215.7609120066,7.46150182898918
10,2026-04-01,2026-05-01,23185,0.130040974768169,0.000748892053197908,0.00134155285849382,34444.7213811459,17.3441130216109
1,2026-05-01,2026-06-01,22136,0.70044271774485,0.648983215072525,0.527330245458118,32479759.5699668,0.690233728733146
2,2026-05-01,2026-06-01,22135,0.488728258414276,0.0314864515144595,0.0413979132388325,1141881.2728526,1.16784613202057
3,2026-05-01,2026-06-01,22135,0.349446577817935,0.0137894658938504,0.0211675182591817,880789.363760854,1.66126588980767
4,2026-05-01,2026-06-01,22135,0.287418116105715,0.00813216815674763,0.0127286757569665,554600.412608092,2.3306711834528
5,2026-05-01,2026-06-01,22135,0.221549582109781,0.00318304643695614,0.00782125425727997,431522.469726194,1.90612747372924
6,2026-05-01,2026-06-01,22136,0.196512468377304,0.0026634885676538,0.00511320428526162,236017.136472763,3.07977478490575
7,2026-05-01,2026-06-01,22135,0.170182968149989,0.00180722573483692,0.00276810626976337,53132.1176569943,4.00782677860881
8,2026-05-01,2026-06-01,22135,0.144431895188615,0.00106487188279697,0.00248953983845757,118492.953666938,4.56342160939044
9,2026-05-01,2026-06-01,22135,0.124779760560199,0.000808260735177405,0.00115196488308312,9616.9556195246,7.44726489956727
10,2026-05-01,2026-06-01,22135,0.101332730969054,0.000917566095372963,0.000861734381570139,-9317.3533577754,27.0253697169985
1,2026-06-01,2026-07-01,21082,0.712124086898776,0.674599933566355,0.571567270541277,37316481.0261112,0.791011224248628
2,2026-06-01,2026-07-01,21082,0.491461910634665,0.0381649771919676,0.0517122264342842,2344455.30672885,1.52667018616516
3,2026-06-01,2026-07-01,21082,0.347879707807608,0.0117531463986818,0.0222959596965573,1008900.41737691,1.49367649316007
4,2026-06-01,2026-07-01,21082,0.306375106726117,0.00758205285923205,0.0124708169697135,446686.126896311,2.20241096057441
5,2026-06-01,2026-07-01,21081,0.238556045728381,0.00388883682924937,0.00766545382816077,336541.155818305,2.33304287943385
6,2026-06-01,2026-07-01,21082,0.203396262214211,0.00288631678460137,0.00578712363077137,220097.498047485,3.2484424920269
7,2026-06-01,2026-07-01,21082,0.178493501565316,0.00205915112964719,0.00350629300788849,70752.4874201922,4.37059325874046
8,2026-06-01,2026-07-01,21082,0.16317237453752,0.000862246162806569,0.00207856079170935,55180.9717622368,3.55224037459819
9,2026-06-01,2026-07-01,21082,0.140261834740537,0.001339489261142,0.00183164163956551,75492.0681587822,11.9396651487871
10,2026-06-01,2026-07-01,21081,0.126891513685309,0.000593645949366434,0.000962142650195823,16932.4164332141,17.1247415498089
1,2026-07-01,2026-08-01,20397,0.550914350149532,0.804323721427612,0.693045822405914,7904741.18046352,0.128898773318331
2,2026-07-01,2026-08-01,20397,0.32019414619797,0.0351416969518495,0.0491983492355006,252040.728788941,0.217885509880981
3,2026-07-01,2026-08-01,20397,0.200470657449625,0.0117912427316478,0.0197340337450018,120940.922300932,0.243625863930328
4,2026-07-01,2026-08-01,20397,0.149727901161936,0.00899166763153997,0.0105679823245176,-4399.2735076179,0.440819833883143
5,2026-07-01,2026-08-01,20396,0.110560894292999,0.00287902198070959,0.00585264380923334,49954.1819470358,0.294038892901068
6,2026-07-01,2026-08-01,20397,0.0868264940922685,0.00290356587322969,0.00495310774728551,44194.6264987493,0.56265877250264
7,2026-07-01,2026-08-01,20397,0.0678531156542629,0.00141012512214298,0.0025126798932865,5909.9810227219,0.508961633177464
8,2026-07-01,2026-08-01,20397,0.0603029857331961,0.00317474366980013,0.00313856823756439,18332.2864134408,2.20119621561366
9,2026-07-01,2026-08-01,20397,0.0540765798891994,0.000664001334018207,0.00127878313576532,2079.1192435908,0.987816244315858
10,2026-07-01,2026-08-01,20396,0.0442733869386154,0.000274698924803409,0.000797754086902075,6802.5193738343,1.31605136304902
