stat_date,stat_hour,player_a,player_b,same_round_count,first_game_time,last_game_time,created_time,update_time
2026-05-15,5,4731075,123121371,2,2026-05-15 05:33:38,2026-05-15 05:35:12,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,5563924,150042863,1,2026-05-15 05:26:03,2026-05-15 05:26:03,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,5606781,149404159,23,2026-05-15 05:34:10,2026-05-15 05:50:36,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,5820225,148668921,4,2026-05-15 05:53:51,2026-05-15 05:56:59,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,6074159,74769416,2,2026-05-15 05:31:03,2026-05-15 05:31:36,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,6074159,121125993,1,2026-05-15 05:31:03,2026-05-15 05:31:03,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,6333766,83000454,1,2026-05-15 05:12:35,2026-05-15 05:12:35,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,6333766,142663305,3,2026-05-15 05:24:34,2026-05-15 05:26:12,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,6344724,83000454,3,2026-05-15 05:08:00,2026-05-15 05:17:11,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,6344724,142663305,5,2026-05-15 05:20:21,2026-05-15 05:27:48,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,6412653,47432939,1,2026-05-15 05:22:17,2026-05-15 05:22:17,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,6412653,149404159,6,2026-05-15 05:20:48,2026-05-15 05:24:36,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,7079277,129900188,10,2026-05-15 05:45:30,2026-05-15 05:59:25,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,7079277,143809080,1,2026-05-15 05:55:55,2026-05-15 05:55:55,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,7079277,146391378,2,2026-05-15 05:46:34,2026-05-15 05:51:15,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,7208034,140037732,8,2026-05-15 05:34:16,2026-05-15 05:38:37,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,7788186,31093560,1,2026-05-15 05:56:37,2026-05-15 05:56:37,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,7788186,145838394,11,2026-05-15 05:31:00,2026-05-15 05:58:09,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,10544642,30686225,1,2026-05-15 05:58:19,2026-05-15 05:58:19,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,10544642,63006662,2,2026-05-15 05:09:19,2026-05-15 05:58:19,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,10544642,122898653,3,2026-05-15 05:45:30,2026-05-15 05:52:09,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,10544642,127032766,1,2026-05-15 05:52:09,2026-05-15 05:52:09,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,10544642,131305006,1,2026-05-15 05:08:10,2026-05-15 05:08:10,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,10544642,137060518,2,2026-05-15 05:46:21,2026-05-15 05:55:39,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,10544642,140530424,1,2026-05-15 05:46:57,2026-05-15 05:46:57,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,10544642,146649963,1,2026-05-15 05:58:19,2026-05-15 05:58:19,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,13365362,63006662,5,2026-05-15 05:07:29,2026-05-15 05:23:10,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,13365362,137060518,5,2026-05-15 05:07:29,2026-05-15 05:29:13,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,15140662,136115317,1,2026-05-15 05:48:35,2026-05-15 05:48:35,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,15610107,142013032,1,2026-05-15 05:36:58,2026-05-15 05:36:58,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,18415393,83000454,2,2026-05-15 05:07:22,2026-05-15 05:16:46,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,19643542,110249610,1,2026-05-15 05:32:07,2026-05-15 05:32:07,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,19659861,143809080,1,2026-05-15 05:37:47,2026-05-15 05:37:47,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,19659861,146391378,1,2026-05-15 05:55:18,2026-05-15 05:55:18,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,19659861,147866367,1,2026-05-15 05:08:51,2026-05-15 05:08:51,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20528051,142391599,3,2026-05-15 05:26:15,2026-05-15 05:27:14,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20528051,148285922,2,2026-05-15 05:28:36,2026-05-15 05:29:12,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20528051,148668921,1,2026-05-15 05:54:35,2026-05-15 05:54:35,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20528051,149446176,1,2026-05-15 05:50:35,2026-05-15 05:50:35,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20839104,89353522,4,2026-05-15 05:16:13,2026-05-15 05:23:56,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20839104,114466562,1,2026-05-15 05:30:13,2026-05-15 05:30:13,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20839104,117517946,2,2026-05-15 05:19:44,2026-05-15 05:20:39,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20839104,120046662,3,2026-05-15 05:14:55,2026-05-15 05:24:23,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20839104,123912595,2,2026-05-15 05:20:48,2026-05-15 05:21:32,2026-07-14 18:55:05,2026-07-14 18:54:54
2026-05-15,5,20839104,128768638,1,2026-05-15 05:31:52,2026-05-15 05:31:52,2026-07-14 18:55:05,2026-07-14 18:54:54
