table_schema,table_name,column_name,ordinal_position,data_type,column_type,is_nullable,column_default,column_comment,name_len,has_comment,n_occurrence_in_schema,n_tables_with_name,n_types_with_name,name_collision_class,in_bet01,in_bet02,n_columns_in_table,evidence_source,evidence_grade,economic_path_status,admit_to_risk_decision,deliverable_class,audit_rn,batch_id,run_id,snapshot_sync_time
ods_mariadb_2b,ods_a168_RedPacketSetup,__source_pk,1,varchar,varchar(64),NO,,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,11,1,128,128,1,CROSS_TABLE_TYPE_UNIFORM,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,dt,2,date,date,NO,,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,2,1,128,128,1,CROSS_TABLE_TYPE_UNIFORM,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,id,3,varchar,varchar(65533),YES,,source_type=int(11); ,2,1,64,64,1,CROSS_TABLE_TYPE_UNIFORM,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,agent_id,4,varchar,varchar(65533),YES,,source_type=int(11); 代理id,8,1,5,5,1,CROSS_TABLE_TYPE_UNIFORM,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,status,5,varchar,varchar(65533),YES,,"source_type=tinyint(1); 活动状态:0:关闭,1:开启",6,1,38,38,1,CROSS_TABLE_TYPE_UNIFORM,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,start_time,6,varchar,varchar(65533),YES,,source_type=datetime; 開始活动时间,10,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,end_time,7,varchar,varchar(65533),YES,,source_type=datetime; 結束活动时间,8,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,total_money_updating,8,varchar,varchar(65533),YES,,source_type=tinyint(1); 紅包雨更新鎖,20,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,total_money,9,varchar,varchar(65533),YES,,source_type=int(11); 紅包雨總金額,11,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,single_money_from,10,varchar,varchar(65533),YES,,source_type=int(11); 單次紅包雨總金額範圍,17,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,single_money_to,11,varchar,varchar(65533),YES,,source_type=int(11); 單次紅包雨總金額範圍,15,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,11,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,single_interval,12,varchar,varchar(65533),YES,,"source_type=int(8); 点击红包时间间隔(秒), 0代表无时间间隔",15,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,12,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,single_available_times,13,varchar,varchar(65533),YES,,source_type=int(10); 单次红包雨可领取次数(20211223 不使用rex),22,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,13,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,setting,14,varchar,varchar(1048576),YES,,source_type=text; 紅包雨gid配置,7,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,14,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,duration,15,varchar,varchar(65533),YES,,source_type=int(10); 持續時間,8,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,15,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,need_valid,16,varchar,varchar(65533),YES,,source_type=tinyint(1); 活動獎金是否需要打碼,10,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,16,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,need_valid_percent,17,varchar,varchar(65533),YES,,"source_type=int(3); 需打碼時,獎金的%數",18,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,17,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_RedPacketSetup,rules,18,varchar,varchar(1048576),YES,,source_type=text; 活動規則,5,1,1,1,1,UNIQUE_TO_ONE_TABLE,0,0,26,INFORMATION_SCHEMA.COLUMNS,OBSERVED,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,18,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
