bet09_value,n_rows,n_b14_null,n_b13_null,n_b13_zero,n_pnl_zero_stake_pos,n_exact_refund,pct_pnl_zero,stake_sum,verdict_contamination,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_freecomm,roi_non_freecomm,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_freecomm,avg_stake_non_freecomm,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_freecomm,hold_rate,hold_rate_freecomm,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_freecomm,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_freecomm,ramp_recent,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
Bear8,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.0,0.7272727272727273,0.7272727272727273,0.0,0.0,,n_rounds>=30,23,16,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Lucky7TwoCard,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,2,0.0,0.7272727272727273,0.7272727272727273,0.0,0.0,,n_rounds>=30,23,16,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
SmallTiger,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.0,0.7272727272727273,0.7272727272727273,0.0,0.0,,n_rounds>=30,23,16,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
SuperTie4,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.0,0.7272727272727273,0.7272727272727273,0.0,0.0,,n_rounds>=30,23,16,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
SuperTie5,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,2,0.0,0.7272727272727273,0.7272727272727273,0.0,0.0,,n_rounds>=30,23,16,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
SuperTie8,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.0,0.7272727272727273,0.7272727272727273,0.0,0.0,,n_rounds>=30,23,16,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
SuperTie9,1,0,0,0,1,1,100.000000,10.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,0.0000,0.0000,0.0000,0.0000,0.0000,3.000000,3.000000,3.000000,4.000000,4.000000,97.000000,97.000000,97.000000,96.000000,96.000000,5.0,0.0000,0.0,0.0000,0.0,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0.0000,0.0000,0E-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0E-8,0.0000,0.0,0.0000,0.0,0E-8,0.0,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.0,0.7272727272727273,0.7272727272727273,0.0,0.0,,n_rounds>=30,23,16,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,L5_INSUFFICIENT,1.862,Z 证据不足 · 不动作,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Small,22986,0,0,0,1,1,0.004351,15196355.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,2321583.8920,2321583.8920,98606.8118,22842,22663,-0.04247394,-0.08635376,-0.04144999,-0.05059533,-98606.8118,2321583.8920,OK,18854.4886,4837.0647,3.7326,96.2674,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,4837.0647,4823.7422,4753.0377,5337.2572,5402.0118,3.732642,3.743674,3.911654,3.851961,4.001467,96.267358,96.256326,96.088346,96.148039,95.998533,4.9986,25153.1136,22740.515,54599.2096,57011.8082,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,93769.7471,2211327.2425,79752.3232,74915.2585,-14017.4239,0.03435255,0.03226903,4837.0647,74915.2585,0.03226903,4837.0647,4823.7422,4753.0377,5337.2572,5402.0118,74915.2585,0.03226903,25153.1136,22740.515,54599.2096,57011.8082,0.02351809,0.02455729,-0.00603787,101.6366,102.4394,4.3510,709.4015,13.0381,16702.0424,163.0432,34.1766,106.5441,2.2009,6.2314,19.4645,109.2395,215.3614,1354.5695,6.2314,-2.1006,34.560474,217.376799,16.310308,30,253,1660,1,0.02280319,0.04247394,0.08635376,0.00812139,0.088495,1.000000,0.067814,-0.04490377,2026-03-21,2026-08-06,139,7563,2807,139,1.000000,0.320774,0.187022,0.079256,3,0.3181818181818182,0.5909090909090909,0.5909090909090909,0.45454545454545453,0.45454545454545453,0.2,n_rounds>=30,23,16,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L2_CI_1P5,0.01236861,E 常规,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
AnyPair,154078,0,0,0,2,2,0.001298,545286369.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,1627571.0727,1627571.0727,267150.7134,153193,148889,-0.16414074,-0.26445477,-0.15263637,-0.16433579,-267150.7134,1627571.0727,OK,317.4720,10746.5903,4.0320,95.9680,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,10746.5903,10816.3793,11137.0314,10452.7431,10080.5758,4.031973,4.058514,4.144821,3.754370,4.207557,95.968027,95.941486,95.855179,96.245630,95.792443,4.9864,53233.3198,49025.6265,213599.9216,217807.6149,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,256404.1231,1562985.2442,266833.2414,256086.6511,10429.1183,0.16394568,0.15734284,10746.5903,256086.6511,0.15734284,10746.5903,10816.3793,11137.0314,10452.7431,10080.5758,256086.6511,0.15734284,53233.3198,49025.6265,213599.9216,217807.6149,0.13123846,0.13382372,0.00640778,10.6243,10.9314,1.7943,1921.9476,7.3528,11709.1444,1071.1439,13.4998,10.3710,2.5716,5.1431,10.4704,21.5304,39.2639,100.0,5.1431,-4.0878,7.634282,19.4435,2.065739,30,283,8531,1,0.10288436,0.16414074,0.26445477,0.00019506,0.043061,1.000000,0.080970,-0.11181840,2026-03-21,2026-08-06,139,36333,3972,139,1.000000,1.301691,1.255743,0.748480,2,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.3181818181818182,0.3181818181818182,0.0,n_rounds>=30,23,16,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00482557,E 常规,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
BankerNatural,62174,0,0,0,1159,1159,1.864123,21859428.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,1835718.0444,1805144.9072,294272.9017,61688,60871,-0.16030398,-0.18246282,-0.15529648,-0.16059551,-294272.9017,1835718.0444,OK,535.1781,10790.5234,4.1343,95.8657,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,10790.5234,10988.7192,10281.4945,15042.3837,8584.4455,4.134337,4.263957,4.393788,4.611189,3.605799,95.865663,95.736043,95.606212,95.388811,96.394201,4.9841,55687.5663,51360.0082,238050.1572,242377.7154,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,283482.3783,1729662.2217,293737.7236,282947.2002,10255.3453,0.16001244,0.15413435,10790.5234,282947.2002,0.15413435,10790.5234,10988.7192,10281.4945,15042.3837,8584.4455,282947.2002,0.15413435,55687.5663,51360.0082,238050.1572,242377.7154,0.12967686,0.13203428,0.00558656,29.7581,29.6553,4.8344,2117.0712,14.0511,13206.6046,437.9209,32.6772,29.1693,3.8727,10.0,26.176,68.3995,135.318,257.1553,10.0,-5.2663,13.531799,25.715533,2.975811,30,281,5929,1,0.18432723,0.16030398,0.18246282,0.00029647,0.075271,0.983345,0.167861,-0.02716635,2026-03-21,2026-08-06,139,20943,3746,139,1.000000,1.120263,0.769052,0.554440,2,0.4090909090909091,0.22727272727272727,0.22727272727272727,0.4090909090909091,0.4090909090909091,0.13333333333333333,n_rounds>=30,23,16,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.007547,E 常规,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
