bet09_value,n_rows,n_members,n_days,n_b13_blank,n_b13_zero,n_b13_pos,n_b14_blank,n_b14_zero,n_b14_pos,n_both_pos,n_b13pos_b14zero,b13_sum,b14_sum,n_comm,verdict_nature,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_freecomm,roi_non_freecomm,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_freecomm,avg_stake_non_freecomm,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_freecomm,hold_rate,hold_rate_freecomm,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_freecomm,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_freecomm,ramp_recent,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
Tip_1_,5564,521,139,0,0,5564,0,5564,0,0,5564,472187.40,0.00,1,⚠ 单向扣款（本金恒正・派彩恒零）—— UNKNOWN / SPECIAL_TRANSACTION，禁径判为小费,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,3,2,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Tie,9642347,151782,139,0,0,9642347,0,8728993,913354,913354,8728993,6315860341.00,5480095747.00,2,◐ 具赔付关系——形似投注，惟仍须上游确认其玩法定义,150118908.2369,150118908.2369,22608595.7156,9571012,3807782,-0.15060458,-0.15128776,-0.15052358,-0.15158178,-22608595.7156,150118908.2369,OK,146695.4530,941286.2050,4.0414,95.9586,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,941286.2050,958422.9370,937474.3158,990011.9481,915857.2040,4.041398,4.079531,4.223647,4.786005,4.539592,95.958602,95.920469,95.776353,95.213995,95.460408,4.9872,4743052.6099,4331595.621,17718847.6527,18130304.6416,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,21667309.5105,143899311.3009,22461900.2626,21520614.0575,794590.7520,0.14962739,0.14335712,941286.2050,21520614.0575,0.14335712,941286.2050,958422.9370,937474.3158,990011.9481,915857.2040,21520614.0575,0.14335712,4743052.6099,4331595.621,17718847.6527,18130304.6416,0.11803208,0.12077296,0.00529308,15.6847,39.4242,5.9375,162651.7677,183.4488,1079992.1456,27394.1151,34.5403,14.7313,2.5716,5.1431,12.8426,26.176,47.1123,175.5084,5.1431,-4.2165,9.160288,34.124968,3.049664,30,295,435471,1,0.10599579,0.15060458,0.15128776,0.00097720,0.048330,1.000000,0.048133,-0.00076417,2026-03-21,2026-08-06,139,123242,4007,139,1.000000,2.344687,1.048869,0.729366,2,0.5,0.5,0.5,0.5,0.5,0.0,n_rounds>=30,3,2,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00095421,E 常规,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Banker,46822113,571172,139,0,0,46822113,0,20908151,25913962,25913962,20908151,330779501341.07,326319503009.67,8,◐ 具赔付关系——形似投注，惟仍须上游确认其玩法定义,7036215458.7323,6303633265.0840,82070853.1278,46475885,5757541,-0.01166406,-0.01202656,-0.01160700,-0.01236179,-82070853.1278,7036215458.7323,OK,4909346.8413,3345153.8399,3.9941,96.0059,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,3345153.8399,3409438.9456,3286134.7965,3299639.1362,3297820.8350,3.994101,4.036767,4.261394,4.624669,4.473443,96.005899,95.963233,95.738606,95.375331,95.526557,4.9886,16638187.5532,15252869.8774,60523318.7333,61908636.4091,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,78725699.2879,6043697055.6267,77161506.2865,73816352.4465,-1564193.0014,0.01096634,0.01049092,3345153.8399,73816352.4465,0.01049092,3345153.8399,3409438.9456,3286134.7965,3299639.1362,3297820.8350,73816352.4465,0.01049092,16638187.5532,15252869.8774,60523318.7333,61908636.4091,0.00860169,0.00879857,-0.00022231,151.3950,1094.8482,14.2545,590437.7923,665.3602,50620255.0988,41421.1583,231.4561,143.5766,10.2851,25.9457,84.3464,258.1778,514.3107,2076.9089,21.0824,0.0,19.822562,80.048227,5.835065,30,297,1151686,1,0.13601460,0.01166406,0.01202656,0.00077881,0.039009,0.895884,0.088967,-0.00041956,2026-03-21,2026-08-06,139,123348,4007,139,1.000000,1.612074,1.063821,0.762322,3,1.0,1.0,1.0,1.0,1.0,1.0,n_rounds>=30,3,2,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.000776,D 净利最高二十分位 · 优先留存,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
