target,model,n_test,spearman,top10_capture,top10_capture_pos,top1_capture_pos,r2_log,sum_actual,sum_actual_in_pred_top10,share_zero_actual
y_stake,lm_log_walkforward,583092,0.393541454106063,0.890476721334051,0.890476721334051,0.557866295281489,0.405433613844932,836278743.895401,744686753.985335,0.885127904344426
y_stake,naive_last30_same_metric,583092,0.375423779096754,0.893385493980725,0.893385493980725,0.725215872123878,,836278743.895401,747119298.720572,0.885127904344426
y_stake,naive_last30_stake,583092,0.375423779096754,0.893385493980725,0.893385493980725,0.725215872123878,,836278743.895401,747119298.720572,0.885127904344426
y_stake,naive_st90,583092,0.295998677479408,0.915242682995922,0.915242682995922,0.703895293780014,,836278743.895401,765398001.295286,0.885127904344426
y_ggr,lm_log_walkforward,583092,0.139891534937206,0.601309304340874,0.781431235887348,0.373081351395586,0.0308954370455274,-6279789.74916503,-3776096.00547738,0.886107166622077
y_ggr,naive_last30_same_metric,583092,0.0460263361109987,0.669219321799535,0.315999590771739,0.14793301190421,,-6279789.74916503,-4202556.6369799,0.886107166622077
y_ggr,naive_last30_stake,583092,0.131658148733169,0.797555062961175,0.786413255804494,0.50402652683382,,-6279789.74916503,-5008478.10877826,0.886107166622077
y_ggr,naive_st90,583092,0.0997381291810959,0.965337375915243,0.781166381078376,0.49911774215917,,-6279789.74916503,-6062115.75775841,0.886107166622077
y_ngr,lm_log_walkforward,583092,0.139088424079144,0.632959942963161,0.774996457444945,0.358336811548876,0.0297730054578421,-7023055.02760687,-4445312.50970118,0.886090016669754
y_ngr,naive_last30_same_metric,583092,0.0452768291460664,0.652183662738467,0.299939558009904,0.126989182775162,,-7023055.02760687,-4580321.75151845,0.886090016669754
y_ngr,naive_last30_stake,583092,0.13062709743685,0.814969604765691,0.78048145065549,0.490966703429316,,-7023055.02760687,-5723576.38009646,0.886090016669754
y_ngr,naive_st90,583092,0.0988220720633644,0.964485124527094,0.775049360650046,0.48623924284942,,-7023055.02760687,-6773632.10286204,0.886090016669754
y_vb,lm_log_walkforward,583092,0.393024525167544,0.890248835698551,0.890248835698551,0.557009350098029,0.405395298346705,753608202.989578,670898825.284349,0.885589238061918
y_vb,naive_last30_same_metric,583092,0.375734665594715,0.893292204336735,0.893292204336735,0.724226975779872,,753608202.989578,673192332.854806,0.885589238061918
y_vb,naive_last30_stake,583092,0.375271544775998,0.893250817731986,0.893250817731986,0.725029186415751,,753608202.989578,673161143.569973,0.885589238061918
y_vb,naive_st90,583092,0.295922864972851,0.915114006824472,0.915114006824472,0.704169223456685,,753608202.989578,689637422.213583,0.885589238061918
y_act,lm_log_walkforward,583092,0.385070466293415,0.762385966479449,0.762385966479449,0.282200163024666,0.492692855366927,268671,204831,0.885127904344426
y_act,naive_last30_same_metric,583092,0.402857269271099,0.728277335477219,0.728277335477219,0.268759933152443,,268671,195667,0.885127904344426
y_act,naive_last30_stake,583092,0.376059874775784,0.60651875341961,0.60651875341961,0.159001157549568,,268671,162954,0.885127904344426
y_act,naive_st90,583092,0.292691347330402,0.545116517971795,0.545116517971795,0.133051203888771,,268671,146457,0.885127904344426
y_hold(rate),naive_hold30,51034,0.0847147420953562,,,,,,,
y_hold(rate)|top10pct_stake,naive_hold30,5104,-0.0764182092789733,,,,,,,
