dt,n_orders,n_members,stake_sum,validbet_sum,ggr_sum,b01_stake,b01_validbet,b01_game_pnl,b01_members,b01_rows,stake_ratio,member_ratio,ggr_ratio_signed
2026-04-18,969696,20041,99689443.4151,90166483.8988,1015462.0237,31598145.8076937,28737476.0202972,698506.724770561,16045,16045,0.316965816291311,0.800608752058281,0.687870849394681
2026-04-19,796703,17138,75975926.5945,68332134.0177,2251101.8461,25610654.0649128,23070643.9549745,-366658.542366098,13560,13560,0.337089065087714,0.791224180184386,-0.162879588500773
2026-04-20,731013,16675,71464121.4173,64161190.6363,-15827.3763,24197359.7404594,21712776.5424371,944452.476249454,13101,13101,0.338594517928288,0.785667166416792,-59.6720807256888
2026-04-21,984609,22703,102445092.3337,92126082.7028,862691.5234,32041414.5359311,28789906.3007495,994510.169302739,18768,18768,0.312766710498545,0.826674888781218,1.15279928262564
2026-04-22,925598,18821,81914301.0142,74298154.7828,1845488.3456,26431965.3098693,23968867.261582,587029.086573376,15098,15098,0.322678274521164,0.802189044152808,0.318088753024621
2026-04-23,859185,18759,86702082.6875,78474347.5188,1500969.2492,30778308.486759,27885602.2180729,599118.611486614,14968,14968,0.354989263610808,0.797910336371875,0.399154487545922
2026-04-24,1037265,25678,88463819.6576,80002912.3897,1423337.7195,32752696.058686,29514515.9940201,732124.212109224,21548,21548,0.370238320993323,0.839161928499104,0.514371397651437
2026-04-25,910433,20239,93581214.7076,84697867.8418,1644114.6775,24566073.4665972,22152385.7369254,250952.336866876,16263,16263,0.262510735123019,0.803547606107021,0.152636759650165
2026-04-26,766313,16935,81396284.0799,73663675.7941,1010995.3237,26807747.2736655,24156044.7870783,620370.536371527,13356,13356,0.329348539392174,0.788662533215235,0.613623546844035
2026-04-27,825628,18072,87278843.5512,78471356.7537,1489912.9333,30088083.7285182,27110597.3443989,621402.834486696,14273,14273,0.34473513287178,0.789785303231518,0.417073253475526
2026-04-28,965408,19889,100722075.5784,90658511.7265,1702746.2954,36252527.1413523,32714957.2848607,362214.074100403,15849,15849,0.359926331275154,0.796872643169591,0.212723454503428
2026-04-29,1000330,20040,113496297.3553,102598661.5178,1627413.3814,36509469.834035,33081697.8995133,27272.2569345011,15975,15975,0.321679831719462,0.797155688622755,0.0167580390122145
2026-04-30,1043544,21367,109123964.5445,98619822.8641,1453567.5524,31948158.6966207,28934136.0916557,214466.26933605,17104,17104,0.292769409817331,0.800486731876258,0.147544755647539
2026-05-01,976691,21763,95049889.2124,85721513.1182,1310557.1101,28595608.2270225,25599194.9643697,445394.63750261,17517,17517,0.300848411965239,0.804898221752516,0.339851376235427
2026-05-02,986374,21106,100910865.9536,90541184.9543,2409557.0736,31676882.5792537,28539841.5762809,32869.9774879894,16805,16805,0.313909530751813,0.796219084620487,0.0136415019374827
2026-05-03,823420,17639,82414823.2966,74632799.7599,1083186.4096,28074814.7657281,25414792.0398056,152888.477918964,13960,13960,0.340652489961551,0.791428085492375,0.14114696839247
2026-05-04,931538,19631,105167881.9438,95277468.0672,2618629.0231,43029223.3025829,39090832.5947544,200283.638387703,15737,15737,0.409147949994629,0.801640262849575,0.0764841589323723
2026-05-05,1064901,24765,107701696.8593,97173325.7548,1056447.344,38821211.5055222,34872928.0711023,1223014.91884726,20441,20441,0.360451252279132,0.825398748233394,1.15766765451517
2026-05-06,992727,20916,106223512.8416,94855075.2703,2154927.5588,33557784.2728386,29248744.9012451,271624.65564685,16696,16696,0.315916724792182,0.798240581373111,0.126048160894145
2026-05-07,973558,19870,99177130.2834,89546231.1107,1571288.0006,29416431.838997,26476486.5880956,961726.831536997,15774,15774,0.296604991039155,0.793860090588827,0.612062735265438
2026-05-08,1002713,21101,109901649.4214,99098450.0769,1018127.0585,30307417.6130428,27322119.5524665,510697.912475175,16938,16938,0.275768541897255,0.802710772001327,0.501605284145559
2026-05-09,1003920,21056,98468868.5096,88525756.3167,1248382.9824,34140460.5506515,30632063.2548406,53983.5456826498,16893,16893,0.346713241122732,0.802289133738602,0.0432427760100247
2026-05-10,919893,21003,93518559.6713,78775927.8916,1826051.8821,28845616.9910514,24800442.6508411,440799.963760813,17150,17150,0.308448045954068,0.816550016664286,0.241395092922488
2026-05-11,887513,19298,85494374.6278,77329236.398,1342190.383,24634719.8760924,22208808.0751958,414440.075241749,15371,15371,0.288144336786364,0.79650741009431,0.308778903865644
2026-05-12,963323,23981,95733171.029,86696069.976,2311698.3588,32266137.9880146,29277795.1803041,217302.478997278,19871,19871,0.337042402765917,0.828614319669739,0.0940012256227408
2026-05-13,932672,20100,103105567.3899,93067594.5852,1473994.1552,32647303.1510464,29345726.1987741,641713.609593388,16128,16128,0.316639576091838,0.802388059701493,0.435356956694524
2026-05-14,910507,18347,85907654.5066,77484299.5623,1730066.3602,26613600.4110438,24031610.2987379,389796.411772296,14479,14479,0.309793121042539,0.789175342017769,0.225307202509408
2026-05-15,947896,19874,90990779.8798,81923160.4605,2264659.8013,29780977.5383794,26892383.6164574,92728.0434769233,15837,15837,0.327296651130152,0.796870282781524,0.0409456835078248
2026-05-16,936889,20446,110244959.4853,99224355.1017,1641851.9066,27591250.9624646,24817380.2290044,315523.142509393,16331,16331,0.250272221889143,0.798738139489387,0.192175153703594
2026-05-17,771906,17311,68136143.3793,61462539.9886,1405851.1331,22973894.1503339,20623444.3837521,-109809.909309859,13646,13646,0.337176320979057,0.788284905551384,-0.0781092014114755
2026-05-18,815905,17994,85409097.9551,76738559.2382,1731894.7458,23305204.0502448,21090111.234084,555181.851975658,14198,14198,0.272865591701911,0.789040791374903,0.320563275177099
2026-05-19,922853,21225,94058299.1348,85399215.0139,1252367.8293,32840683.9592675,29815676.740001,364593.407821242,17265,17265,0.349152432707737,0.813427561837456,0.291123262105055
2026-05-20,882078,18130,98822176.3665,89116432.693,1142169.1604,29840743.6415003,26886152.9182291,-205790.462324313,14364,14364,0.301964040245688,0.792277992277992,-0.180175117188633
2026-05-21,832651,17997,80913583.0678,73613557.8521,1824869.1727,24895648.3570737,22529341.3824005,535012.932802043,14237,14237,0.307681941809608,0.79107629049286,0.293178788269222
2026-05-22,809659,18000,93997539.8927,84715204.1579,1577812.1262,28021714.6166386,25096484.8755584,159892.629204945,14422,14422,0.298111148958004,0.801222222222222,0.101338192646567
2026-05-23,810688,19119,88458421.3522,79914242.1179,952425.415,26146711.1146098,23469727.7088018,175520.503297894,15352,15352,0.295581932335259,0.802970866677127,0.184287924842801
2026-05-24,714054,16348,87894893.0311,79703486.0331,839513.0124,32570617.7476227,29528918.4541985,775745.489646478,13000,13000,0.370563256002805,0.795204306337167,0.924042246145508
2026-05-25,679608,16782,88122790.2977,78937341.8777,171306.8064,22950643.4004431,20699386.2202835,738441.823075841,13287,13287,0.260439363335072,0.791741151233464,4.31063913100794
2026-05-26,828878,18071,90165426.9852,81229509.7689,1405677.22,29103770.8109589,26395810.2456801,209971.905245032,14383,14383,0.322781932987863,0.795916108682419,0.149374196478074
2026-05-27,818205,17896,85444974.27,77079332.5923,872489.7809,26804328.0577321,24263713.5375195,333796.843468865,14213,14213,0.313702804485988,0.794199821189093,0.382579659700476
2026-05-28,824350,17357,92207188.207,82847213.5925,1758241.2391,25953763.4138836,23301445.8637489,280073.823917721,13678,13678,0.281472235717879,0.788039407731751,0.159292034386069
2026-05-29,939103,18875,98078119.8306,88224088.4821,1289421.3175,29511002.4687748,26603120.4402372,821375.056922305,15105,15105,0.300892824207337,0.800264900662252,0.637010607607164
2026-05-30,893677,19018,84206194.9537,76145869.1648,2154867.1498,26950512.8873162,24329264.6181275,58242.2794638027,15161,15161,0.320053802480147,0.797192133768009,0.0270282460193466
2026-05-31,803912,16667,78078465.8712,70178655.1843,1301173.7962,22675023.5594971,20509224.3236303,484435.331650913,13077,13077,0.290413282413903,0.784604307913842,0.372306399856558
2026-06-01,841961,18764,93717340.5461,84851908.826,2093143.1076,24753033.8364136,22296107.6212791,645074.174404581,14780,14780,0.264124373271534,0.787678533361757,0.308184458130158
2026-06-02,954543,20680,94341788.7169,84963123.0607,1859748.95,37809129.2245993,34051576.649265,56846.3291084417,16758,16758,0.400767567997429,0.810348162475822,0.030566668209944
2026-06-03,897157,18173,93011683.7083,83712585.9319,1250237.4529,31309538.8449983,28306951.9951574,309061.483584209,14449,14449,0.336619418085046,0.795080614097838,0.247202227758673
2026-06-04,856947,18184,90084749.5235,81094662.6873,1733056.478,28035221.7607476,25282390.0074938,150668.118769367,14500,14500,0.311209410128118,0.797404311482622,0.0869378007479838
2026-06-05,925045,18846,95153988.5735,85610127.358,2264640.3319,32690118.3428885,29320789.8634315,159809.728458537,14982,14982,0.343549638149299,0.794969754855142,0.0705673771713052
2026-06-06,882372,19008,93426976.235,84318933.8374,1309240.4812,29645864.6593365,26924710.0785291,583548.927854672,15134,15134,0.317315895836843,0.796191077441077,0.445715616217284
2026-06-07,740603,16360,73597223.4181,66278351.877,2169420.4433,23274063.2463937,21057344.0875451,-409987.405843704,12815,12815,0.31623561549565,0.783312958435208,-0.188984761856514
2026-06-08,805170,17357,99633431.5896,89830907.9349,1905715.067,34735437.9391581,31427560.9960777,-10931.6631628586,13667,13667,0.348632355475187,0.787405657659734,-0.00573625268129268
2026-06-09,895804,21344,95686553.1106,86056396.3031,696359.1198,31369339.5502083,28140273.0857164,1011896.57721566,17412,17412,0.327834356348377,0.815779610194903,1.4531246140731
2026-06-10,1007639,23232,109769366.4595,99219904.9271,2029589.5422,39931684.1052763,36089100.6421359,-11606.6300796492,19113,19113,0.363778032006856,0.822701446280992,-0.00571870806304413
2026-06-11,876829,19450,99944961.2092,90184823.5834,2303477.0839,33806018.075956,30351882.6254245,657986.530873254,15552,15552,0.338246347459127,0.799588688946015,0.285649262791546
2026-06-12,884741,19947,122301329.8045,109857607.998,2304494.3027,42925407.3426756,38522403.900385,136348.207039074,15938,15938,0.35098070815168,0.799017396099664,0.0591662157200063
2026-06-13,881125,19436,88907122.7604,80055598.4805,1927532.7485,28084843.9855554,25278518.4161276,315371.818504386,15437,15437,0.315889696051042,0.794247787610619,0.163614246632026
2026-06-14,798251,16918,78693853.2634,70838007.4865,1473454.1075,26911480.3771042,24243430.3045944,-5419.37876504241,13292,13292,0.34197690494361,0.785672065255941,-0.00367800987995305
2026-06-15,856107,19541,100201012.3191,90099355.945,1554876.9394,33414437.5802782,30196869.8966765,935114.370246336,15505,15505,0.333474051877506,0.793459904815516,0.601407318194056
2026-06-16,964956,22653,104347014.2792,93904642.7178,1676197.4735,34158453.7167325,30716919.5478013,628313.813364719,18613,18613,0.327354394878373,0.821657175650024,0.374844744308535
2026-06-17,948161,20427,113064898.4947,101851308.6781,3017131.2871,38424848.7365013,34472605.1372399,-241660.243889815,16513,16513,0.3398477268195,0.808390855240613,-0.0800960319237859
2026-06-18,902646,19869,109817827.1408,98895543.5051,1384660.6114,34139324.5031392,30712535.8944386,870845.570581232,15913,15913,0.310872336413726,0.800895867934974,0.628923480173773
2026-06-19,935986,19224,98461211.0706,88930805.5536,1946179.9071,33993049.0549989,30796283.2705294,886473.795681822,15405,15405,0.345243052420152,0.801342072409488,0.455494269798908
2026-06-20,916314,19768,89362067.6166,80408252.7799,1274810.9067,33153106.9257994,29888323.6382872,515046.588931968,15832,15832,0.370997536315295,0.800890327802509,0.404018028262111
2026-06-21,771127,17069,82054141.3674,72498011.3472,1185001.9864,24377373.5243251,22003495.5768917,461915.611998713,13485,13485,0.297088886899379,0.790028707012713,0.389801550799082
2026-06-22,770086,17607,79350799.6716,71414113.3797,2198616.4369,23634431.1023818,21255231.2483207,-203492.830762523,13859,13859,0.297847421830592,0.787130118702789,-0.0925549483517202
2026-06-23,895772,20156,108136688.5179,97545977.8979,3088384.194,31993220.6756969,28928860.1256849,356533.03094087,16247,16247,0.295859075344267,0.806062710855328,0.115443224853154
2026-06-24,876050,17912,101736923.8778,91332669.7427,1982090.6262,35059744.3697495,31445924.9475985,373501.678955201,14114,14114,0.344611799073669,0.787963376507369,0.188438244961214
2026-06-25,883823,18304,104156381.3754,94329041.5519,3024455.7528,36008908.3884353,32867793.8534908,313265.148745107,14431,14431,0.345719656471668,0.788406905594406,0.103577362127084
2026-06-26,867446,18124,119552396.7578,107844801.3358,1476604.9115,45409761.6985419,41002001.4235184,829058.637151784,14291,14291,0.379831462438491,0.788512469653498,0.561462738404134
2026-06-27,891559,19040,104708614.466,93958826.5837,1999943.6118,42223326.515498,37872574.9342829,237154.430778936,15149,15149,0.403245967209396,0.795640756302521,0.118580558661597
2026-06-28,773802,16345,83023193.2926,74486772.8158,1294477.7787,26881869.3720156,23903330.9448615,625654.834082307,12896,12896,0.323787465958763,0.788987457938207,0.483326051923913
2026-06-29,798253,17305,89495830.0832,81043288.5357,1599100.6568,31634189.8579485,28709936.7224586,798112.637525677,13531,13531,0.353471103944616,0.781912741982086,0.499100937850154
2026-06-30,969741,19831,118246196.763,106391133.7023,713898.0002,46375585.8671769,41708203.2777919,1393601.35289472,15676,15676,0.392195158378981,0.790479552216227,1.95210149419707
2026-07-01,989913,21699,136486610.8159,122928597.9584,1824544.8325,46623316.226928,41892593.7028979,595598.456080465,17286,17286,0.341596263166179,0.796626572653118,0.326436733957572
2026-07-02,964686,19330,103771285.6057,93816341.9955,2412220.1874,31654073.0589884,28564652.5946994,428232.114574085,15262,15262,0.305036917238016,0.789549922400414,0.177526129998793
2026-07-03,944494,19628,103338380.4203,92600672.0096,1684298.1677,36125310.1196714,32127388.1975665,618763.32322476,15596,15596,0.349582700761729,0.794579172610556,0.367371606222024
2026-07-04,912840,19415,129328757.4599,116361269.3221,2769809.4306,33643713.514467,30231227.7517857,-60008.6960128094,15362,15362,0.260141009434028,0.791243883595158,-0.0216652796939211
2026-07-05,821837,17188,88446617.7424,79643284.9735,1395825.6012,33933280.4627565,30479951.7062589,319884.935181967,13500,13500,0.383658316495345,0.785431696532465,0.22917256633419
2026-07-06,867505,18224,109365979.3544,98539780.217,1745315.2106,40938180.9475377,37033326.3245393,480014.876004824,14367,14367,0.374322812168834,0.78835601404741,0.275030477640658
2026-07-07,912798,19954,118207811.634,106824459.8108,3128199.2035,51326176.0842668,46375785.0251241,-142773.84583296,15989,15989,0.434202912436829,0.801292973839832,-0.0456409060117454
2026-07-08,864702,18518,111319206.6432,100401529.3608,1768587.3891,46886514.296776,42490351.2966053,-315035.431855496,14773,14773,0.421189799232549,0.797764337401447,-0.178128281246996
2026-07-09,927720,18820,122192945.2852,110265948.4668,1803182.6468,39277446.206025,35535777.4960819,670967.999373029,14975,14975,0.321437920285422,0.795696068012752,0.37210207216876
2026-07-10,1026360,20341,111016039.9661,100398765.3945,1282674.9679,42183209.0456788,38247854.123473,365777.046195208,16323,16323,0.379974002482523,0.802467921931075,0.285167369247144
2026-07-11,968400,20464,107547676.5619,97195787.4783,1191557.4401,40721003.8221051,36756136.9979885,1092924.5713063,16449,16449,0.378632111114625,0.803801798279906,0.917223571877977
2026-07-12,801491,16811,108785956.9322,98513857.0438,2589055.5104,39022232.6904361,35393328.6507494,301273.096574194,13276,13276,0.358706526015636,0.789721016001428,0.116364093146712
2026-07-13,821075,17706,109688981.7374,99208227.3018,1164516.7429,38537587.7522904,34806157.5817981,647631.403357609,13938,13938,0.351335085273661,0.787190782785497,0.556137477031726
2026-07-14,988794,23578,129834876.9535,116806404.7236,1448403.9928,50771261.3956391,45576838.3331539,1201364.24386872,19588,19588,0.391044860879891,0.830774450759182,0.829440024910651
2026-07-15,1008201,20378,152549613.0395,137813562.069,4069543.6425,70081433.7074177,63324735.6929735,-488654.574049724,16376,16376,0.459400927416783,0.803611738148984,-0.120076012687637
2026-07-16,931746,19482,119135119.5852,107675239.4569,1863873.5972,50579726.3038219,45728686.083219,654470.418196217,15711,15711,0.424557649162803,0.806436710809978,0.351134550743888
2026-07-17,932007,18303,92861036.1436,83995477.8644,1539946.9693,33194170.9443597,29844057.2375445,601760.353796547,14679,14679,0.357460699588021,0.801999672184888,0.39076693275359
2026-07-18,928476,19207,97006842.6605,87328978.3798,2392839.3951,38099403.4645764,34270456.8078139,28807.0005833062,15430,15430,0.392749649608893,0.80335294423908,0.0120388358041482
2026-07-19,791417,16861,81610818.1509,73324017.373,922470.1151,30289875.4108395,27122355.1273063,444204.93174148,13531,13531,0.371150248179511,0.802502817152008,0.48153856094658
2026-07-20,797056,17313,85807153.6632,77309867.3252,2289183.1103,31642560.9195885,28534849.2777023,24011.7901834392,13873,13873,0.368763670262133,0.801305377462023,0.0104892396223788
2026-07-21,933039,20368,108516825.2531,97832876.1178,1513468.8992,34601710.0589121,31192119.151554,430201.491976331,16759,16759,0.318860323993156,0.822810290652003,0.284248650371164
2026-07-22,903350,17461,96695972.5983,87297772.9638,-121578.1694,38273595.0053852,34537712.5595591,1408624.08914094,14066,14066,0.395813744636332,0.805566691483879,-11.5861597200603
2026-07-23,906668,17040,99419317.9538,89249883.6498,1957247.7368,35616104.1753695,31870952.1797762,364627.584810691,13654,13654,0.3582412845753,0.801291079812207,0.186296081970103
2026-07-24,890824,17892,92456742.5751,83377785.1998,2297840.6289,41802705.8604615,37678029.4033018,412084.332281188,14497,14497,0.452132583261911,0.810250391236307,0.17933547135445
2026-07-25,897708,18672,108648856.6523,98188002.7627,224225.0107,40606409.9436268,36940869.6433739,51162.0462909199,15194,15194,0.373739873522794,0.813731790916881,0.228172790052274
2026-07-26,741265,16371,74191816.2191,66749523.7766,747459.6413,36282272.0306052,32657750.5977768,554185.028699333,13288,13288,0.489033344640843,0.81167918880948,0.741424684462537
2026-07-27,816375,17336,88742959.3554,79185409.3231,1128365.9267,34783175.9621833,31102960.0482636,439353.974607127,14010,14010,0.391954203633021,0.808144900784495,0.389371890989348
2026-07-28,870102,17682,112581319.4817,100692088.9207,2018585.5945,41556536.8283202,37094310.7256767,487620.994772479,14431,14431,0.369124620493325,0.816140708064699,0.241565676531672
2026-07-29,827673,16435,93332921.8342,84152287.9023,2475408.8061,34987181.2637296,31505234.5763316,-84373.2111621188,13273,13273,0.374864309143585,0.807605719501065,-0.0340845564394063
2026-07-30,871185,16295,97503888.3155,87796629.1269,2544007.9084,33878761.7742421,30706308.9741397,282714.501762937,13074,13074,0.347460622950936,0.802332003682111,0.111129568752302
2026-07-31,962480,19082,93174502.2258,84340161.1501,1738216.9376,38345995.302631,34507247.2372388,706874.454749645,15498,15498,0.411550310295224,0.812179016874542,0.406666417441337
2026-08-01,1003869,21089,88775638.2642,79831547.6499,1924580.5061,37418314.8448553,33776394.2006511,292890.79454608,17334,17334,0.421493053460194,0.821945089857272,0.152184225922353
2026-08-02,817411,16720,79601070.761,71032552.494,1065030.4537,34586893.6314705,31122873.7967845,166502.133618702,13629,13629,0.434502869129947,0.815131578947369,0.156335561147816
2026-08-03,846646,17467,85073038.5677,76466594.2279,2283608.3824,38541822.0408409,34685011.6623066,-28729.5939594016,14186,14186,0.453043910147511,0.812160073281044,-0.0125807884490281
2026-08-04,752185,16470,78929181.7717,70732643.3826,1106405.428,36413029.6780275,32735237.4579982,775992.058437409,13441,13441,0.46133798502246,0.816089860352155,0.701363206288797
2026-08-05,819123,17073,84189297.1906,75223035.6951,2011625.8292,33661354.0093941,30401096.6257423,622204.902756109,13970,13970,0.399829374192145,0.818251039653254,0.309304490787709
2026-08-06,822545,17268,93464429.1766,82764907.5357,2336199.7032,42608140.2019185,38366908.0523696,306302.388149589,14177,14177,0.45587546596375,0.82099837850359,0.131111389034949
