dt,n_orders,n_members,stake_sum,validbet_sum,ggr_sum,b01_stake,b01_validbet,b01_game_pnl,b01_members,b01_rows,stake_ratio,member_ratio,ggr_ratio_signed
2026-03-21,117343,4639,9515288.7127,8496832.5934,159749.476,3496458.41842649,3103327.10865342,151720.629226707,3419,3419,0.36745689216553,0.737012287130847,0.949741013402177
2026-03-22,820225,18284,89092835.5624,80247612.9474,2171815.5169,21645082.6791868,19565807.3271368,201048.564481229,14881,14881,0.242949756201515,0.813880988842704,0.092571658557906
2026-03-23,849221,19086,82930594.9127,74885771.517,1494226.7105,28060074.9072377,25332778.9348931,410838.433008562,15454,15454,0.338356127033409,0.80970344755318,0.274950534695693
2026-03-24,915631,19498,93351700.2362,84074578.7317,1904373.2021,31893154.5536098,28697602.4652248,390264.505087522,15808,15808,0.341645138470035,0.81074982049441,0.204930685149931
2026-03-25,937716,20636,91624416.4547,82704087.8236,1632255.47,24944192.6143442,22495434.0859946,557887.194710699,16825,16825,0.272243945222581,0.815322736964528,0.341789140832653
2026-03-26,946076,19604,97129050.7931,87327067.0999,1268005.4169,31130081.0196056,28081934.6238086,1131975.32328747,15873,15873,0.320502267503031,0.809681697612732,0.892721204657706
2026-03-27,929806,20223,95747062.4358,86278537.247,1873617.2338,28969590.1513242,26206644.109111,543949.204848604,16409,16409,0.302563748843457,0.81140285813183,0.290320346672616
2026-03-28,915426,19986,108145502.0656,96480481.8343,1777072.2841,33299071.2694077,30234440.4769935,348332.394256587,16202,16202,0.307909905020449,0.810667467227059,0.196014758303993
2026-03-29,809268,16891,80048618.4593,72077658.4419,910078.0835,24326933.6552829,22086444.7347203,276060.54512652,13495,13495,0.303901980115393,0.798946184358534,0.303337208236946
2026-03-30,917402,18632,99084546.3933,89400650.7297,2619502.341,27284260.5393412,24534318.7576142,73204.094626901,14887,14887,0.275363429843447,0.799001717475311,0.0279458023308943
2026-03-31,1021875,21015,103881467.388,93757111.3422,1965789.3376,30200880.1515342,27274033.4831059,468661.127568433,16947,16947,0.290724427666516,0.806423982869379,0.238408622228368
2026-04-01,1042025,24647,103798357.4824,93996910.0337,2555212.3761,32615534.8286408,29500342.9288593,503795.192635312,20260,20260,0.314220143937933,0.822006735099606,0.197163725938214
2026-04-02,1035810,21473,98210490.2831,88945564.4849,998131.3807,33434751.1077807,30315105.598453,823206.600124594,17379,17379,0.340439712818888,0.809341964327295,0.82474773966857
2026-04-03,1007946,20930,103427201.2519,93177862.4122,2735519.6736,32972000.240976,29661889.0053347,436906.924797453,16880,16880,0.318794280826295,0.806497849976111,0.15971624295521
2026-04-04,978343,20813,95021307.3479,85675640.9803,1606410.3073,30812975.0507598,27891758.7460028,456034.452116574,16809,16809,0.324274374987756,0.807620237351655,0.283884167104892
2026-04-05,848104,18286,76621720.9655,69103689.1558,1620587.5378,25743792.8228373,23248499.6019421,469614.285534694,14633,14633,0.335985572999969,0.800229683911189,0.28978026461453
2026-04-06,954823,21055,93112698.7203,83811942.4963,2015647.669,33223660.1100864,29836777.8481368,167929.903973594,17118,17118,0.356811268137406,0.813013535977203,0.0833131238937741
2026-04-07,1015789,23248,100636969.7941,90577685.5575,1151711.1618,34790430.7831959,31518311.42944,871482.667004678,19135,19135,0.345702288675583,0.823081555402615,0.756685092504135
2026-04-08,1060446,23470,119082498.3789,106680347.7734,2955878.2824,36556382.322367,32787079.1029996,542368.629990747,19289,19289,0.306983669472998,0.821857690668939,0.183488147404492
2026-04-09,1058765,22185,108558678.1295,97553590.1277,1716129.5179,36957454.9308669,33015366.5231789,343385.446928614,18075,18075,0.340437591610873,0.81473968897904,0.200092966962546
2026-04-10,1169753,24974,119168017.6933,107782774.9432,835567.5997,47512700.6769236,42797132.2735361,135706.240095919,20680,20680,0.39870345749315,0.828061183630976,0.162412041999526
2026-04-11,1072109,22904,103866078.4836,93371555.9186,1425552.8316,36419771.3840139,32888730.6057201,803877.080922305,18652,18652,0.350641633108007,0.814355571079287,0.563905499047731
2026-04-12,913266,19410,82785312.932,75224728.3106,750781.6805,26760295.6257087,24293539.2706732,575960.425035395,15615,15615,0.323249314134859,0.804482225656878,0.767147680870184
2026-04-13,809086,17219,84369735.8673,75520607.5812,2001721.5135,27136513.5932504,24397128.4705189,730583.221941643,13609,13609,0.321638005788376,0.790347871537255,0.364977454163553
2026-04-14,995325,23748,105538074.3314,95212835.3755,2394114.6631,45708529.2030494,41415431.0297861,-138238.493696154,19784,19784,0.433099897763153,0.833080680478356,-0.057740966139507
2026-04-15,1008329,20826,104382734.394,94548981.1454,2104209.967,33876759.0594624,30698970.2093149,-161020.224022077,16836,16836,0.324543702137484,0.80841256122155,-0.0765228881847972
2026-04-16,1014772,20241,96334980.8173,86793876.0414,2239228.6175,32256147.0314156,29169972.2517376,242232.105787806,16194,16194,0.334833170233247,0.800059285608419,0.108176585407455
2026-04-17,977094,19528,86784312.04,78714026.6241,1443110.7706,25145408.9720248,22842760.1110515,550021.341123946,15574,15574,0.28974601953905,0.797521507578861,0.381135913007748
