train_cut,test_cut,target,model,n_test,spearman,top10_capture,top10_capture_pos,top1_capture_pos,r2_log,sum_actual,sum_actual_in_pred_top10,share_zero_actual
2026-05-08,2026-06-07,y_stake,lm_log_walkforward,449294,0.412948866971377,0.863390825942337,0.863390825942337,0.560433276934462,0.385880060872875,668213446.197792,576929359.218488,0.859374930446434
2026-05-08,2026-06-07,y_stake,naive_last30_same_metric,449294,0.361334796551392,0.883312231686432,0.883312231686432,0.665458883016339,,668213446.197792,590241110.403853,0.859374930446434
2026-05-08,2026-06-07,y_stake,naive_last30_stake,449294,0.361334796551392,0.883312231686432,0.883312231686432,0.665458883016339,,668213446.197792,590241110.403853,0.859374930446434
2026-05-08,2026-06-07,y_stake,naive_last90_stake,449294,0.294668432360607,0.883379220869239,0.883379220869239,0.653900346315516,,668213446.197792,590285873.476555,0.859374930446434
2026-05-08,2026-06-07,y_ggr,lm_log_walkforward,449294,0.138013303246177,0.0351594699159114,0.0239160371528469,0.0055826549549533,0.0273380823604972,7668244.35456381,269611.406692144,0.860394307513566
2026-05-08,2026-06-07,y_ggr,naive_last30_same_metric,449294,0.0425738564948823,0.424049741317186,0.447591580199766,0.329015703727178,,7668244.35456381,3251717.03490976,0.860394307513566
2026-05-08,2026-06-07,y_ggr,naive_last30_stake,449294,-0.122572348835142,0.900030985901548,0.799393194551885,0.514025899038958,,7668244.35456381,6901657.52657204,0.860394307513566
2026-05-08,2026-06-07,y_ggr,naive_last90_stake,449294,-0.0947640977363906,0.941825494773224,0.808361250433329,0.497219110595195,,7668244.35456381,7222148.03327904,0.860394307513566
2026-05-08,2026-06-07,y_act,lm_log_walkforward,449294,0.408700427019785,0.719211052763191,0.719211052763191,0.239974056014004,0.470305030868386,255936,184072,0.859374930446434
2026-05-08,2026-06-07,y_act,naive_last30_same_metric,449294,0.397713040117798,0.70087443735934,0.70087443735934,0.224892160540135,,255936,179379,0.859374930446434
2026-05-08,2026-06-07,y_act,naive_last30_stake,449294,0.361355595197972,0.55170823955989,0.55170823955989,0.128915041260315,,255936,141202,0.859374930446434
2026-05-08,2026-06-07,y_act,naive_last90_stake,449294,0.288414968612271,0.498437109277319,0.498437109277319,0.108077800700175,,255936,127568,0.859374930446434
2026-05-08,2026-06-07,y_hold(rate),naive_hold30,49899,0.0816571053963676,,,,,,,
2026-05-08,2026-06-07,y_hold(rate)|top10pct_stake,naive_hold30,4990,-0.0409848990269851,,,,,,,
2026-06-07,2026-07-07,y_stake,lm_log_walkforward,583092,0.393539114224522,0.890477003814829,0.890477003814829,0.557937202830106,0.405416623729521,836278743.895401,744686990.218005,0.885127904344426
2026-06-07,2026-07-07,y_stake,naive_last30_same_metric,583092,0.375423779096754,0.893385493980725,0.893385493980725,0.725215872123878,,836278743.895401,747119298.720572,0.885127904344426
2026-06-07,2026-07-07,y_stake,naive_last30_stake,583092,0.375423779096754,0.893385493980725,0.893385493980725,0.725215872123878,,836278743.895401,747119298.720572,0.885127904344426
2026-06-07,2026-07-07,y_stake,naive_last90_stake,583092,0.295998677479408,0.915242682995922,0.915242682995922,0.703895293780014,,836278743.895401,765398001.295286,0.885127904344426
2026-06-07,2026-07-07,y_ggr,lm_log_walkforward,583092,0.139889597000821,0.0225242785535848,0.0148636213886887,0.00764500196541378,0.0307763612746967,6279789.74916503,141447.73356814,0.886107166622077
2026-06-07,2026-07-07,y_ggr,naive_last30_same_metric,583092,0.0460263361109987,0.148639297741812,0.414711172218766,0.310895545989315,,6279789.74916503,933423.538282119,0.886107166622077
2026-06-07,2026-07-07,y_ggr,naive_last30_stake,583092,-0.131658148733169,0.797555062961175,0.789620662128674,0.562006149365156,,6279789.74916503,5008478.10877826,0.886107166622077
2026-06-07,2026-07-07,y_ggr,naive_last90_stake,583092,-0.0997381291810959,0.965337375915243,0.83418392170382,0.554246690285677,,6279789.74916503,6062115.75775841,0.886107166622077
2026-06-07,2026-07-07,y_act,lm_log_walkforward,583092,0.385058434134346,0.762415742674126,0.762415742674126,0.282274603511358,0.492670768235703,268671,204839,0.885127904344426
2026-06-07,2026-07-07,y_act,naive_last30_same_metric,583092,0.402857269271099,0.728277335477219,0.728277335477219,0.268759933152443,,268671,195667,0.885127904344426
2026-06-07,2026-07-07,y_act,naive_last30_stake,583092,0.376059874775784,0.60651875341961,0.60651875341961,0.159001157549568,,268671,162954,0.885127904344426
2026-06-07,2026-07-07,y_act,naive_last90_stake,583092,0.292691347330402,0.545116517971795,0.545116517971795,0.133051203888771,,268671,146457,0.885127904344426
2026-06-07,2026-07-07,y_hold(rate),naive_hold30,51034,0.0847147420953562,,,,,,,
2026-06-07,2026-07-07,y_hold(rate)|top10pct_stake,naive_hold30,5104,-0.0764182092789733,,,,,,,
