recency_band,n,p_active_next30,mean_next_stake,sum_next_stake,sum_next_ggr,share_next_stake
"(-1,0]",15989,0.665332416036025,30516.0622738971,487921319.697342,1161409.9154947,0.583443407188129
"(0,3]",25603,0.473069562160684,5286.12616663731,135340688.244415,1760841.30575432,0.161836814856726
"(3,7]",29622,0.327999459860914,2521.41970842687,74689494.6030207,1377984.63535807,0.0893117218968352
"(7,14]",39368,0.208646616541353,1113.0206603503,43817397.3566707,141012.072171408,0.0523956846643841
"(14,30]",90806,0.117811598352532,444.858766139446,40395845.1180585,560183.322005903,0.0483042830072351
"(30,60]",147649,0.0591470311346504,263.263015756514,38870521.0134336,898789.613423927,0.0464803407920833
"(60,200]",234055,0.0293520753669009,65.1277599814604,15243477.8624607,379568.884956698,0.0182277475946075
