bet_side,n_orders,n_member,stake_total,player_pnl,house_hold_pct,win_rate_base,avg_stake,stake_cv,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_freecomm,roi_non_freecomm,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_freecomm,avg_stake_non_freecomm,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_freecomm,hold_rate,hold_rate_freecomm,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_freecomm,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_freecomm,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
PlayerDragonBonus,175618,4042,4415664.2746120818,-332892.4710657371,0.075388990277,0.2951801,25.143574545958,2.5394236847422205,4415664.2746,4337915.0296,331486.2539,175618,170114,-0.07507053,-0.02108705,-0.09170193,-0.07538899,-331486.2539,4415664.2746,OK,1406.2172,12923.0202,4.0407,95.9593,AG03-UNRESOLVED,318563.2337,4170785.3815,330080.0368,317157.0166,11516.8030,0.07475207,0.07182544,0.00260817,25.1436,25.5000,1.9486,2384.7932,6.6423,31767.3689,1223.8417,26.0642,24.8729,2.1082,6.7449,21.5304,67.9348,102.2592,270.0,6.7449,-2.5818,15.161018,40.030363,3.727802,30,288,13444,1,0.23552263,0.07507053,0.02108705,0.00032417,0.069137,0.982392,0.227203,0.07061489,2026-03-21,2026-08-06,139,49905,4002,139,1.000000,1.047897,0.984899,0.782978,3,0.5454545454545454,0.45454545454545453,0.5,E 常规,11,1
PlayerNatural,54591,2012,1791490.2373622638,-342483.0565041767,0.191172159000,0.1646528,32.816585835802,6.216145961435885,1791490.2374,1753592.6677,341966.6230,54591,54008,-0.19088389,-0.14494335,-0.19844998,-0.19117216,-341966.6230,1791490.2374,OK,516.4335,15994.6037,4.0965,95.9035,AG03-UNRESOLVED,325972.0193,1677979.6639,341450.1896,325455.5858,15478.1703,0.19059562,0.18166752,0.00863983,32.8166,32.4691,6.3318,2460.1915,16.6691,12888.4190,388.5468,28.3108,33.6999,3.0,10.0,25.8514,68.3995,131.6586,261.7596,10.0,-5.2352,13.165863,26.175955,3.281659,30,284,5792,1,0.14140480,0.19088389,0.14494335,0.00029450,0.070112,0.978846,0.163910,0.05350663,2026-03-21,2026-08-06,139,20515,3751,139,1.000000,0.840086,0.755438,0.562105,2,0.5,0.045454545454545456,0.36363636363636365,E 常规,12,1
PerfectPair,353630,1779,6075113.7491835243,-410469.5198220024,0.067565734037,0.0338237,17.179294033831,3.1166516199077745,6075113.7492,6075113.7492,409017.3353,353630,332475,-0.06732670,-0.10367873,-0.05956397,-0.06756573,-409017.3353,6075113.7492,OK,1452.1845,16480.8612,4.0321,95.9679,AG03-UNRESOLVED,392536.4741,5831837.9221,407565.1508,391084.2896,15028.6767,0.06708766,0.06437481,0.00247381,17.1793,18.2724,1.2302,2942.5708,6.6016,43705.8543,2391.9065,31.5829,15.6547,2.5937,5.1891,12.9729,33.9739,64.6342,179.543,5.1891,-5.1636,12.455654,34.599741,3.310622,30,289,12107,1,0.17596657,0.06732670,0.10367873,0.00023904,0.036571,1.000000,0.095716,-0.04411475,2026-03-21,2026-08-06,139,61957,4003,139,1.000000,2.017467,1.006778,0.638901,3,0.45454545454545453,0.5454545454545454,0.5909090909090909,E 常规,13,1
BankerDragonBonus,205408,4104,5129335.3461408611,-639480.6680270062,0.124671253656,0.2874595,24.971448756333,2.514243300006685,5129335.3461,5036961.6930,637494.6776,205408,197933,-0.12428407,-0.14730900,-0.11649940,-0.12467125,-637494.6776,5129335.3461,OK,1985.9905,25496.0072,4.0561,95.9439,AG03-UNRESOLVED,611998.6703,4841936.8243,635508.6871,610012.6799,23510.0168,0.12389689,0.11892626,0.00458344,24.9714,25.4478,3.2208,4586.2926,11.6736,36901.6931,1423.9784,28.5444,23.9576,2.2009,6.8546,21.6272,64.9173,100.0,288.4865,6.7935,-3.0,14.588788,42.08669,3.643032,30,288,14195,1,0.25267025,0.12428407,0.14730900,0.00039428,0.073317,0.981991,0.221043,-0.03080959,2026-03-21,2026-08-06,139,54610,4005,139,1.000000,1.191458,1.057895,0.792481,3,0.4090909090909091,0.3181818181818182,0.5454545454545454,E 常规,14,1
Big,80110,1408,11441559.1251211276,-800117.7281935807,0.069930830182,0.6235254,142.823107291488,4.453911422396564,11441559.1251,11441559.1251,799680.9860,80110,78659,-0.06989266,-0.07907890,-0.06861474,-0.06993083,-799680.9860,11441559.1251,OK,436.7422,27982.9607,3.6942,96.3058,AG03-UNRESOLVED,771698.0253,11038652.4819,799244.2438,771261.2831,27546.2185,0.06985449,0.06740876,0.00240756,142.8231,145.4577,10.1664,5753.1006,31.2681,82313.3750,565.8921,106.3296,149.9840,10.0,25.9457,83.0,216.2723,500.0,2200.0,25.9457,4.0871,19.271001,84.792403,5.504688,30,284,5550,1,0.12212303,0.06989266,0.07907890,0.00003817,0.005103,1.000000,0.164037,-0.01046416,2026-03-21,2026-08-06,139,25575,3816,139,1.000000,0.708940,0.819038,0.614253,3,0.36363636363636365,0.5,0.6363636363636364,E 常规,15,1
SuperLucky7,3129299,83985,23009802.4361761887,-3847754.6450383048,0.167222411218,0.0188056,7.353021375131,2.920967125993318,23009043.0823,23009043.0823,3833144.6250,3129282,2044244,-0.16659296,-0.15695734,-0.16809447,-0.16719493,-3833144.6250,23009043.0823,OK,13850.6662,155070.6683,4.0522,95.9478,AG03-UNRESOLVED,3678073.9567,22086499.8719,3819293.9588,3664223.2905,141220.0021,0.16599100,0.15925144,0.00613759,7.3528,11.2555,1.8751,27576.5800,31.6146,165532.6840,14706.7914,13.4813,6.8664,2.0439,2.5716,5.2407,12.9729,26.3317,87.2905,2.5716,-2.5716,10.239619,33.944659,2.859291,30,293,225839,1,0.13482004,0.16659296,0.15695734,0.00060197,0.051046,1.000000,0.073532,0.01113713,2026-03-21,2026-08-06,139,121246,4007,139,1.000000,1.963373,1.107175,0.742297,4,0.3181818181818182,0.13636363636363635,0.6818181818181818,E 常规,16,1
PPair,5724592,100949,70654716.7346631048,-7522733.1468705284,0.106471775623,0.0747991,12.342314829539,3.781168453077169,70638490.2147,70638490.2147,7476525.6941,5721465,2959359,-0.10584209,-0.14496234,-0.10141238,-0.10633377,-7476525.6941,70638490.2147,OK,34730.9929,306125.0195,4.0289,95.9711,AG03-UNRESOLVED,7170400.6746,67778117.7344,7441794.7012,7135669.6817,271394.0266,0.10535042,0.10101674,0.00384201,12.3462,23.8695,2.5264,53787.9546,60.9135,508190.5771,21290.3525,22.7435,11.7386,2.1082,4.2165,10.4704,21.6153,41.0154,129.7286,4.2165,-4.1543,9.727406,30.767086,2.928092,30,294,305237,1,0.10171578,0.10584209,0.14496234,0.00049167,0.042932,1.000000,0.055216,-0.04354996,2026-03-21,2026-08-06,139,122740,4007,139,1.000000,1.937498,1.062843,0.744975,4,0.2727272727272727,0.4090909090909091,0.7727272727272727,E 常规,17,1
BPair,5867803,99453,72553913.4421192392,-7688614.3688416434,0.105971049721,0.0746880,12.364749369077,3.8474985499768364,72543341.9102,72543341.9102,7680957.4415,5864616,2996948,-0.10588094,-0.10697044,-0.10575387,-0.10636437,-7680957.4415,72543341.9102,OK,35069.4721,310139.9873,4.0300,95.9700,AG03-UNRESOLVED,7370817.4542,69604246.7411,7645887.9694,7335747.9820,275070.5152,0.10539752,0.10112228,0.00379181,12.3697,24.2057,2.5629,55258.6866,62.5424,521894.5461,21560.7770,22.9645,11.7380,2.1082,4.2165,10.4704,21.5448,40.3798,129.7281,4.2165,-4.1543,9.576687,30.766971,2.933652,30,294,306351,1,0.10445048,0.10588094,0.10697044,0.00048343,0.043189,1.000000,0.056262,-0.00121657,2026-03-21,2026-08-06,139,122812,4007,139,1.000000,1.956417,1.044998,0.730711,4,0.22727272727272727,0.36363636363636365,0.8181818181818182,E 常规,18,1
Lucky7,4348061,81502,62099177.7480500691,-11421807.4971142300,0.183928482008,0.0815750,14.282039223472,3.7748328018561237,62088490.8136,62088490.8136,11402436.0337,4348030,2509806,-0.18364814,-0.19184849,-0.18233958,-0.18442481,-11402436.0337,62088490.8136,OK,48222.0227,471041.7331,4.0606,95.9394,AG03-UNRESOLVED,10931394.3006,59514045.5517,11354214.0110,10883172.2778,422819.7104,0.18287148,0.17528486,0.00680995,14.2797,24.7384,4.5432,82031.9139,93.1108,446679.7900,18056.1583,28.7290,13.2188,2.1082,4.2165,10.5412,25.8178,50.0,166.3617,4.2165,-4.1543,11.858251,39.455166,3.386641,30,293,270154,1,0.13761449,0.18364814,0.19184849,0.00077667,0.051219,1.000000,0.068401,-0.00950892,2026-03-21,2026-08-06,139,122461,4007,139,1.000000,2.173353,1.126834,0.781189,4,0.18181818181818182,0.09090909090909091,0.7272727272727273,D VIP 优质 · 加码留存，严禁误伤,19,1
Super6,4610732,80436,77427639.3923507565,-15993557.3173589465,0.206561344797,0.0537003,16.792916914787,3.6002403784123884,77420076.1641,77420076.1641,15927640.3333,4610708,2642930,-0.20573010,-0.21269510,-0.20466594,-0.20648383,-15927640.3333,77420076.1641,OK,58353.7557,669725.9621,4.0698,95.9302,AG03-UNRESOLVED,15257914.3712,74207886.0177,15869286.5776,15199560.6155,611372.2064,0.20497638,0.19632583,0.00789682,16.7914,29.2933,6.0265,114587.3405,129.7102,556978.9652,19013.8849,29.8302,15.7402,2.2009,5.1636,12.9089,29.3544,60.0,200.0,5.1636,-4.4018,11.6199,38.733,3.2519,30,293,264461,1,0.13253696,0.20573010,0.21269510,0.00075373,0.052308,1.000000,0.074605,-0.00802916,2026-03-21,2026-08-06,139,122794,4007,139,1.000000,1.895162,1.141717,0.789984,5,0.13636363636363635,0.0,0.8636363636363636,D VIP 优质 · 加码留存，严禁误伤,20,1
Tie,9571591,151782,150140548.5259312998,-22775199.7524393096,0.151692530606,0.0947383,15.686059770620,3.81891768751546,150118908.2369,150118908.2369,22608595.7156,9571012,3807782,-0.15060458,-0.15128776,-0.15052358,-0.15158178,-22608595.7156,150118908.2369,OK,146695.4530,941286.2050,4.0414,95.9586,AG03-UNRESOLVED,21667309.5105,143899311.3009,22461900.2626,21520614.0575,794590.7520,0.14962739,0.14335712,0.00529308,15.6847,39.4242,5.9375,162651.7677,183.4488,1079992.1456,27394.1151,34.5403,14.7313,2.5716,5.1431,12.8426,26.176,47.0794,175.5301,5.1431,-4.2165,9.15388,34.129187,3.049664,30,295,435471,1,0.10599579,0.15060458,0.15128776,0.00097720,0.048330,1.000000,0.048133,-0.00076417,2026-03-21,2026-08-06,139,123242,4007,139,1.000000,2.344687,1.048869,0.729366,5,0.09090909090909091,0.2727272727272727,0.9090909090909091,D VIP 优质 · 加码留存，严禁误伤,21,1
Player,43887814,599892,5909961233.1144073380,-74637237.3039934772,0.012629057004,0.4931331,134.660642544521,6.021794719010338,5909421558.4378,5307694037.0023,71752371.9389,43885458,5729659,-0.01214203,-0.01113116,-0.01227737,-0.01264106,-71752371.9389,5909421558.4378,OK,2948981.9814,2876065.2494,3.9756,96.0244,AG03-UNRESOLVED,68876306.6895,5092448088.4895,68803389.9575,65927324.7081,-72916.7320,0.01164300,0.01115631,-0.00001234,134.6556,926.3543,12.5230,516204.1147,581.7351,42513824.1614,41220.5683,205.7859,128.6996,8.7819,25.7155,78.5279,235.1667,467.8494,1754.538,20.439,0.0,18.193279,68.228785,5.236356,30,300,1172757,1,0.11807658,0.01214203,0.01113116,0.00055561,0.036002,0.898175,0.077263,0.00114621,2026-03-21,2026-08-06,139,123342,4007,139,1.000000,1.598962,1.024058,0.725609,5,0.045454545454545456,0.6363636363636364,0.9545454545454546,D VIP 优质 · 加码留存，严禁误伤,22,1
Banker,46478301,571169,7036869281.8600452615,-87142922.5587554069,0.012383763158,0.5066782,151.401172815247,5.889118283286943,7036215458.7323,6303633265.0840,82070853.1278,46475885,5757541,-0.01166406,-0.01202656,-0.01160700,-0.01236179,-82070853.1278,7036215458.7323,OK,4909346.8413,3345153.8399,3.9941,96.0059,AG03-UNRESOLVED,78725699.2879,6043697055.6267,77161506.2865,73816352.4465,-1564193.0014,0.01096634,0.01049092,-0.00022231,151.3950,1094.8482,14.2545,590437.7923,665.3602,50620255.0988,41421.1583,231.4561,143.5766,10.2841,25.9457,84.3353,258.1778,514.3107,2076.999,21.0824,0.0,19.822562,80.051699,5.835065,30,297,1151686,1,0.13601460,0.01166406,0.01202656,0.00077881,0.039009,0.895884,0.088967,-0.00041956,2026-03-21,2026-08-06,139,123348,4007,139,1.000000,1.612074,1.063821,0.762322,5,0.0,0.6818181818181818,1.0,D VIP 优质 · 加码留存，严禁误伤,23,1
