bet_side,n_orders,n_member,stake_total,player_pnl,house_hold_pct,win_rate_base,avg_stake,stake_cv,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_freecomm,roi_non_freecomm,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_freecomm,avg_stake_non_freecomm,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_freecomm,hold_rate,hold_rate_freecomm,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_freecomm,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_freecomm,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
Bear8,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,2,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,1,1
Lucky7TwoCard,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,2,1
SmallTiger,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,3,1
SuperTie4,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,4,1
SuperTie5,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,5,1
SuperTie8,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,2,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,6,1
SuperTie9,1,1,10.0000000000,0E-10,0E-12,,10.000000000000,,10.0000,10.0000,0.0000,1,1,0E-8,,0E-8,0E-8,0.0000,10.0000,THIN_EXPOSURE,0.0000,0.0000,3.0000,97.0000,AG03-UNRESOLVED,0.0000,9.7000,0.0000,0.0000,0.0000,0E-8,0E-8,0E-8,10.0000,10.0000,0.0000,0.0000,0.0000,10.0000,1.0000,,10.0000,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,1,1,1,1,0E-8,0E-8,,0E-8,0.000000,1.000000,0.000000,,2026-07-20,2026-07-20,1,1,1,1,1.000000,,1.000000,3.333333,1,0.7272727272727273,0.7272727272727273,0.0,Z 证据不足 · 不动作,7,1
Small,22842,729,2321583.8920466617,-117461.3003610132,0.050595328803,0.3785736,101.636629544114,7.033579430406084,2321583.8920,2321583.8920,98606.8118,22842,22663,-0.04247394,-0.08635376,-0.04144999,-0.05059533,-98606.8118,2321583.8920,OK,18854.4886,4837.0647,3.7326,96.2674,AG03-UNRESOLVED,93769.7471,2211327.2425,79752.3232,74915.2585,-14017.4239,0.03435255,0.03226903,-0.00603787,101.6366,102.4394,4.3510,709.4015,13.0381,16702.0424,163.0432,34.1766,106.5441,2.2009,6.2314,19.4645,109.2395,215.3614,1354.5695,6.2314,-2.1006,34.560474,217.376799,16.310308,30,253,1660,1,0.02280319,0.04247394,0.08635376,0.00812139,0.088495,1.000000,0.067814,-0.04490377,2026-03-21,2026-08-06,139,7563,2807,139,1.000000,0.320774,0.187022,0.079256,3,0.6818181818181818,0.5909090909090909,0.45454545454545453,E 常规,8,1
AnyPair,153193,1574,1627571.0726740865,-267468.1853631325,0.164335794518,0.1439109,10.624317512380,2.485360690300919,1627571.0727,1627571.0727,267150.7134,153193,148889,-0.16414074,-0.26445477,-0.15263637,-0.16433579,-267150.7134,1627571.0727,OK,317.4720,10746.5903,4.0320,95.9680,AG03-UNRESOLVED,256404.1231,1562985.2442,266833.2414,256086.6511,10429.1183,0.16394568,0.15734284,0.00640778,10.6243,10.9314,1.7943,1921.9476,7.3528,11709.1444,1071.1439,13.4998,10.3710,2.5716,5.1431,10.4704,21.5304,39.2639,100.0,5.1431,-4.0878,7.634282,19.4435,2.065739,30,283,8531,1,0.10288436,0.16414074,0.26445477,0.00019506,0.043061,1.000000,0.080970,-0.11181840,2026-03-21,2026-08-06,139,36333,3972,139,1.000000,1.301691,1.255743,0.748480,2,0.6363636363636364,0.18181818181818182,0.3181818181818182,E 常规,9,1
BankerNatural,61688,2038,1835718.0443771215,-294808.0798045057,0.160595512316,0.1685360,29.758106023491,4.701431942443875,1835718.0444,1805144.9072,294272.9017,61688,60871,-0.16030398,-0.18246282,-0.15529648,-0.16059551,-294272.9017,1835718.0444,OK,535.1781,10790.5234,4.1343,95.8657,AG03-UNRESOLVED,283482.3783,1729662.2217,293737.7236,282947.2002,10255.3453,0.16001244,0.15413435,0.00558656,29.7581,29.6553,4.8344,2117.0712,14.0511,13206.6046,437.9209,32.6772,29.1693,3.8727,10.0,26.176,68.3995,135.318,257.1553,10.0,-5.2663,13.531799,25.715533,2.975811,30,281,5929,1,0.18432723,0.16030398,0.18246282,0.00029647,0.075271,0.983345,0.167861,-0.02716635,2026-03-21,2026-08-06,139,20943,3746,139,1.000000,1.120263,0.769052,0.554440,2,0.5909090909090909,0.22727272727272727,0.4090909090909091,E 常规,10,1
