agent_level,agent_id,top_agent_id,parent_agent_id,is_test_line,n_bets_all,n_bets_prod,n_bets_testline,n_members_all,n_members_prod,active_days,first_seen,last_seen,own_share_pct_unw,own_share_pct_w,pct_complement,pct_top_bet23,stake,valid_bet,profit,rebate_cost,cost_complement_b,cost_ownshare_a,ngr,residual_b,residual_a,hold_rate,stake_testline_audit,profit_testline_audit,agent_status,agent_formula_version,audit_rn,batch_id
1,46174,46174,,0,2,2,0,2,2,2,2026-04-14,2026-04-15,0.000000,0.000000,3.000000,97.000000,87.3709,87.3709,-86.9738,0.0000,-2.6092,0.0000,-86.9738,-84.3646,-86.9738,-0.99545455,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,17,1
1,40512,40512,,0,2,2,0,2,2,1,2026-03-30,2026-03-30,0.000000,0.000000,4.000000,96.000000,41.1523,41.1523,-40.8093,0.0000,-1.6324,0.0000,-40.8093,-39.1770,-40.8093,-0.99166667,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,18,1
1,1627,1627,,0,3,3,0,1,1,1,2026-05-29,2026-05-29,0.000000,0.000000,6.000000,94.000000,30.0000,30.0000,-29.7400,0.2400,-1.7844,0.0000,-29.9800,-28.1956,-29.9800,-0.99133333,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,19,1
1,1657,1657,,0,2,2,0,1,1,1,2026-07-06,2026-07-06,0.000000,0.000000,6.000000,94.000000,30.3217,30.3217,-21.6573,0.2426,-1.2994,0.0000,-21.8998,-20.6004,-21.8998,-0.71425000,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,20,1
1,45710,45710,,0,1,1,0,1,1,1,2026-04-14,2026-04-14,0.000000,0.000000,4.000000,96.000000,13.1891,13.1891,-12.5297,0.0000,-0.5012,0.0000,-12.5297,-12.0285,-12.5297,-0.95000000,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,21,1
1,36242,36242,,0,3,3,0,1,1,1,2026-07-07,2026-07-07,0.000000,0.000000,6.000000,94.000000,4.9909,3.3272,-11.6453,0.0000,-0.6987,0.0000,-11.6453,-10.9466,-11.6453,-2.33333333,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,22,1
1,141,141,,1,71,0,71,2,0,14,2026-03-23,2026-07-05,8.000000,8.000000,0.000000,100.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,1057.5826,96.9366,TEST_LINE,AG03-UNRESOLVED,23,1
1,20926,20926,,1,63,0,63,10,0,26,2026-03-23,2026-08-05,0.000000,0.000000,0.000000,100.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,1633.2052,-151.1275,TEST_LINE,AG03-UNRESOLVED,24,1
1,20936,20936,,1,1182,0,1182,40,0,59,2026-03-22,2026-08-06,0.000000,0.000000,0.000000,100.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,1258130.6711,82097.3359,TEST_LINE,AG03-UNRESOLVED,25,1
1,20957,20957,,1,10419,0,10419,1,0,5,2026-08-02,2026-08-06,0.000000,0.000000,0.000000,100.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,72.3117,-0.1390,TEST_LINE,AG03-UNRESOLVED,26,1
1,28767,28767,,1,2,0,2,1,0,1,2026-05-23,2026-05-23,0.000000,0.000000,0.000000,100.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,51.8914,0.0000,TEST_LINE,AG03-UNRESOLVED,27,1
