bet_date,n_rounds,vb_tail,vb_norm,roi_tail,roi_norm,roi_diff,stake,valid_bet,profit,n_bets,n_rounds_xagg,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
2026-05-24,25797,0E-10,61178360.0299780500,,-0.019380250962,,87894893.0311,79703486.0331,796953.4182,714054,40828,-0.00906712,,-0.00906712,-0.00955133,-796953.4182,87894893.0311,OK,42559.5942,35732.2218,4.0280,95.9720,AG03-UNRESOLVED,761221.1963,76403188.7446,754393.8240,718661.6021,-6827.3724,0.00858291,0.00817637,-0.00007768,123.0928,1952.1771,19.5198,796953.4182,916.0384,87894893.0311,40828.0000,,123.0928,5.1891,15.294,52.5155,200.0,420.1239,1945.9291,12.9729,-2.1006,27.469818,127.234639,8.048426,29,106,20321,16,0E-8,0.00906712,,0.00053397,0.041935,0.906805,0.074986,,2026-05-24,2026-05-24,1,870,29,1,1.000000,,,0.000000,2,0.927007299270073,0.927007299270073,0.24087591240875914,A 平台净亏首位 · 立即处置,11,1
2026-05-27,29385,0E-10,62378066.8780734694,,-0.006488319690,,85444974.2700,77079332.5923,846838.4285,818205,45254,-0.00991092,,-0.00991092,-0.01021113,-846838.4285,85444974.2700,OK,25651.3524,39305.3958,4.0020,95.9980,AG03-UNRESOLVED,807533.0327,73988606.2252,821187.0761,781881.6803,13654.0434,0.00961071,0.00915070,0.00015980,104.4298,1703.2601,18.7130,846838.4285,894.2328,85444974.2700,45254.0000,,104.4298,4.4746,14.7043,51.8914,172.2653,333.3319,1403.0844,12.6037,-2.1006,22.66895,95.419756,7.101971,29,116,23222,16,0E-8,0.00991092,,0.00033279,0.037023,0.902093,0.070897,,2026-05-27,2026-05-27,1,947,29,1,1.000000,,,0.000000,1,0.9197080291970803,0.8832116788321168,0.1897810218978102,A 平台净亏首位 · 立即处置,12,1
2026-07-19,25151,0E-10,56375346.8009617048,,-0.013382911914,,81610818.1509,73324017.3730,870308.2275,791417,41441,-0.01066413,-0.01066413,,-0.01130328,-870308.2275,81610818.1509,OK,52161.8877,35058.5142,3.9744,96.0256,AG03-UNRESOLVED,835249.7133,70365851.7287,818146.3398,783087.8256,-17103.3735,0.01002497,0.00959539,-0.00020957,103.1199,1769.3593,21.0011,870308.2275,1001.5054,81610818.1509,41441.0000,103.1199,,5.1636,16.6497,55.2058,200.0,371.7657,1500.0,12.9089,-2.0439,22.328701,90.091826,6.193505,29,118,21871,16,1.00000000,0.01066413,0.01066413,0.00071139,0.037842,0.898460,0.074114,,2026-07-19,2026-07-19,1,869,29,1,1.000000,,1.000000,3.333333,1,0.9124087591240876,0.8540145985401459,0.10218978102189781,A 平台净亏首位 · 立即处置,13,1
2026-03-29,40755,0E-10,72077658.4419316356,,-0.012626354729,,80048618.4593,72077658.4419,872797.3332,809268,40755,-0.01090334,,-0.01090334,-0.01136907,-872797.3332,80048618.4593,OK,37280.7503,37485.4263,4.0178,95.9822,AG03-UNRESOLVED,835311.9069,69137889.0179,835516.5829,798031.1566,204.6760,0.01043761,0.00996933,0.00000256,98.9148,1768.5599,21.4157,872797.3332,1030.4573,80048618.4593,40755.0000,,98.9148,5.0029,15.2831,52.6635,175.3309,342.9355,1325.2977,13.1659,-2.2009,22.438919,86.716735,6.472185,29,110,21738,16,0E-8,0.01090334,,0.00051723,0.032492,0.900424,0.075511,,2026-03-29,2026-03-29,1,847,29,1,1.000000,,,0.000000,1,0.9051094890510949,0.8467153284671532,0.08029197080291971,A 平台净亏首位 · 立即处置,14,1
2026-04-26,40348,0E-10,73663675.7940924204,,-0.013724475637,,81396284.0799,73663675.7941,934914.5926,766313,40348,-0.01148596,,-0.01148596,-0.01242066,-934914.5926,81396284.0799,OK,76080.7311,38012.2171,4.0153,95.9847,AG03-UNRESOLVED,896902.3755,70614426.1362,858833.8615,820821.6444,-38068.5140,0.01055127,0.01008426,-0.00046769,106.2181,1825.7082,23.1713,934914.5926,1099.8995,81396284.0799,40348.0000,,106.2181,5.2352,15.7056,52.3519,189.0208,344.8276,1322.0027,13.088,-2.1082,21.955746,84.174113,6.763081,29,110,21350,16,0E-8,0.01148596,,0.00103281,0.040540,0.905000,0.068912,,2026-04-26,2026-04-26,1,850,29,1,1.000000,,,0.000000,1,0.8978102189781022,0.8175182481751825,0.0948905109489051,E 常规,15,1
2026-05-23,28328,0E-10,61516624.7462668052,,-0.018287950937,,88458421.3522,79914242.1179,912941.6045,810688,45164,-0.01032057,,-0.01032057,-0.01076693,-912941.6045,88458421.3522,OK,39483.8105,41376.1889,3.9904,96.0096,AG03-UNRESOLVED,871565.4156,76553263.8035,873457.7939,832081.6051,1892.3784,0.00987422,0.00940647,0.00002139,109.1152,1769.4235,20.2139,912941.6045,958.9723,88458421.3522,45164.0000,,109.1152,5.1891,15.3295,51.8914,173.0247,349.162,1722.6528,12.9729,-2.1006,22.777076,112.37475,7.117974,29,111,23862,16,0E-8,0.01032057,,0.00049408,0.033740,0.903410,0.071806,,2026-05-23,2026-05-23,1,952,29,1,1.000000,,,0.000000,2,0.8905109489051095,0.8759124087591241,0.26277372262773724,E 常规,16,1
2026-05-08,45105,0E-10,99098450.0769491589,,-0.010273894876,,109901649.4214,99098450.0769,949772.5000,1002713,45105,-0.00864202,,-0.00864202,-0.00926398,-949772.5000,109901649.4214,OK,68354.5585,38878.7170,3.9858,96.0142,AG03-UNRESOLVED,910893.7830,95007549.9141,881417.9415,842539.2245,-29475.8415,0.00802006,0.00766630,-0.00026820,109.6043,2197.0613,21.0569,949772.5000,1006.1149,109901649.4214,45105.0000,,109.6043,5.1891,15.5674,51.8914,176.4264,357.5802,1519.962,12.9729,-2.5946,22.969761,97.637292,7.040614,29,111,27204,16,0E-8,0.00864202,,0.00068976,0.035569,0.901701,0.068678,,2026-05-08,2026-05-08,1,944,29,1,1.000000,,,0.000000,5,0.8832116788321168,0.9416058394160584,0.8686131386861314,E 常规,17,1
2026-04-02,43197,0E-10,88945339.4583273402,,-0.011221851384,,98210490.2831,88945564.4849,954047.1485,1035810,43198,-0.00971431,,-0.00971431,-0.01016318,-954047.1485,98210490.2831,OK,44084.2323,39231.2144,3.9874,96.0126,AG03-UNRESOLVED,914815.9340,85355862.8051,909962.9162,870731.7017,-4853.0178,0.00926544,0.00886597,-0.00004941,94.8152,2059.0204,22.0854,954047.1485,1061.2315,98210490.2831,43198.0000,,94.8152,5.0,13.8906,52.3519,164.7141,340.5415,1308.7977,12.6494,-2.6176,24.516001,94.221963,6.82586,29,116,28345,16,0E-8,0.00971431,,0.00049563,0.032783,0.905663,0.081489,,2026-04-02,2026-04-02,1,899,29,1,1.000000,,,0.000000,3,0.8759124087591241,0.9051094890510949,0.5547445255474452,E 常规,18,1
2026-04-18,45462,0E-10,90166483.8987788209,,-0.011262078544,,99689443.4151,90166483.8988,972710.5016,969696,45462,-0.00975741,,-0.00975741,-0.01018625,-972710.5016,99689443.4151,OK,42751.5221,39616.5833,3.9988,96.0012,AG03-UNRESOLVED,933093.9184,86533086.6004,929958.9796,890342.3963,-3134.9388,0.00932856,0.00893116,-0.00003145,102.8048,1983.3374,21.3961,972710.5016,1034.7984,99689443.4151,45462.0000,,102.8048,4.309,13.088,52.3519,170.1437,288.9268,1308.7977,10.7348,-2.1082,22.075738,99.999999,7.854907,29,108,25511,16,0E-8,0.00975741,,0.00047414,0.034875,0.904474,0.065243,,2026-04-18,2026-04-18,1,940,29,1,1.000000,,,0.000000,4,0.8686131386861314,0.8978102189781022,0.6131386861313869,E 常规,19,1
2026-05-05,44889,0E-10,97173325.7547821138,,-0.010871783340,,107701696.8593,97173325.7548,1017265.1145,1064901,44889,-0.00944521,,-0.00944521,-0.00980901,-1017265.1145,107701696.8593,OK,39182.2296,41428.5962,4.0089,95.9911,AG03-UNRESOLVED,975836.5183,93172980.5175,978082.8849,936654.2887,2246.3666,0.00908141,0.00869675,0.00002086,101.1378,2164.7469,22.6618,1017265.1145,1085.6618,107701696.8593,44889.0000,,101.1378,4.9991,12.9854,51.8914,168.6538,322.8645,1297.2861,11.1494,-2.1006,24.863679,99.903549,7.788583,29,115,30358,16,0E-8,0.00944521,,0.00040322,0.033283,0.902245,0.067702,,2026-05-05,2026-05-05,1,937,29,1,1.000000,,,0.000000,4,0.8613138686131386,0.9124087591240876,0.781021897810219,E 常规,20,1
