member_id,seed_src,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_alarm,roi_non_alarm,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_alarm,avg_stake_non_alarm,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_alarm,hold_rate,hold_rate_alarm,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_alarm,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_alarm,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
151317638,manual_risk,2757094.4597,2510721.3091,-34695.0869,7967,5621,0.01258393,0.01303179,0.01214276,0.00529881,34695.0869,2757094.4597,OK,20085.7705,-2081.7052,6.0000,94.0000,AG03-UNRESOLVED,-32613.3816,2360078.0306,-54780.8573,-52699.1521,-22167.4757,-0.01986905,-0.01911402,-0.00804016,346.0643,446.6681,-6.1724,-1334.4264,-18.6935,106042.0946,216.1923,414.7287,297.5374,49.9085,306.7485,470.8035,715.3552,915.2386,1533.7423,272.6653,-16.5031,2.983678,5.0,1.12817,29,189,200,7,0.49624342,-0.01258393,-0.01303179,0.00800000,0.800000,0.910640,0.000000,0.00088903,2026-06-13,2026-07-20,26,1856,564,38,0.684211,1.393871,1.198415,1.654145,5,0.9274193548387096,0.8870967741935484,0.8629032258064516,A 平台净亏首位 · 立即处置,11,1
137215692,manual_risk,1126370.9478,981469.5158,-44247.7193,2486,2478,0.03928343,,0.03928343,0.03144124,44247.7193,1126370.9478,OK,8833.2256,-2654.8632,6.0000,94.0000,AG03-UNRESOLVED,-41592.8562,922581.3448,-53080.9450,-50426.0818,-11488.0888,-0.04712563,-0.04476863,-0.01019921,453.0857,396.0733,-17.8562,-4022.5199,-30.9208,102397.3589,225.2727,,453.0857,43.6453,87.2905,261.8715,1295.1132,2618.7151,4364.5249,86.3409,0.0,29.999999,49.999996,5.190549,29,151,40,5,0E-8,-0.03928343,,0.00900000,0.900000,0.871355,0.689863,,2026-05-25,2026-06-04,11,1431,299,11,1.000000,,,0.000000,4,0.9193548387096774,0.9758064516129032,0.75,A 平台净亏首位 · 立即处置,12,1
150757399,manual_risk,2170320.0585,1960062.6853,-23515.3438,4944,4005,0.01083497,,0.01083497,0.00270687,23515.3438,2170320.0585,OK,17640.5642,-1175.7672,5.0000,95.0000,AG03-UNRESOLVED,-22339.5766,1862059.5510,-41155.9079,-39980.1407,-18816.3314,-0.01896306,-0.01842131,-0.00866984,438.9806,489.4039,-5.8715,-2351.5344,-41.2550,217032.0058,400.5000,,438.9806,311.5718,591.9864,623.1436,623.1436,623.1436,623.1436,519.2863,-6.1754,1.052632,1.052632,0.741538,27,152,19,8,0E-8,-0.01083497,,0.00900000,0.900000,0.903121,0.000202,,2026-05-30,2026-06-25,10,570,150,27,0.370370,,,0.000000,5,0.9112903225806451,0.8709677419354839,0.8145161290322581,A 平台净亏首位 · 立即处置,13,1
152395461,manual_risk,2390617.2018,2154882.7150,-17239.0617,530,508,0.00721113,-0.02975506,0.05496651,0E-8,17239.0617,2390617.2018,OK,17239.0617,-1034.3437,6.0000,94.0000,AG03-UNRESOLVED,-16204.7180,2025589.7521,-34478.1234,-33443.7797,-18273.4054,-0.01442227,-0.01398960,-0.00764380,4510.5985,4241.8951,-33.9352,-8619.5309,-147.3424,1195308.6009,254.0000,4305.2062,4806.8556,4990.8501,4990.8501,4990.8501,4990.8501,4990.8501,4990.8501,4990.8501,0.0,1.0,1.0,0.903774,27,76,4,5,0.56367432,-0.00721113,0.02975506,0.00800000,0.800000,0.901392,1.000000,-0.08472157,2026-07-02,2026-07-22,2,117,43,21,0.095238,0.895639,0.954465,1.878914,5,0.9032258064516129,0.8225806451612904,0.8225806451612904,E 常规,14,1
118364215,manual_risk,2429346.8080,2195778.3369,-10380.3931,12394,12386,0.00427292,0.00859725,-0.00774173,-0.00295793,10380.3931,2429346.8080,OK,17566.2267,-622.8236,6.0000,94.0000,AG03-UNRESOLVED,-9757.5696,2064031.6367,-27946.6198,-27323.7963,-18189.0503,-0.01150376,-0.01124738,-0.00748722,196.0099,177.2791,-0.8381,-384.4590,-3.6270,89975.8077,458.7407,201.3965,182.4518,202.0365,204.3903,204.3903,210.8237,210.8237,210.8237,202.0365,0.0,1.031476,1.031476,0.958998,29,177,86,4,0.73533621,-0.00427292,-0.00859725,0.00800000,0.800000,0.903855,0.000000,0.01633898,2026-04-09,2026-08-06,27,2862,528,120,0.225000,1.103834,1.027481,2.451121,5,0.8951612903225806,0.7903225806451613,0.8387096774193549,E 常规,15,1
145870516,manual_risk,1181647.6806,1070089.0531,-13803.5283,30302,26397,0.01168159,-0.00408627,0.01395451,0.00443715,13803.5283,1181647.6806,OK,8560.3763,-690.1764,5.0000,95.0000,AG03-UNRESOLVED,-13113.3519,1016584.6004,-22363.9046,-21673.7282,-9250.5527,-0.01892603,-0.01834195,-0.00782852,38.9957,40.5383,-0.5229,-115.9960,-1.5810,9929.8124,221.8235,40.2360,38.8232,21.0824,41.5429,51.9286,62.3144,63.8756,103.8573,40.8781,-2.0914,1.537582,2.5,0.938685,29,262,427,8,0.12598788,-0.01168159,0.00408627,0.00799969,0.800000,0.905591,0.001122,-0.01804078,2026-03-22,2026-08-06,119,8731,2629,138,0.862319,1.036392,1.031807,0.419960,4,0.8870967741935484,0.8790322580645161,0.7580645161290323,E 常规,16,1
151674168,manual_risk,612079.4254,555581.9445,-15588.4155,1393,1388,0.02546796,0.04050937,-0.00961995,0.01820640,15588.4155,612079.4254,OK,4444.6556,-935.3049,6.0000,94.0000,AG03-UNRESOLVED,-14653.1106,522247.0278,-20033.0711,-19097.7662,-5379.9605,-0.03272953,-0.03120145,-0.00878964,439.3966,400.2752,-11.2308,-916.9656,-24.4716,36004.6721,81.6471,425.8685,474.5626,249.5425,399.268,632.1744,831.8083,831.8083,852.0791,340.8316,0.0,2.083333,2.134103,1.100505,29,154,37,4,0.69994791,-0.02546796,-0.04050937,0.00800000,0.800000,0.907696,0.009332,0.05012932,2026-06-17,2026-08-02,17,637,327,47,0.361702,0.897392,0.969212,2.333160,4,0.8790322580645161,0.9435483870967742,0.6290322580645161,E 常规,17,1
106593553,manual_risk,1105890.9509,988137.0730,-11769.5441,15523,15245,0.01064259,-0.01001568,0.01795155,0.00349442,11769.5441,1105890.9509,OK,7905.0966,-706.1726,6.0000,94.0000,AG03-UNRESOLVED,-11063.3715,928848.8486,-19674.6407,-18968.4681,-8611.2692,-0.01779076,-0.01715220,-0.00778673,71.2421,64.8171,-0.7720,-112.0909,-1.9659,10532.2948,145.1905,105.5951,63.8884,17.0416,25.5624,51.1247,170.2707,320.4735,826.7196,17.6947,0.0,12.536925,32.341271,2.786991,30,223,4,5,0.26134026,-0.01064259,0.01001568,0.00800000,0.800000,0.893521,0.578819,-0.02796723,2026-03-23,2026-08-03,105,5987,1713,134,0.783582,1.652806,1.482201,0.871134,4,0.8709677419354839,0.8548387096774194,0.7419354838709677,E 常规,18,1
145014743,manual_risk,1956613.4935,1769581.2850,1144.5933,9360,9357,-0.00058499,,-0.00058499,-0.00782027,-1144.5933,1956613.4935,OK,14156.6503,57.2297,5.0000,95.0000,AG03-UNRESOLVED,1087.3636,1681102.2207,-13012.0570,-13069.2867,-14099.4206,-0.00665030,-0.00667954,-0.00720603,209.0399,189.1184,0.1223,26.0135,1.4061,44468.4885,212.6591,,209.0399,210.062,210.062,210.8237,210.8237,210.8237,210.8237,210.062,0.0,1.003626,1.003626,0.995134,20,97,16,4,0E-8,0.00058499,,0.00800000,0.800000,0.904410,0.000000,,2026-04-02,2026-06-28,44,814,237,88,0.500000,,,0.000000,5,0.8629032258064516,0.6935483870967742,0.8064516129032258,E 常规,19,1
29787939,manual_risk,478560.7229,423076.9801,-8207.3149,2766,2587,0.01715000,0.04246057,0.01248829,0.01007751,8207.3149,478560.7229,OK,3384.6158,-410.3657,5.0000,95.0000,AG03-UNRESOLVED,-7796.9491,401923.1311,-11591.9307,-11181.5650,-3794.9816,-0.02422249,-0.02336499,-0.00792999,173.0154,163.5396,-3.1725,-97.7061,-9.6330,5697.1515,30.7976,171.1091,173.3712,105.031,126.4942,210.8237,315.093,420.1239,757.7753,126.0372,0.0,3.32129,5.990593,1.367774,29,160,119,5,0.15553400,-0.01715000,-0.04246057,0.00800000,0.800000,0.884061,0.000000,0.02997228,2026-03-26,2026-08-05,84,852,578,133,0.631579,0.986952,0.988982,0.518447,3,0.8548387096774194,0.9193548387096774,0.532258064516129,E 常规,20,1
