table_id,n_rows,n_members,n_b06_null,n_b08_null,n_negative,lat_min,lat_avg,lat_max,lat_p01,lat_p50,lat_p99,lat_sd,verdict_latency,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
900,46032,5665,0,0,0,0.0000,14.1626,25.0000,2.0,14.0,25.0,6.7819,✅ 该桌延迟可算（★ 只出分布，不判机器人）,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,1.0,1.0,0.0,A 平台净亏首位 · 立即处置,1,1
909,1483351,76010,0,0,0,0.0000,14.3489,35.0000,2.0,15.0,25.0,6.9126,✅ 该桌延迟可算（★ 只出分布，不判机器人）,172891683.6820,156091053.8964,326422.5822,1472983,163316,-0.00188802,0.00569600,-0.00442830,-0.00241057,-326422.5822,172891683.6820,OK,90344.9058,21239.4993,4.0046,95.9954,AG03-UNRESOLVED,305183.0829,149748846.9910,236077.6764,214838.1771,-69105.4065,0.00136547,0.00124262,-0.00039970,117.3752,955.7609,1.9987,2382.6466,99.8845,1261983.0926,1192.0876,122.8799,115.6400,5.1636,17.9415,56.9898,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.784116,92.724644,6.542116,1,1,204942,16,0.25090955,0.00188802,-0.00569600,0.00057880,0.044980,0.902826,0.082326,0.01012430,2026-03-23,2026-08-06,137,3268,137,137,1.000000,1.062607,1.046898,0.836365,1,0.9655172413793104,0.9655172413793104,0.1724137931034483,A 平台净亏首位 · 立即处置,2,1
911,1395396,72622,0,0,0,0.0000,14.3263,35.0000,2.0,15.0,25.0,6.9156,✅ 该桌延迟可算（★ 只出分布，不判机器人）,160509891.1148,144240042.1795,1993016.6253,1386546,161982,-0.01241678,-0.01667204,-0.01109783,-0.01293286,-1993016.6253,160509891.1148,OK,82835.9080,75873.1684,4.0004,95.9996,AG03-UNRESOLVED,1917143.4570,138365097.2980,1910180.7174,1834307.5490,-6962.7396,0.01190070,0.01142800,-0.00004338,115.7624,890.4696,12.3039,14547.5666,614.1808,1171605.0446,1182.3504,118.1305,115.0475,5.1636,18.0724,56.9349,203.5959,403.5226,1607.865,12.9729,-2.1082,22.328057,88.967763,6.405464,1,1,196809,16,0.23661734,0.01241678,0.01667204,0.00057429,0.043235,0.898636,0.082244,-0.00557421,2026-03-23,2026-08-06,137,3245,137,137,1.000000,1.026797,1.020456,0.788724,1,0.9310344827586207,0.896551724137931,0.10344827586206896,A 平台净亏首位 · 立即处置,3,1
913,1369462,71752,0,0,0,0.0000,14.3905,28.0000,2.0,15.0,25.0,6.7778,✅ 该桌延迟可算（★ 只出分布，不判机器人）,149787009.1904,135414979.4133,2335998.4195,1359037,158705,-0.01559547,-0.01490110,-0.01583686,-0.01608134,-2335998.4195,149787009.1904,OK,72777.1409,112063.2975,3.9960,96.0040,AG03-UNRESOLVED,2223935.1220,129910597.3432,2263221.2787,2151157.9811,39286.1567,0.01510960,0.01436145,0.00026228,110.2155,853.2496,14.7191,17432.8240,731.5999,1117813.5014,1184.3657,119.5727,107.2965,5.1636,17.0416,52.9957,200.0,389.1858,1500.0,12.9089,-2.1361,22.837423,88.019997,6.467448,1,1,193105,16,0.25796649,0.01559547,0.01490110,0.00053744,0.041762,0.904050,0.079615,0.00093576,2026-03-26,2026-08-06,134,3193,134,134,1.000000,1.114413,1.084898,0.859888,1,0.896551724137931,0.6206896551724138,0.034482758620689655,E 常规,4,1
907,1474127,77210,0,0,0,0.0000,14.3633,35.0000,2.0,15.0,25.0,6.8495,✅ 该桌延迟可算（★ 只出分布，不判机器人）,173572777.2679,155966059.3817,2488030.8569,1461010,157093,-0.01433422,-0.02404167,-0.01110238,-0.01486145,-2488030.8569,173572777.2679,OK,91512.8037,91196.0857,3.9991,96.0009,AG03-UNRESOLVED,2396834.7712,149623782.4767,2396518.0533,2305321.9675,-316.7179,0.01380699,0.01328159,-0.00000182,118.8033,992.8263,15.8379,18294.3445,790.3529,1276270.4211,1155.0956,121.3807,117.9693,5.1636,17.9965,57.3246,202.3888,408.2842,1663.6167,12.9089,-2.1082,22.686835,92.440987,6.601456,1,1,206440,16,0.24976956,0.01433422,0.02404167,0.00058675,0.044645,0.898563,0.082445,-0.01293928,2026-03-23,2026-08-06,136,3148,136,137,0.992701,1.028918,1.021695,0.832565,2,0.8620689655172413,0.6896551724137931,0.20689655172413793,E 常规,5,1
903,1787564,87983,0,0,0,0.0000,14.4326,35.0000,2.0,15.0,25.0,6.8713,✅ 该桌延迟可算（★ 只出分布，不判机器人）,208274838.1953,187418665.4801,2835069.3956,1774204,165318,-0.01361216,-0.02007478,-0.01167162,-0.01407406,-2835069.3956,208274838.1953,OK,96202.1830,114313.4794,4.0023,95.9977,AG03-UNRESOLVED,2720755.9162,179818191.5903,2738867.2125,2624553.7331,18111.2964,0.01315025,0.01260140,0.00008696,117.3906,1133.6858,17.1492,20693.9372,869.1200,1520254.2934,1206.7007,119.8071,116.6839,5.1636,17.0743,55.1825,200.0,400.0,1663.6167,12.9089,-2.1082,23.426987,97.433816,6.875269,1,1,235409,16,0.23092885,0.01361216,0.02007478,0.00051330,0.043270,0.899862,0.081469,-0.00840316,2026-03-23,2026-08-06,137,3262,137,137,1.000000,1.026766,1.020585,0.769763,2,0.8275862068965517,0.8275862068965517,0.3448275862068966,E 常规,6,1
902,1901412,91377,0,0,0,0.0000,14.4811,35.0000,2.0,15.0,25.0,6.8686,✅ 该桌延迟可算（★ 只出分布，不判机器人）,213684543.3101,192000540.8313,2914547.7460,1885862,167340,-0.01363949,-0.00931404,-0.01492091,-0.01413206,-2914547.7460,213684543.3101,OK,105255.5770,124878.2074,4.0035,95.9965,AG03-UNRESOLVED,2789669.5386,184193194.7148,2809292.1690,2684413.9616,19622.6304,0.01314691,0.01256251,0.00009183,113.3087,1147.3679,17.4169,21274.0711,879.7307,1559741.1920,1221.4599,117.9325,112.0077,5.1636,17.0416,54.2396,200.0,400.0,1585.7003,12.9089,-2.1082,23.471999,93.048891,6.648953,1,1,245550,16,0.22854464,0.01363949,0.00931404,0.00054820,0.044344,0.898523,0.081881,0.00560687,2026-03-23,2026-08-06,137,3313,137,137,1.000000,1.052897,1.040808,0.761815,2,0.7931034482758621,0.7931034482758621,0.3793103448275862,E 常规,7,1
910,1431874,73867,0,0,0,0.0000,14.3301,35.0000,2.0,15.0,25.0,6.9055,✅ 该桌延迟可算（★ 只出分布，不判机器人）,167225782.8046,150490472.0848,2982710.4354,1422185,164093,-0.01783643,-0.01532762,-0.01857682,-0.01833650,-2982710.4354,167225782.8046,OK,83625.6867,126039.4979,3.9986,96.0014,AG03-UNRESOLVED,2856670.9375,144375164.9015,2899084.7487,2773045.2508,42413.8112,0.01733635,0.01658264,0.00025363,117.5837,917.1048,18.1770,21771.6090,909.0858,1220626.1519,1197.7591,116.3803,117.9436,5.1636,18.3232,59.0917,204.3903,415.429,1663.6167,12.9729,-2.1082,22.672246,90.792704,6.417189,1,1,200515,16,0.22786901,0.01783643,0.01532762,0.00055569,0.043221,0.899924,0.082337,0.00324920,2026-03-23,2026-08-06,137,3281,137,137,1.000000,0.986745,0.989765,0.759563,1,0.7586206896551724,0.3793103448275862,0.13793103448275862,E 常规,8,1
912,1380059,72466,0,0,0,0.0000,14.3492,35.0000,2.0,15.0,25.0,6.8957,✅ 该桌延迟可算（★ 只出分布，不判机器人）,150703460.7930,135998725.3368,3032848.6138,1369275,161851,-0.02012461,-0.02544868,-0.01851773,-0.02063070,-3032848.6138,150703460.7930,OK,76269.7931,120458.5981,3.9962,96.0038,AG03-UNRESOLVED,2912390.0157,130468448.3876,2956578.8207,2836120.2226,44188.8050,0.01961852,0.01881921,0.00029322,110.0608,840.2711,18.7385,22137.5811,937.2215,1100025.2613,1181.3942,111.8855,109.5217,5.1636,17.6128,55.0224,200.0,400.0,1500.5945,12.9339,-2.1082,22.71073,85.198992,6.248901,1,1,195252,16,0.23184120,0.02012461,0.02544868,0.00056081,0.042294,0.902426,0.079906,-0.00693095,2026-03-23,2026-08-06,137,3236,137,137,1.000000,1.021583,1.016579,0.772804,1,0.7241379310344828,0.1724137931034483,0.06896551724137931,E 常规,9,1
906,1610340,81675,0,0,0,0.0000,14.3897,35.0000,2.0,15.0,25.0,6.8947,✅ 该桌延迟可算（★ 只出分布，不判机器人）,186664555.7536,168224105.2983,3507619.0591,1598604,165347,-0.01879103,-0.02638205,-0.01650271,-0.01926617,-3507619.0591,186664555.7536,OK,88691.9117,145919.1384,4.0000,96.0000,AG03-UNRESOLVED,3361699.9208,161397351.1534,3418927.1475,3273008.0091,57227.2267,0.01831589,0.01753417,0.00030658,116.7672,1017.4004,21.2137,25603.0588,1067.7684,1362515.0055,1206.9124,119.7701,115.8913,5.1636,17.5886,57.1368,203.395,405.9631,1662.7559,12.9089,-2.1082,23.081077,94.536161,6.638813,1,1,219776,16,0.23162693,0.01879103,0.02638205,0.00052722,0.043466,0.901211,0.082782,-0.00987935,2026-03-23,2026-08-06,137,3285,137,137,1.000000,1.033469,1.025717,0.772090,2,0.6896551724137931,0.3103448275862069,0.27586206896551724,E 常规,10,1
