source_table,字段数,样例字段,维度域
ods_a168_bet,60,"__source_pk, dt, bet001, bet002, bet003",01_投注注单域
ods_a168_bet01,49,"__source_pk, dt, bet01, bet02, bet03",01_投注注单域
ods_a168_bet02,58,"__source_pk, dt, bet01, bet02, bet03",01_投注注单域
ods_a168_bet_No,7,"__source_pk, dt, bet01, source_db, source_table",01_投注注单域
ods_a168_bet_partner,15,"__source_pk, dt, bet01, gid, mid",01_投注注单域
ods_a168_betchange_log,18,"__source_pk, dt, log_id, operation_type, change_time",01_投注注单域
ods_a168_orderslist,9,"__source_pk, dt, bet01, op, optime",01_投注注单域
ods_a168_risklist,9,"__source_pk, dt, bet01, op, optime",01_投注注单域
ods_a168_game_No,10,"__source_pk, dt, gameNo, gid, table_no",02_对局结果域
ods_a168_game_info,23,"__source_pk, dt, gi001, gi002, gi003",02_对局结果域
ods_a168_game_info_verify,13,"__source_pk, dt, id, action, gid",02_对局结果域
ods_a168_game_result,11,"__source_pk, dt, gid, gameNo, gameNoRound",02_对局结果域
ods_a168_game_statistics,11,"__source_pk, dt, id, gid, t_number",02_对局结果域
ods_a168_game_tip,8,"__source_pk, dt, currency_code, amount_list, source_db",02_对局结果域
ods_a168_game_transfer,12,"__source_pk, dt, tcpsocketport, websocketport, gid",02_对局结果域
ods_a168_game_type,28,"__source_pk, dt, code, twname, cnname",02_对局结果域
ods_a168_shuffle_gid,8,"__source_pk, dt, gid, name, source_db",02_对局结果域
ods_a168_shuffle_info,34,"__source_pk, dt, id, roomTable, addtime",02_对局结果域
ods_a168_dailyreport,34,"__source_pk, dt, id, time, bet02",03_日汇总报表域
ods_a168_dailyreport2,35,"__source_pk, dt, id, time, bet02",03_日汇总报表域
ods_a168_dailyreport_member,35,"__source_pk, dt, id, time, bet02",03_日汇总报表域
ods_a168_dailyreport_table,23,"__source_pk, dt, id, time, bet02",03_日汇总报表域
ods_a168_dailyreport_usercount,12,"__source_pk, dt, id, time, bet05",03_日汇总报表域
ods_a168_control,19,"__source_pk, dt, con001, con002, con003",04_员工荷官域
ods_a168_control_login,13,"__source_pk, dt, clg001, clg002, clg003",04_员工荷官域
ods_a168_emp_login,12,"__source_pk, dt, eid, sid, logintime",04_员工荷官域
ods_a168_employee,24,"__source_pk, dt, id, account, password",04_员工荷官域
ods_a168_agent,51,"__source_pk, dt, age001, age002, age003",05_代理层级域
ods_a168_agent_dtl,22,"__source_pk, dt, ag001, ag002, ag003",05_代理层级域
ods_a168_agent_dtl_test,22,"__source_pk, dt, ag001, ag002, ag003",05_代理层级域
ods_a168_agent_elec,11,"__source_pk, dt, id, gid, profitRate",05_代理层级域
ods_a168_agent_permissionrole,15,"__source_pk, dt, id, permissionid, status",05_代理层级域
ods_a168_agent_sub,22,"__source_pk, dt, ags001, ags002, ags003",05_代理层级域
ods_a168_agent_test,49,"__source_pk, dt, age001, age002, age003",05_代理层级域
ods_a168_agents_LoginPass,28,"__source_pk, dt, id, aid, vendorId",05_代理层级域
ods_a168_subagent_permissionrole,15,"__source_pk, dt, id, permissionid, status",05_代理层级域
ods_a168_category,33,"__source_pk, dt, sn, level, aid",06_会员分级域
ods_a168_categoryLevel,21,"__source_pk, dt, lv_id, level, name",06_会员分级域
ods_a168_member_category,13,"__source_pk, dt, mid, lv_id, build_time",06_会员分级域
ods_a168_RedPacketSetup,26,"__source_pk, dt, id, agent_id, status",07_营销活动域
ods_a168_RedPacketSetup_setting,16,"__source_pk, dt, id, red_id, currency",07_营销活动域
ods_a168_RedPacket_No,7,"__source_pk, dt, id, source_db, source_table",07_营销活动域
ods_a168_RedPacket_Order,20,"__source_pk, dt, id, mid, gameid",07_营销活动域
ods_a168_aggregate_setting,14,"__source_pk, dt, id, code, currency",08_三方钱包聚合域
ods_a168_aggregate_token,11,"__source_pk, dt, code, mid, token",08_三方钱包聚合域
ods_a168_aggregate_transaction,22,"__source_pk, dt, id, code, mid",08_三方钱包聚合域
ods_a168_alarmMessage,14,"__source_pk, dt, id, time, parentID",09_异常稽核日志域
ods_a168_alertMessage,13,"__source_pk, dt, id, mid, message",09_异常稽核日志域
ods_a168_alert_ip_setting,11,"__source_pk, dt, id, ip, creator",09_异常稽核日志域
ods_a168_change_log,14,"__source_pk, dt, id, function, content",09_异常稽核日志域
ods_a168_conversion,21,"__source_pk, dt, id, mid, type",10_货币码房域
ods_a168_ctl_rto,9,"__source_pk, dt, ctl001, ctl002, ctl003",10_货币码房域
ods_a168_currency,14,"__source_pk, dt, id, code, name",10_货币码房域
ods_a168_member_odds,10,"__source_pk, dt, mid, gid, area",10_货币码房域
ods_a168_odds_default,10,"__source_pk, dt, id, gid, area",10_货币码房域
ods_a168_age_login,13,"__source_pk, dt, alg001, alg002, alg003",11_代理登入日志域
ods_a168_age_sub_login,13,"__source_pk, dt, asl001, asl002, asl003",11_代理登入日志域
ods_a168_game_demoipsetting,10,"__source_pk, dt, ip, allow, enable",12_会话地理位置域
ods_a168_game_log,26,"__source_pk, dt, id, mid, user_agent",12_会话地理位置域
ods_a168_opengame_log,9,"__source_pk, dt, aid, opengame, time",12_会话地理位置域
ods_a168_apiurl,9,"__source_pk, dt, id, code, url",13_系统API配置域
ods_a168_game_callwebapi,13,"__source_pk, dt, id, name, url",13_系统API配置域
ods_a168_keyserver_command,12,"__source_pk, dt, id, time, gameID",13_系统API配置域
ods_a168_realtimelog,15,"__source_pk, dt, id, total, gameTotal",13_系统API配置域
ods_a168_stream,9,"__source_pk, dt, id, secretKey, validitySecond",13_系统API配置域
ods_a168_symbol,11,"__source_pk, dt, id, code, name",13_系统API配置域
ods_a168_ban_bet_area,11,"__source_pk, dt, id, account_type, gid",14_限红限注规则域
ods_a168_bet_limit_default,24,"__source_pk, dt, id, gtype, set01",14_限红限注规则域
ods_a168_tablelimit,31,"__source_pk, dt, sn, gid, tableid",14_限红限注规则域
ods_a168_tablelimit_third,19,"__source_pk, dt, id, gid, tableid",14_限红限注规则域
ods_a168_member,53,"__source_pk, dt, mem001, mem002, mem003",15_会员主档域
ods_a168_member_click_counter,11,"__source_pk, dt, date, mid, ui",15_会员主档域
ods_a168_member_dtl,22,"__source_pk, dt, mem001, mem002, mem003",15_会员主档域
ods_a168_member_explosion_setting,13,"__source_pk, dt, sn, gid, tableid",15_会员主档域
ods_a168_member_partner_account,12,"__source_pk, dt, mid, code, username",15_会员主档域
ods_a168_member_partner_gamelist,11,"__source_pk, dt, mid, code, gamelist_id",15_会员主档域
ods_a168_member_url,12,"__source_pk, dt, mid, account, url",15_会员主档域
ods_a168_payment_bank,11,"__source_pk, dt, id, currency, code",16_支付渠道配置域
ods_a168_payment_method,13,"__source_pk, dt, id, code, name",16_支付渠道配置域
ods_a168_payment_order,23,"__source_pk, dt, id, ps_id, orderId",16_支付渠道配置域
ods_a168_payment_platform,22,"__source_pk, dt, id, code, name",16_支付渠道配置域
ods_a168_payment_setting,26,"__source_pk, dt, id, code, lv_id",16_支付渠道配置域
ods_a168_payment_type,17,"__source_pk, dt, type, cnname, twname",16_支付渠道配置域
ods_a168_agent_partner_gamelist,11,"__source_pk, dt, agent_id, code, gamelist_id",17_第三方游戏对接域
ods_a168_partner_bng_token,10,"__source_pk, dt, mid, token, version",17_第三方游戏对接域
ods_a168_partner_gamelist,37,"__source_pk, dt, id, code, cnname",17_第三方游戏对接域
ods_a168_partner_reportTime,11,"__source_pk, dt, id, code, type",17_第三方游戏对接域
ods_a168_partner_setting,15,"__source_pk, dt, id, code, currency",17_第三方游戏对接域
ods_a168_partner_transation,22,"__source_pk, dt, id, action, agent_id",17_第三方游戏对接域
ods_a168_partner_transation_log,9,"__source_pk, dt, trans_id, text, created_at",17_第三方游戏对接域
ods_a168_partner_type,29,"__source_pk, dt, code, codename, twname",17_第三方游戏对接域
ods_a168_wallet_dtl,20,"__source_pk, dt, id, user, requestDate",18_钱包处理域
