source_db,source_table,table_type,table_comment,create_time,update_time
ods_mariadb_2b,ods_a168_game_info_verify,BASE TABLE,,2026-05-18 11:21:16,2026-06-23 23:19:30
ods_mariadb_2b,ods_a168_game_log,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:56:41
ods_mariadb_2b,ods_a168_game_parame,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:44:37
ods_mariadb_2b,ods_a168_game_result,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_game_statistics,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 09:00:15
ods_mariadb_2b,ods_a168_game_tip,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:09:19
ods_mariadb_2b,ods_a168_game_transfer,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 20:04:27
ods_mariadb_2b,ods_a168_game_type,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:22:47
ods_mariadb_2b,ods_a168_in_out_m,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:54:24
ods_mariadb_2b,ods_a168_in_out_m_chip,BASE TABLE,,2026-05-18 11:21:16,2026-05-19 10:22:07
ods_mariadb_2b,ods_a168_ipblacklist,BASE TABLE,,2026-05-18 11:21:16,2026-05-19 23:13:11
ods_mariadb_2b,ods_a168_iphistory,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:02:18
ods_mariadb_2b,ods_a168_jackpot,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 10:57:14
ods_mariadb_2b,ods_a168_keyserver_command,BASE TABLE,,2026-05-18 11:21:17,2026-06-01 23:15:00
ods_mariadb_2b,ods_a168_log_age_cash_change,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:51:12
ods_mariadb_2b,ods_a168_log_mem_change,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 23:00:44
ods_mariadb_2b,ods_a168_log_realtimebet,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 22:00:20
ods_mariadb_2b,ods_a168_mem_login,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:55:18
ods_mariadb_2b,ods_a168_member,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:54:51
ods_mariadb_2b,ods_a168_member_category,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_member_click_counter,BASE TABLE,,2026-05-18 11:21:16,2026-05-20 22:09:36
ods_mariadb_2b,ods_a168_member_dtl,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 08:50:36
ods_mariadb_2b,ods_a168_member_explosion_setting,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:06:17
ods_mariadb_2b,ods_a168_member_odds,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_member_partner_account,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 22:01:19
ods_mariadb_2b,ods_a168_member_partner_gamelist,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 20:03:13
ods_mariadb_2b,ods_a168_member_url,BASE TABLE,,2026-05-18 11:21:17,2026-07-26 23:22:42
ods_mariadb_2b,ods_a168_news,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 10:53:17
ods_mariadb_2b,ods_a168_odds_default,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:36:15
ods_mariadb_2b,ods_a168_opengame_log,BASE TABLE,,2026-05-18 11:21:18,2026-05-19 10:58:00
ods_mariadb_2b,ods_a168_orderslist,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 22:02:34
ods_mariadb_2b,ods_a168_partner_bng_token,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_partner_gamelist,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 10:53:23
ods_mariadb_2b,ods_a168_partner_reportTime,BASE TABLE,,2026-05-18 11:21:18,2026-07-27 20:54:25
ods_mariadb_2b,ods_a168_partner_setting,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 20:02:36
ods_mariadb_2b,ods_a168_partner_transation,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 06:00:33
ods_mariadb_2b,ods_a168_partner_transation_log,BASE TABLE,,2026-05-18 11:21:15,2026-07-28 06:01:26
ods_mariadb_2b,ods_a168_partner_type,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:45:50
ods_mariadb_2b,ods_a168_passiplist,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:31:46
ods_mariadb_2b,ods_a168_payment_bank,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:06:53
ods_mariadb_2b,ods_a168_payment_method,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_payment_order,BASE TABLE,,2026-05-18 11:21:18,1970-01-01 00:00:00
ods_mariadb_2b,ods_a168_payment_platform,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 10:57:08
ods_mariadb_2b,ods_a168_payment_setting,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:26:40
ods_mariadb_2b,ods_a168_payment_type,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:44:01
ods_mariadb_2b,ods_a168_permissionrole,BASE TABLE,,2026-05-18 11:21:16,2026-07-27 22:01:56
ods_mariadb_2b,ods_a168_permissions,BASE TABLE,,2026-05-18 11:21:16,2026-05-19 23:13:57
ods_mariadb_2b,ods_a168_permissionsPage,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:45:14
ods_mariadb_2b,ods_a168_permissionsPageRoles,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:05:40
ods_mariadb_2b,ods_a168_permissionsgroup,BASE TABLE,,2026-05-18 11:21:17,2026-05-19 23:15:17
ods_mariadb_2b,ods_a168_play_set,BASE TABLE,,2026-05-18 11:21:17,2026-07-27 20:30:33
