字段,表名,含义
bet22,ods_a168_dailyreport,source_type=int(11); LV5ID
bet22,ods_a168_dailyreport2,source_type=int(11); LV5ID
bet22,ods_a168_dailyreport_member,source_type=int(11); LV5ID
bet22,ods_a168_wallet_reporter,source_type=int(11); 代理
bet22,ods_a168_wallet_reporter_copy,source_type=int(11); 代理
bet23,ods_a168_bet01,"source_type=decimal(16,4); LV4佔成"
bet23,ods_a168_bet02,"source_type=decimal(16,4); LV1佔成"
bet23,ods_a168_dailyreport,"source_type=decimal(16,4); LV1佔成"
bet23,ods_a168_dailyreport2,"source_type=decimal(16,4); LV1佔成"
bet23,ods_a168_dailyreport_member,"source_type=decimal(16,4); LV1占成"
bet23,ods_a168_dailyreport_table,"source_type=decimal(16,4); LV1占成"
bet24,ods_a168_bet01,"source_type=decimal(16,4); LV5佔成"
bet24,ods_a168_bet02,"source_type=decimal(16,4); LV2佔成"
bet24,ods_a168_dailyreport,"source_type=decimal(16,4); LV2佔成"
bet24,ods_a168_dailyreport2,"source_type=decimal(16,4); LV2佔成"
bet24,ods_a168_dailyreport_member,"source_type=decimal(16,4); LV2占成"
bet25,ods_a168_bet01,"source_type=decimal(16,4); LV1退水%數"
bet25,ods_a168_bet02,"source_type=decimal(16,4); LV3佔成"
bet25,ods_a168_dailyreport,"source_type=decimal(16,4); LV3佔成"
bet25,ods_a168_dailyreport2,"source_type=decimal(16,4); LV3佔成"
bet25,ods_a168_dailyreport_member,"source_type=decimal(16,4); LV3占成"
bet26,ods_a168_bet01,"source_type=decimal(16,4); LV2退水%數"
bet26,ods_a168_bet02,"source_type=decimal(16,4); LV4佔成"
bet26,ods_a168_dailyreport,"source_type=decimal(16,4); LV4佔成"
bet26,ods_a168_dailyreport2,"source_type=decimal(16,4); LV4佔成"
bet26,ods_a168_dailyreport_member,"source_type=decimal(16,4); LV4占成"
bet27,ods_a168_bet01,"source_type=decimal(16,4); LV3退水%數"
bet27,ods_a168_bet02,"source_type=decimal(16,4); LV5佔成"
bet27,ods_a168_dailyreport,"source_type=decimal(16,4); LV5佔成"
bet27,ods_a168_dailyreport2,"source_type=decimal(16,4); LV5佔成"
bet27,ods_a168_dailyreport_member,"source_type=decimal(16,4); LV5占成"
bet28,ods_a168_bet01,"source_type=decimal(16,4); LV4退水%數"
bet28,ods_a168_bet02,"source_type=decimal(16,4); LV1退水%數"
bet28,ods_a168_dailyreport,"source_type=decimal(16,4); LV1退水"
bet28,ods_a168_dailyreport2,"source_type=decimal(16,4); LV1退水"
bet28,ods_a168_dailyreport_member,"source_type=decimal(16,4); LV1退水"
bet28,ods_a168_dailyreport_table,"source_type=decimal(16,4); LV1退水%數"
bet29,ods_a168_bet01,"source_type=decimal(16,4); LV5退水%數"
bet29,ods_a168_bet02,"source_type=decimal(16,4); LV2退水%數"
bet29,ods_a168_dailyreport,"source_type=decimal(16,4); LV2退水"
bet29,ods_a168_dailyreport2,"source_type=decimal(16,4); LV2退水"
bet29,ods_a168_dailyreport_member,"source_type=decimal(16,4); LV2退水"
bet30,ods_a168_bet01,"source_type=enum(''Y'',''N''); 取消單"
bet30,ods_a168_bet02,"source_type=decimal(16,4); LV3退水%數"
bet30,ods_a168_dailyreport,"source_type=decimal(16,4); LV3退水"
bet30,ods_a168_dailyreport2,"source_type=decimal(16,4); LV3退水"
bet30,ods_a168_dailyreport_member,"source_type=decimal(16,4); LV3退水"
bet31,ods_a168_bet01,source_type=int(11); 桌子編號(Table ID)
bet31,ods_a168_bet02,"source_type=decimal(16,4); LV4退水%數"
bet31,ods_a168_dailyreport,"source_type=decimal(16,4); LV4退水"
bet31,ods_a168_dailyreport2,"source_type=decimal(16,4); LV4退水"
bet31,ods_a168_dailyreport_member,"source_type=decimal(16,4); LV4退水"
bet32,ods_a168_bet01,source_type=int(11); 房間編號(Room ID)
bet32,ods_a168_bet02,"source_type=decimal(16,4); LV5退水%數"
bet32,ods_a168_dailyreport,"source_type=decimal(16,4); LV5退水"
bet32,ods_a168_dailyreport2,"source_type=decimal(16,4); LV5退水"
bet32,ods_a168_dailyreport_member,"source_type=decimal(16,4); LV5退水"
bet39,ods_a168_bet02,source_type=int(11); 桌子編號
bet39,ods_a168_dailyreport,source_type=int(11); 
bet39,ods_a168_dailyreport2,source_type=int(11); 
bet39,ods_a168_dailyreport_table,source_type=int(11); 桌子編號
bet39,ods_a168_dailyreport_usercount,source_type=int(11); 桌號
bet41,ods_a168_bet02,"source_type=decimal(16,4); 下注退水金額"
bet41,ods_a168_dailyreport,"source_type=decimal(16,4); 有效投注"
bet41,ods_a168_dailyreport2,"source_type=decimal(16,4); 有效投注"
bet41,ods_a168_dailyreport_member,"source_type=decimal(16,4); 有效投注"
bet41,ods_a168_dailyreport_table,"source_type=decimal(16,4); 下注退水金額"
betTime,ods_a168_bet_partner,source_type=datetime; 下注時間
betTime,ods_a168_log_realtimebet,source_type=datetime; 
cash,ods_a168_agent,"source_type=decimal(15,4); "
cash,ods_a168_agent_bak20250610,"source_type=decimal(15,4); "
cash,ods_a168_agent_test,"source_type=decimal(15,4); "
cash,ods_a168_member,"source_type=decimal(15,4); 現金"
cash,ods_a168_wallet_dtl,"source_type=decimal(15,4); 當前金額"
cnname,ods_a168_game_type,source_type=varchar(20); 
cnname,ods_a168_partner_gamelist,source_type=varchar(50); 
cnname,ods_a168_partner_type,source_type=varchar(20); 
cnname,ods_a168_payment_type,source_type=varchar(20); 
co,ods_a168_agents_LoginPass,source_type=varchar(10); 
co,ods_a168_urllist,source_type=varchar(100); 
comment,ods_a168_game_demoipsetting,source_type=text; 
comment,ods_a168_game_transfer,source_type=text; 註解
content,ods_a168_aisetting,source_type=text; 
content,ods_a168_alarmMessage,source_type=text; 
content,ods_a168_change_log,source_type=varchar(500); 指令
content,ods_a168_sms_setting,source_type=varchar(1000); 傳送文本內容
counts,ods_a168_func_counter,source_type=int(8) unsigned; 
counts,ods_a168_member_click_counter,source_type=int(10) unsigned; 
create_at,ods_a168_aggregate_token,source_type=datetime; 
create_at,ods_a168_aggregate_transaction,source_type=datetime; 建立時間
create_at,ods_a168_partner_setting,source_type=datetime; 
create_at,ods_a168_tablelimit_third,source_type=datetime; 建立時間
creator,ods_a168_alert_ip_setting,source_type=varchar(8); 
creator,ods_a168_ipblacklist,source_type=varchar(50); 
data,ods_a168_aggregate_setting,source_type=text; 資料
data,ods_a168_keyserver_command,source_type=text; 
data,ods_a168_partner_reportTime,source_type=varchar(30); 時間 or 其他
data,ods_a168_partner_setting,source_type=text; 資料
data,ods_a168_payment_method,source_type=varchar(20); 
date,ods_a168_func_counter,source_type=date; 
date,ods_a168_game_result,source_type=timestamp; 時間
date,ods_a168_member_click_counter,source_type=date; 
displayname,ods_a168_permissions,source_type=varchar(50); 顯示權限名稱
displayname,ods_a168_permissionsgroup,source_type=varchar(50); 顯示權限群組名稱
displayname,ods_a168_play_set,source_type=varchar(50); 遊戲顯示名
displayname,ods_a168_roles,source_type=varchar(50); 顯示的名稱
eid,ods_a168_bet01,source_type=int(11); 荷官
eid,ods_a168_bet02,source_type=int(11); 荷官
eid,ods_a168_emp_login,source_type=int(11); 
eid,ods_a168_game_info,source_type=int(11); 荷官
enable,ods_a168_employee,"source_type=enum(''Y'',''N'');  停啟用"
enable,ods_a168_game_demoipsetting,"source_type=tinyint(1); 0:停用,1:啟用"
enable,ods_a168_game_transfer,source_type=tinyint(4); 啟停用
enable,ods_a168_member_partner_account,"source_type=enum(''Y'',''N''); 啟停用"
enname,ods_a168_game_type,source_type=varchar(20); 
enname,ods_a168_partner_gamelist,source_type=varchar(50); 
enname,ods_a168_partner_type,source_type=varchar(20); 
enname,ods_a168_payment_type,source_type=varchar(20); 
frequency,ods_a168_jackpot,source_type=int(11); 次數
frequency,ods_a168_shuffle_info,source_type=int(11); 
function,ods_a168_change_log,source_type=varchar(30); 功能
function,ods_a168_func_counter,source_type=varchar(255); 
function,ods_a168_member_click_counter,source_type=varchar(255); 
gameId,ods_a168_bet01,source_type=varchar(20); 第三方遊戲代碼
gameId,ods_a168_bet_partner,source_type=varchar(64); 
gameNo,ods_a168_game_No,source_type=int(11); 
gameNo,ods_a168_game_result,"source_type=decimal(12,0); 場次編號"
gameNo,ods_a168_log_realtimebet,source_type=int(11); 
gameNoRound,ods_a168_game_result,source_type=int(11); 子場次編號
gameNoRound,ods_a168_log_realtimebet,source_type=int(11); 
gameid,ods_a168_RedPacket_Order,source_type=int(11); 遊戲
gameid,ods_a168_partner_gamelist,source_type=varchar(20); 開遊戲代碼or編號
gametype,ods_a168_bet01,source_type=int(11); 1:網投、2:電投
gametype,ods_a168_bet02,source_type=int(11); 1:網投、2:電投、3 電投網投模式、4 電投電投模式
gtype,ods_a168_RedPacketSetup_setting,source_type=int(4); 遊戲id
gtype,ods_a168_bet_limit_default,source_type=int(11); 
gtype,ods_a168_wallet_dtl,source_type=int(3); 
hiname,ods_a168_game_type,source_type=varchar(20); 
hiname,ods_a168_partner_gamelist,source_type=varchar(50); 
hiname,ods_a168_partner_type,source_type=varchar(20); 
hiname,ods_a168_payment_type,source_type=varchar(20); 
identity,ods_a168_agent,source_type=int(11); 0:信用;1:API
identity,ods_a168_agent_bak20250610,source_type=int(11); 0:信用;1:API
identity,ods_a168_agent_test,source_type=int(11); 0:信用;1:API
identity,ods_a168_member,"source_type=int(11); 0:信用,1:api"
inname,ods_a168_game_type,source_type=varchar(20); 
inname,ods_a168_partner_gamelist,source_type=varchar(50); 
inname,ods_a168_partner_type,source_type=varchar(20); 
inname,ods_a168_payment_type,source_type=varchar(20); 
iom008,ods_a168_in_out_m,source_type=varchar(64); memo
iom008,ods_a168_in_out_m_chip,source_type=text; memo
iom_id,ods_a168_conversion,source_type=int(11); 
iom_id,ods_a168_partner_transation,source_type=bigint(20); in_out_m 處理 id
iom_id,ods_a168_payment_order,source_type=int(11); in_out_m 處理 id
is_send,ods_a168_alarmMessage,source_type=int(1); 發送 tg 0: 未發送 1:已發送
is_send,ods_a168_betchange_log,source_type=int(1); 是否已發送
janame,ods_a168_game_type,source_type=varchar(20); 
janame,ods_a168_partner_gamelist,source_type=varchar(50); 
janame,ods_a168_partner_type,source_type=varchar(20); 
janame,ods_a168_payment_type,source_type=varchar(20); 
koname,ods_a168_game_type,source_type=varchar(20); 
koname,ods_a168_partner_gamelist,source_type=varchar(50); 
koname,ods_a168_partner_type,source_type=varchar(20); 
koname,ods_a168_payment_type,source_type=varchar(20); 
lang,ods_a168_agents_LoginPass,"source_type=tinyint(1); 0:中文 ,1:英文"
lang,ods_a168_urllist,source_type=varchar(5); 
level,ods_a168_category,source_type=int(11); 層級等級，status為1時修改為sn
level,ods_a168_categoryLevel,source_type=int(11); 層級等級
lv,ods_a168_change_log,source_type=int(11); 操作者層級
lv,ods_a168_passiplist,source_type=int(11); 
lv_id,ods_a168_categoryLevel,source_type=int(11); 
lv_id,ods_a168_member_category,source_type=int(11); 階層編號
lv_id,ods_a168_payment_setting,source_type=int(11); 
