member_id,field_name,business_field,enforcement_type,is_baccarat_member,episode_id,start_date,start_time,value_before,value_after,start_operator,start_operator_lv,parse_sep,parse_status,release_date,censored,last_bet_date,n_bets_in_window,last_config_time,days_since_last_bet,censor_cutoff_days,censor_reason,duration_days,episode_seq,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_post,roi_non_post,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_post,avg_stake_non_post,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_post,hold_rate,hold_rate_post,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_post,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_post,ramp_recent,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
146490133,mem016,enable,ENABLE_账户启停,0,146490133#mem016#2026-05-11 15:20:15,2026-05-11,2026-05-11 15:20:15,Y,N,55879,5,COLON,OK,2026-08-07,1,,,2026-05-25 21:13:23,,7,NO_BET_ACTIVITY,88,5,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,315,256,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,11,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
146490133,mem017,canbet,CANBET_下注权限,0,146490133#mem017#2026-05-25 21:13:23,2026-05-25,2026-05-25 21:13:23,Y,N,55879,5,COLON,OK,2026-08-07,1,,,2026-05-25 21:13:23,,7,NO_BET_ACTIVITY,74,6,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,315,256,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,12,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
147303527,mem017,canbet,CANBET_下注权限,0,147303527#mem017#2026-03-25 11:49:37,2026-03-25,2026-03-25 11:49:37,Y,N,26505,2,COLON,OK,2026-08-07,1,,,2026-03-25 11:49:37,,7,NO_BET_ACTIVITY,135,1,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,315,256,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,13,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
149569317,mem016,enable,ENABLE_账户启停,0,149569317#mem016#2026-05-05 19:00:02,2026-05-05,2026-05-05 19:00:02,Y,N,56219,4,COLON,OK,2026-08-07,1,,,2026-05-05 19:00:02,,7,NO_BET_ACTIVITY,94,2,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,315,256,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,14,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
149569317,mem017,canbet,CANBET_下注权限,0,149569317#mem017#2026-05-05 18:59:53,2026-05-05,2026-05-05 18:59:53,Y,N,56219,4,COLON,OK,2026-08-07,1,,,2026-05-05 19:00:02,,7,NO_BET_ACTIVITY,94,1,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,315,256,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,15,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
149940388,mem016,enable,ENABLE_账户启停,0,149940388#mem016#2026-05-31 15:24:06,2026-05-31,2026-05-31 15:24:06,Y,N,56335,4,COLON,OK,2026-08-07,1,,,2026-05-31 15:24:06,,7,NO_BET_ACTIVITY,68,1,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,315,256,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,16,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
150283594,mem016,enable,ENABLE_账户启停,0,150283594#mem016#2026-05-20 02:39:11,2026-05-20,2026-05-20 02:39:11,Y,N,45819,3,COLON,OK,2026-08-07,1,,,2026-05-20 02:39:11,,7,NO_BET_ACTIVITY,79,1,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,315,256,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,17,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
150867975,mem017,canbet,CANBET_下注权限,0,150867975#mem017#2026-06-15 00:00:30,2026-06-15,2026-06-15 00:00:30,Y,N,55879,5,COLON,OK,2026-08-07,1,,,2026-06-15 00:00:30,,7,NO_BET_ACTIVITY,53,1,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,315,256,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,18,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
151132797,mem017,canbet,CANBET_下注权限,0,151132797#mem017#2026-06-15 00:00:36,2026-06-15,2026-06-15 00:00:36,Y,N,55879,5,COLON,OK,2026-08-07,1,,,2026-06-15 00:00:36,,7,NO_BET_ACTIVITY,53,1,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,315,256,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,19,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
151133474,mem017,canbet,CANBET_下注权限,0,151133474#mem017#2026-06-15 00:01:17,2026-06-15,2026-06-15 00:01:17,Y,N,55879,5,COLON,OK,2026-08-07,1,,,2026-06-15 00:01:17,,7,NO_BET_ACTIVITY,53,1,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,,,,,,,,,,,,,,,,,,,,,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,,n_rounds>=30,315,256,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,THIN_ROUNDS,,,Z 证据不足 · 不动作,20,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
