件号,件名,测试线JOIN总数,e侧,q侧,bet18,bet19,bet20,bet21,bet22,q侧有剔除,q侧五级齐全
#100,VB_00b_zero_five_rates.csv,10,5,5,2,2,2,2,2,Y,Y
#101,VB_41_identity_global.csv,5,5,0,1,1,1,1,1,N,N/A
#102,VB_41b_identity_strata.csv,5,5,0,1,1,1,1,1,N,N/A
#103,VB_41b_identity_strata_v18b.csv,5,5,0,1,1,1,1,1,N,N/A
#104,VB_41c1_964_detail.csv,5,5,0,1,1,1,1,1,N,N/A
#105,VB_41c2_concentration.csv,5,5,0,1,1,1,1,1,N,N/A
#106,VB_41c2_concentration_v2.csv,5,5,0,1,1,1,1,1,N,N/A
#107,V_ipmatch.csv,5,5,0,1,1,1,1,1,N,N/A
#108,V_recon.csv,10,5,5,2,2,2,2,2,Y,Y
#109,V_table_counts.csv,5,5,0,1,1,1,1,1,N,N/A
#110,X_combo.csv,10,5,5,2,2,2,2,2,Y,Y
#111,Z01_table_inventory.csv,5,5,0,1,1,1,1,1,N,N/A
#112,Z02_excluded_tables.csv,5,5,0,1,1,1,1,1,N,N/A
#113,Z03_column_dictionary.csv,5,5,0,1,1,1,1,1,N,N/A
#114,Z04_name_collision.csv,5,5,0,1,1,1,1,1,N,N/A
#115,Z05_missing_typehint.csv,5,5,0,1,1,1,1,1,N,N/A
#116,Z06_generated_probe_sql.csv,5,5,0,1,1,1,1,1,N,N/A
#117,Z07_probe_bet02.csv,5,5,0,1,1,1,1,1,N,N/A
#118,Z08_roundkey_integrity.csv,5,5,0,1,1,1,1,1,N,N/A
#119,Z09_time_axis_recon.csv,5,5,0,1,1,1,1,1,N,N/A
#120,Z11_sentinel_impact.csv,5,5,0,1,1,1,1,1,N,N/A
#121,Z14_zero_month_diagnosis.csv,10,5,5,2,2,2,2,2,Y,Y
#122,_P12b-pre.csv,5,5,0,1,1,1,1,1,N,N/A
#123,_PH0_1b_table_inventory.csv,5,5,0,1,1,1,1,1,N,N/A
#124,_PH0_2b_column_inventory.csv,5,5,0,1,1,1,1,1,N,N/A
#125,_PH0_3_lmc_category.csv,5,5,0,1,1,1,1,1,N,N/A
#126,_PH0_4L1_member_columns.csv,5,5,0,1,1,1,1,1,N,N/A
#127,_PH0_4b_rg_keyword.csv,5,5,0,1,1,1,1,1,N,N/A
#128,_PH0_4w2_balance_points.csv,5,5,0,1,1,1,1,1,N,N/A
#129,_PH0_6b_member_daily.csv,5,5,0,1,1,1,1,1,N,N/A
