module_id,csv_name,e_dedup,e_testline,q_dedup,q_testline,status
001,?,Y,Y,N,Y,E_ONLY
002,B01_bt_panel.csv,Y,Y,Y,Y,CLEAN
003,B01_bt_panel_delta.csv,Y,Y,Y,Y,CLEAN
004,B4_2b_funnel_and_mu0.csv,Y,Y,Y,Y,CLEAN
005,B4_5b_tip_nature.csv,Y,Y,N,Y,E_ONLY
006,B_online_base.csv,Y,Y,Y,Y,CLEAN
007,C01_ip_chain.csv,Y,Y,Y,Y,CLEAN
008,C06_hedge_pairs.csv,Y,Y,Y,Y,CLEAN
009,C06d_hedge_pairs_dated.csv,Y,Y,Y,Y,CLEAN
010,C08_subnet_all.csv,Y,Y,Y,Y,CLEAN
011,C08_subnet_sparse.csv,Y,Y,Y,Y,CLEAN
012,D03S_daily_roi_diff.csv,Y,Y,Y,Y,CLEAN
013,DICT_01a_bet41_tri.csv,Y,Y,N,Y,E_ONLY
014,DICT_01b_roundkey_card.csv,Y,Y,N,Y,E_ONLY
015,DICT_01c_dimension.csv,Y,Y,N,Y,E_ONLY
016,DICT_01d_bet_latency.csv,Y,Y,N,Y,E_ONLY
017,DX04_bet09_profile.csv,Y,Y,Y,Y,CLEAN
018,DX05_product_panorama.csv,Y,Y,Y,Y,CLEAN
019,E02_segment_econ.csv,Y,Y,N,Y,E_ONLY
020,EV01_disposal_events.csv,Y,Y,N,Y,E_ONLY
021,EV02_member_disposal.csv,Y,Y,N,Y,E_ONLY
022,I_ip_agg.csv,Y,Y,Y,Y,CLEAN
023,I_ip_player.csv,Y,Y,Y,Y,CLEAN
024,K01_risk_feature_matrix.csv,Y,Y,Y,Y,CLEAN
025,K01b_seed_goldip.csv,Y,Y,N,Y,E_ONLY
026,K01b_seed_manual.csv,Y,Y,N,Y,E_ONLY
027,K01c_seed_dated.csv,Y,Y,N,Y,E_ONLY
028,L_label_dist.csv,Y,Y,N,Y,E_ONLY
029,P01A_crosstab.csv,Y,Y,N,Y,E_ONLY
030,P01B_diff_ratio.csv,Y,Y,N,Y,E_ONLY
031,P01C_split_by_dim.csv,Y,Y,N,Y,E_ONLY
032,P01D_vs_validbet.csv,Y,Y,N,Y,E_ONLY
033,P01E_identity_test.csv,Y,Y,N,Y,E_ONLY
034,P02A_lmc_samples.csv,Y,Y,N,Y,E_ONLY
035,P02B_changestatus_patterns.csv,Y,Y,N,Y,E_ONLY
036,P02C_key_check.csv,Y,Y,N,Y,E_ONLY
037,P02D_events_in_window.csv,Y,Y,N,Y,E_ONLY
038,P0C02_标签口径.csv,Y,Y,N,Y,E_ONLY
039,P0C03_标记次数分布.csv,Y,Y,N,Y,E_ONLY
040,P0C04_同日泄漏检验.csv,Y,Y,N,Y,E_ONLY
041,P0C05_标记时点定位.csv,Y,Y,N,Y,E_ONLY
042,P0C06_LabelB骨架.csv,Y,Y,N,Y,E_ONLY
043,P0C09_安慰剂检验.csv,Y,Y,N,Y,E_ONLY
044,P11_阿泽尾段投注总帐.csv,Y,Y,Y,Y,CLEAN
045,P11_阿泽尾段投注模型会员名单.csv,Y,Y,Y,Y,CLEAN
046,P11_雷欧尾段投注总帐.csv,Y,Y,Y,Y,CLEAN
047,P12a_platform_daily.csv,Y,Y,Y,Y,CLEAN
048,P12b_member_events.csv,Y,Y,Y,Y,CLEAN
049,P12c_member_daily_pnl.csv,Y,Y,Y,Y,CLEAN
050,P13_personal_entry.csv,Y,Y,Y,Y,CLEAN
051,PH0_8r1_rg_case.csv,Y,Y,N,Y,E_ONLY
052,PH0_8r2_rg_crosstable.csv,Y,Y,N,Y,E_ONLY
053,PI01_treatment_delta_member.csv,Y,Y,Y,Y,CLEAN
054,PI02_treatment_delta_platform.csv,Y,Y,Y,Y,CLEAN
055,PI03_reinvest_loop.csv,Y,Y,Y,Y,CLEAN
056,PI04_member_5d_profile.csv,Y,Y,Y,Y,CLEAN
057,P_player_month.csv,Y,Y,Y,Y,CLEAN
058,QSB_01a_category_census.csv,Y,Y,N,Y,E_ONLY
059,QSB_01c_cat1_contamination.csv,Y,Y,N,Y,E_ONLY
060,QSB_02a_lowcard_fields.csv,Y,Y,N,Y,E_ONLY
061,QSB_02b2_lowcard_five_gates.csv,Y,Y,N,Y,E_ONLY
062,QSB_02b_state_cross.csv,Y,Y,N,Y,E_ONLY
063,QSB_02c_push_by_family.csv,Y,Y,N,Y,E_ONLY
064,R01_late_shoe.csv,Y,Y,Y,Y,CLEAN
065,R01_late_shoe_w2.csv,Y,Y,Y,Y,CLEAN
066,R01anm_shoe_anomaly.csv,Y,Y,Y,Y,CLEAN
067,R01chk_shoe_len_by_table.csv,Y,Y,Y,Y,CLEAN
068,R01inv_shoe_len_census.csv,Y,Y,Y,Y,CLEAN
069,R02_same_table.csv,Y,Y,N,Y,E_ONLY
070,R03_player_dealer.csv,Y,Y,Y,Y,CLEAN
071,R03b_player_dealer_daily.csv,Y,Y,Y,Y,CLEAN
072,R03chk_settlement_form.csv,Y,Y,Y,Y,CLEAN
073,R03inv_pair_census.csv,Y,Y,Y,Y,CLEAN
074,R_rebate_dist.csv,Y,Y,N,Y,E_ONLY
075,S01_player_score.csv,Y,Y,Y,Y,CLEAN
076,S02_dealer_score.csv,Y,Y,Y,Y,CLEAN
077,S02b_dealer_pace.csv,Y,Y,Y,Y,CLEAN
078,S03_agent_score.csv,Y,Y,Y,Y,CLEAN
079,S04_analyst_score.csv,Y,Y,N,Y,E_ONLY
080,S05_member_month_panel.csv,Y,Y,Y,Y,CLEAN
081,S_player_tail.csv,Y,Y,Y,Y,CLEAN
082,S_second_dist.csv,Y,Y,Y,Y,CLEAN
083,T02_daily_roi.csv,Y,Y,Y,Y,CLEAN
084,T03_arbitrage.csv,Y,Y,Y,Y,CLEAN
085,TL00_table_inventory.csv,Y,Y,N,Y,E_ONLY
086,TL02_config_change.csv,Y,Y,N,Y,E_ONLY
087,TL03_pseudo_treatment.csv,Y,Y,N,Y,E_ONLY
088,TL03b_pseudo_treatment.csv,Y,Y,N,Y,E_ONLY
089,TL04_log_schema.csv,Y,Y,N,Y,E_ONLY
090,TL06_log_mem_change.csv,Y,Y,N,Y,E_ONLY
091,TL07_mem_change_shape.csv,Y,Y,N,Y,E_ONLY
092,TL08_treatment_events.csv,Y,Y,N,Y,E_ONLY
093,TL09_member_schema.csv,Y,Y,N,Y,E_ONLY
094,TL10_treatment_ledger.csv,Y,Y,N,Y,E_ONLY
095,TL11_treatment_episode.csv,Y,Y,Y,Y,CLEAN
096,TL11c_population_reconcile.csv,Y,Y,N,Y,E_ONLY
097,TL14_limit_treatment.csv,Y,Y,N,Y,E_ONLY
098,T_table_span.csv,Y,Y,N,Y,E_ONLY
099,VB_00_validbet_contract.csv,Y,Y,N,Y,E_ONLY
100,VB_00b_zero_five_rates.csv,Y,Y,Y,Y,CLEAN
101,VB_41_identity_global.csv,Y,Y,N,Y,E_ONLY
102,VB_41b_identity_strata.csv,Y,Y,N,Y,E_ONLY
