文件,SELECT语句,SET语句,行数,字节,行尾,编码,纯代码行,纯代码MD5
原版审计版 · v12.0.0-HF8,129,8,30897,2636247,CRLF,UTF-8,28846,b8d639555e2c814c52a3da5391d1a506
分批作业版 · v12.0.0-HF8,258,8,64962,5449185,CRLF,UTF-8,57944,ac2549cf12dbc6f25490cd1ff057b05d
