版本,件名,行数,字节数,行尾,编码,纯代码行数,纯代码MD5,全文MD5,目录编号,章节编号,非SET语句,SET语句,裸分号语句,尾部未终止残留行,AS_audit_rn代码行,以ORDER_BY_audit_rn收尾语句
HF8,a168_SQL总包_v12_0_0_HF8_原版审计版_六层商业版.sql,30897,2636247,CRLF,UTF-8,28846,b8d639555e2c814c52a3da5391d1a506,,129,129,129,8,0,0,129,128
HF8b,a168_SQL总包_v12_0_0_HF8b_原版审计版_六层商业版.sql,30896,2636260,CRLF,UTF-8,28846,b0723b0e7f1b79b04082520cf779ad3a,672ebe5334b3992421039e91686377ea,129,129,129,8,0,0,129,129
HF8,a168_SQL总包_v12_0_0_HF8_分批作业版_六层商业版.sql,64962,5449185,CRLF,UTF-8,57944,ac2549cf12dbc6f25490cd1ff057b05d,,129,129,258,8,1,134,129,128
HF8b,a168_SQL总包_v12_0_0_HF8b_分批作业版_六层商业版.sql,64947,5448145,CRLF,UTF-8,57942,ecc862982bf8c4b911408e6de61a78db,07ab7384357c87cba8dfba53d885580f,129,129,258,8,0,0,129,129
