文件,SELECT语句,SET语句,行数,字节,行尾,编码,纯代码行,纯代码MD5
原版审计版 · v12.0.0-HF7,129,8,31665,2706135,CRLF,UTF-8,29614,b942627db66c275073cc507f120aef00
分批作业版 · v12.0.0-HF7,258,8,66498,5588961,CRLF,UTF-8,59480,b93897295f592c78a6b7f21d4b9bbf03
