版本,语句序号,件号,所属交付件,P1_token数,P2_token数,P1_摘要16,P2_摘要16,判定
原版审计版,1,,§Z 前置段,5,5,c569474c1be74150,c569474c1be74150,IDENTICAL
原版审计版,2,,§Z 前置段,4,4,5ae56347db3d0ec0,5ae56347db3d0ec0,IDENTICAL
原版审计版,3,,§Z 前置段,4,4,2e0e05c87a1a2795,2e0e05c87a1a2795,IDENTICAL
原版审计版,4,,§Z 前置段,4,4,8c8788fffaa3246e,8c8788fffaa3246e,IDENTICAL
原版审计版,5,,§Z 前置段,4,4,d4d64f7fd29fd441,d4d64f7fd29fd441,IDENTICAL
原版审计版,6,,§Z 前置段,4,4,d02e6579188cc78c,d02e6579188cc78c,IDENTICAL
原版审计版,7,,§Z 前置段,4,4,b8d2ccd876e4304d,b8d2ccd876e4304d,IDENTICAL
原版审计版,8,,§Z 前置段,4,4,1ae2e47455a99a16,1ae2e47455a99a16,IDENTICAL
原版审计版,9,,§Z 前置段,74,74,23148acde7bf5827,23148acde7bf5827,IDENTICAL
原版审计版,10,,§Z 前置段,119,119,b32d297f40c103ee,b32d297f40c103ee,IDENTICAL
原版审计版,11,1,A_anchor.csv,4257,4257,af9e584ddce7c960,af9e584ddce7c960,IDENTICAL
原版审计版,12,2,B01_bt_panel.csv,5077,5077,61136da5d5e0635f,61136da5d5e0635f,IDENTICAL
原版审计版,13,3,B01_bt_panel_delta.csv,5077,5077,28f2ccaa320f4922,28f2ccaa320f4922,IDENTICAL
原版审计版,14,4,B4_2b_funnel_and_mu0.csv,6542,6542,452c2426ac9db5f2,452c2426ac9db5f2,IDENTICAL
原版审计版,15,5,B4_5b_tip_nature.csv,4746,4746,0c24f228f26115b1,0c24f228f26115b1,IDENTICAL
原版审计版,16,6,B_online_base.csv,5210,5210,5e64949ce0e43d07,5e64949ce0e43d07,IDENTICAL
原版审计版,17,7,C01_ip_chain.csv,5332,5332,bf11cf618700b60d,bf11cf618700b60d,IDENTICAL
原版审计版,18,8,C06_hedge_pairs.csv,5128,5128,f466f31218a89b1d,f466f31218a89b1d,IDENTICAL
原版审计版,19,9,C06d_hedge_pairs_dated.csv,4933,4933,52311d7e26d59fab,52311d7e26d59fab,IDENTICAL
原版审计版,20,10,C08_subnet_all.csv,6197,6197,9decf909180b96e5,9decf909180b96e5,IDENTICAL
原版审计版,21,11,C08_subnet_sparse.csv,6220,6220,8611ae80c01739b5,8611ae80c01739b5,IDENTICAL
原版审计版,22,12,D03S_daily_roi_diff.csv,5366,5366,4257c3dd5a344c79,4257c3dd5a344c79,IDENTICAL
原版审计版,23,13,DICT_01a_bet41_tri.csv,5823,5823,dc45770e0d3573b5,dc45770e0d3573b5,IDENTICAL
原版审计版,24,14,DICT_01b_roundkey_card.csv,5419,5419,526019b137227526,526019b137227526,IDENTICAL
原版审计版,25,15,DICT_01c_dimension.csv,5616,5616,f94b7ce8570270fb,f94b7ce8570270fb,IDENTICAL
原版审计版,26,16,DICT_01d_bet_latency.csv,4604,4604,807434e903c5ab48,807434e903c5ab48,IDENTICAL
原版审计版,27,17,DX04_bet09_profile.csv,4594,4594,78d1309617aa3f98,78d1309617aa3f98,IDENTICAL
原版审计版,28,18,DX05_product_panorama.csv,4937,4937,942f79deb91641e3,942f79deb91641e3,IDENTICAL
原版审计版,29,19,E02_segment_econ.csv,6400,6400,aba6cc9543c72948,aba6cc9543c72948,IDENTICAL
原版审计版,30,20,EV01_disposal_events.csv,4476,4476,5aec73507c816bf2,5aec73507c816bf2,IDENTICAL
原版审计版,31,21,EV02_member_disposal.csv,4395,4395,6cc6fb35cd028c65,6cc6fb35cd028c65,IDENTICAL
原版审计版,32,22,I_ip_agg.csv,5409,5409,336ff08ac2f91aae,336ff08ac2f91aae,IDENTICAL
原版审计版,33,23,I_ip_player.csv,5339,5339,a16ad4ce41858c4e,a16ad4ce41858c4e,IDENTICAL
原版审计版,34,24,K01_risk_feature_matrix.csv,5257,5257,3c8eb4a555ecc77b,3c8eb4a555ecc77b,IDENTICAL
原版审计版,35,25,K01b_seed_goldip.csv,4202,4202,266db940171f0eac,266db940171f0eac,IDENTICAL
原版审计版,36,26,K01b_seed_manual.csv,4202,4202,a60d851137993965,a60d851137993965,IDENTICAL
原版审计版,37,27,K01c_seed_dated.csv,4198,4198,68d680e1de4d375a,68d680e1de4d375a,IDENTICAL
原版审计版,38,28,L_label_dist.csv,5128,5128,07c6824c63136b23,07c6824c63136b23,IDENTICAL
