文件,SELECT语句,行数,字节,行尾,编码,纯代码行,纯代码MD5
原版审计版 · v12.0.0-HF6d,129,29807,2595780,CRLF,UTF-8,27756,0df0544f5e9f3e6b10949767d3096e28
分批作业版 · v12.0.0-HF6d,258,62528,5367487,CRLF,UTF-8,55764,7ae69a9e1291b1cb8e3b056b56e35bf1
