文件,行数,字节,行尾,SELECT语句,SET语句,纯代码行,纯代码MD5
原版审计版 · v12.0.0-HF3+Z00,25208,2338345,CRLF,129,8,23183,af5f67d42ba86feffc0e05a9e25ca6ab
分批作业版 · v12.0.0-HF3+Z00,53365,4855994,CRLF,258,8,46616,6638d2873d2e9cafba51b6b12e3f33b4
