seq,deliverable,column_name,column_role,class,introduced_in,note,grain,registry_version
1,075 S01_player_score.csv,member_id,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
2,075 S01_player_score.csv,流水贡献,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
3,075 S01_player_score.csv,游戏输赢贡献,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
4,075 S01_player_score.csv,活跃稳定,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
5,075 S01_player_score.csv,退水支出,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
6,075 S01_player_score.csv,n_ip,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
7,075 S01_player_score.csv,n_chain,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
8,075 S01_player_score.csv,lv1_id,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
9,075 S01_player_score.csv,lv2_id,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
10,075 S01_player_score.csv,lv3_id,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
11,075 S01_player_score.csv,lv4_id,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
12,075 S01_player_score.csv,lv5_id,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
13,075 S01_player_score.csv,chain_key,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
14,075 S01_player_score.csv,n_chain_key,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
15,075 S01_player_score.csv,f_upline_changed,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
16,075 S01_player_score.csv,人工标记史,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
17,075 S01_player_score.csv,投注产品结构熵,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
18,075 S01_player_score.csv,索提诺稳定性,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
19,075 S01_player_score.csv,生命周期阶段,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
20,075 S01_player_score.csv,stake,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
21,075 S01_player_score.csv,valid_bet,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
22,075 S01_player_score.csv,profit,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
23,075 S01_player_score.csv,n_bets,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
24,075 S01_player_score.csv,n_rounds,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
25,075 S01_player_score.csv,roi,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
26,075 S01_player_score.csv,roi_recent,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
27,075 S01_player_score.csv,roi_non_recent,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
28,075 S01_player_score.csv,roi_ex_rebate,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
29,075 S01_player_score.csv,roi_numerator,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
30,075 S01_player_score.csv,roi_denominator,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
31,075 S01_player_score.csv,roi_denominator_status,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
32,075 S01_player_score.csv,rebate_cost,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
33,075 S01_player_score.csv,cost_complement_b,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
34,075 S01_player_score.csv,pct_complement,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
35,075 S01_player_score.csv,pct_top_bet23,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
36,075 S01_player_score.csv,agent_formula_version,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
37,075 S01_player_score.csv,agent_level_scope,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
38,075 S01_player_score.csv,agent_cost_lv1,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
39,075 S01_player_score.csv,agent_cost_lv2,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
40,075 S01_player_score.csv,agent_cost_lv3,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
41,075 S01_player_score.csv,agent_cost_lv4,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
42,075 S01_player_score.csv,agent_cost_lv5,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
43,075 S01_player_score.csv,agent_pct_lv1,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
44,075 S01_player_score.csv,agent_pct_lv2,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
45,075 S01_player_score.csv,agent_pct_lv3,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
46,075 S01_player_score.csv,agent_pct_lv4,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
47,075 S01_player_score.csv,agent_pct_lv5,METRIC,A1,HF9e,"精确可复现 —— HF9d↔HF9e 同批 161,156 名逐位相同",member_id,v1.0
