文件,SELECT语句,行数,字节,行尾,编码,纯代码行,纯代码MD5
原版审计版 · v12.0.0-HF6c,129,29423,2560324,CRLF,UTF-8,27372,fbbbbbb17f0a101c6927c48e217549fd
分批作业版 · v12.0.0-HF6c,258,61760,5296575,CRLF,UTF-8,54996,71313df8d749d3f21b49c92c61bf990f
